date,USD,JPY,BGN,CYP,CZK,DKK,EEK,GBP,HUF,LTL,LVL,MTL,PLN,ROL,SEK,SIT,SKK,CHF,ISK,NOK,TRL,AUD,CAD,HKD,KRW,NZD,SGD,ZAR,EUR
2001-01-01,0.9305,106.92,1.9543,0.5737,35.047,7.4631,15.6466,0.6294,265,3.7229,0.5764,0.4075,3.8498,24142,8.8652,213.5401,43.933,1.5232,78.8,8.24,624267,1.677,1.3965,7.2578,1177.08,2.112,1.6126,7.1386,1
2001-01-02,0.9423,108.26,1.9557,0.5745,35.112,7.4611,15.6466,0.6332,264.58,3.7706,0.5814,0.4098,3.8625,24467,8.9314,213.4667,43.859,1.5218,79.75,8.297,630033,1.6845,1.4115,7.3497,1202.37,2.1365,1.6376,7.179,1
2001-01-03,0.953,108.88,1.9558,0.575,35.375,7.4595,15.6466,0.6234,264.55,3.813,0.5843,0.411,3.903,24730,8.881,213.5525,43.988,1.522,79.92,8.3225,632957,1.6915,1.4266,7.4333,1211.17,2.1272,1.6505,7.0213,1
2001-01-04,0.9458,108.25,1.9556,0.5758,35.16,7.4624,15.6466,0.6344,264.77,3.7842,0.5821,0.4104,3.8974,24572,8.8953,213.4939,43.798,1.5217,79.8,8.27,630930,1.6755,1.4141,7.377,1190.57,2.126,1.6389,7.1537,1
2001-01-05,0.9545,111.22,1.9558,0.5764,35.237,7.4633,15.6466,0.6375,264.87,3.819,0.5867,0.4116,3.89,24777,8.894,213.6771,43.861,1.529,80.12,8.273,634750,1.6734,1.4348,7.4446,1204.87,2.1139,1.6551,7.1974,1
2001-01-06,0.9545,111.22,1.9558,0.5764,35.237,7.4633,15.6466,0.6375,264.87,3.819,0.5867,0.4116,3.89,24777,8.894,213.6771,43.861,1.529,80.12,8.273,634750,1.6734,1.4348,7.4446,1204.87,2.1139,1.6551,7.1974,1
2001-01-07,0.9545,111.22,1.9558,0.5764,35.237,7.4633,15.6466,0.6375,264.87,3.819,0.5867,0.4116,3.89,24777,8.894,213.6771,43.861,1.529,80.12,8.273,634750,1.6734,1.4348,7.4446,1204.87,2.1139,1.6551,7.1974,1
2001-01-08,0.9497,110.55,1.9557,0.5768,35.173,7.4651,15.6466,0.6323,264.96,3.7997,0.5851,0.4107,3.887,24733,8.9271,213.8375,43.855,1.5271,79.97,8.288,632633,1.6745,1.4212,7.4075,1202.46,2.1087,1.6416,7.1844,1
2001-01-09,0.9401,108.78,1.9558,0.5767,35.09,7.4642,15.6466,0.6336,265.01,3.7595,0.5802,0.4095,3.8857,24527,8.9215,213.835,43.605,1.5232,79.61,8.252,629467,1.6767,1.4063,7.3326,1206.88,2.1139,1.6285,7.2825,1
2001-01-10,0.9412,109.33,1.9558,0.5768,35.118,7.4654,15.6466,0.6296,265.07,3.7657,0.5804,0.4095,3.9098,24550,8.8503,214.1316,43.57,1.5243,79.67,8.2,630400,1.6847,1.4082,7.3412,1192.31,2.0997,1.6325,7.4599,1
2001-01-11,0.9523,111.75,1.9556,0.577,35.35,7.4668,15.6466,0.6349,265.04,3.8102,0.5847,0.4113,3.922,24900,8.8518,214.3259,43.57,1.5324,80.12,8.194,635100,1.705,1.4259,7.4277,1217.13,2.1154,1.653,7.4669,1
2001-01-12,0.9545,112.35,1.9559,0.5772,35.36,7.4667,15.6466,0.6438,265.11,3.819,0.5851,0.4124,3.91,24973,8.86,214.6557,43.621,1.541,80.21,8.209,635900,1.7003,1.4244,7.4448,1223.19,2.1152,1.654,7.4312,1
2001-01-13,0.9545,112.35,1.9559,0.5772,35.36,7.4667,15.6466,0.6438,265.11,3.819,0.5851,0.4124,3.91,24973,8.86,214.6557,43.621,1.541,80.21,8.209,635900,1.7003,1.4244,7.4448,1223.19,2.1152,1.654,7.4312,1
2001-01-14,0.9545,112.35,1.9559,0.5772,35.36,7.4667,15.6466,0.6438,265.11,3.819,0.5851,0.4124,3.91,24973,8.86,214.6557,43.621,1.541,80.21,8.209,635900,1.7003,1.4244,7.4448,1223.19,2.1152,1.654,7.4312,1
2001-01-15,0.9428,111.92,1.9558,0.5772,35.255,7.466,15.6466,0.6379,265.12,3.7719,0.5811,0.4109,3.873,24700,8.8837,214.6146,43.609,1.5427,79.99,8.216,631067,1.7048,1.417,7.3535,1212.25,2.1234,1.6369,6.3862,1
2001-01-16,0.9412,111.27,1.9552,0.5837,35.427,7.4665,15.6466,0.6395,264.97,3.7659,0.5805,0.411,3.8546,24684,8.919,214.6781,43.581,1.5385,80.02,7.2007,631283,1.6928,1.4141,7.3411,1207.37,2.1108,1.6328,6.437,1
2001-01-17,0.9396,110.6,1.9541,0.5775,35.53,7.4666,15.6466,0.6354,265.1,3.7593,0.579,0.4101,3.8565,24635,8.9015,214.4286,43.901,1.5374,79.95,8.181,630533,1.6875,1.4164,7.3286,1200.81,2.098,1.6281,7.3202,1
2001-01-18,0.9404,111.28,1.9525,0.5774,35.317,7.4671,15.6466,0.64,265.05,3.7625,0.5806,0.4106,3.868,24744,8.9077,214.5294,43.721,1.5283,80.11,8.225,632233,1.693,1.4196,7.3345,1207.47,2.1052,1.6354,7.4308,1
2001-01-19,0.94,110.66,1.9547,0.5777,35.173,7.4666,15.6466,0.6385,265.08,3.7607,0.5798,0.4105,3.8522,24715,8.86,214.5422,43.653,1.5268,79.99,8.215,630850,1.6817,1.4185,7.3315,1200.85,2.0964,1.6336,7.3842,1
2001-01-20,0.94,110.66,1.9547,0.5777,35.173,7.4666,15.6466,0.6385,265.08,3.7607,0.5798,0.4105,3.8522,24715,8.86,214.5422,43.653,1.5268,79.99,8.215,630850,1.6817,1.4185,7.3315,1200.85,2.0964,1.6336,7.3842,1
2001-01-21,0.94,110.66,1.9547,0.5777,35.173,7.4666,15.6466,0.6385,265.08,3.7607,0.5798,0.4105,3.8522,24715,8.86,214.5422,43.653,1.5268,79.99,8.215,630850,1.6817,1.4185,7.3315,1200.85,2.0964,1.6336,7.3842,1
2001-01-22,0.929,108.28,1.9543,0.5779,35.172,7.4664,15.6466,0.6402,264.97,3.717,0.5757,0.4093,3.855,24468,8.929,214.7986,43.67,1.534,79.74,8.207,627517,1.6816,1.4023,7.2456,1183.08,2.0827,1.612,7.3888,1
