date,USD,JPY,BGN,CYP,CZK,DKK,EEK,GBP,HUF,LTL,LVL,MTL,PLN,RON,SEK,SIT,SKK,CHF,ISK,NOK,HRK,RUB,TRY,AUD,CAD,CNY,HKD,IDR,KRW,MYR,NZD,PHP,SGD,THB,ZAR,EUR,AED,ANG,BAM,BBD,BND,BRL,BSD,BYR,EGP,FJD,ILS,INR,JMD,JOD,KES,KWD,LBP,MUR,MXN,PKR,SAR,TTD,UGX,UZS,LKR,TND,TWD,AFN,ALL,ARS,BDT,BHD,BIF,BOB,BWP,BZD,CLP,COP,CRC,CUP,CVE,DJF,DOP,DZD,ETB,GMD,GNF,GTQ,HNL,HTG,IQD,IRR,KHR,KZT,LSL,LYD,MAD,MDL,MGA,MKD,MMK,MOP,MRO,MWK,NAD,NGN,NIO,NPR,OMR,PAB,PEN,PGK,PYG,QAR,RWF,SCR,SOS,STD,SVC,SYP,SZL,TZS,UAH,UYU,VND,XAF,XOF,XPF,LAK,KYD,RSD
2006-01-01,1.1841,139.69,1.9558,0.5735,29.03,7.4605,15.6466,0.687,252.08,3.4523,0.6962,0.4293,3.843,3.6735,9.4,239.5,37.88,1.5564,74.57,7.9885,7.3689,33.92,1.5935,1.6173,1.3732,9.5355,9.1796,11610,1183.3,4.4741,1.735,62.719,1.9673,48.437,7.4966,1,4.3486,2.0058,1.9287,2.2443,1.9374,2.7667,1.1761,2438,6.743,2.0431,5.4384,53.212,72.765,0.8224,85.76,0.3447,1780.5,36.03,12.538,70.706,4.4359,7.0965,2150.5,1341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-02,1.1817,139.2,1.9559,0.5735,29.021,7.4618,15.6466,0.6872,252.38,3.4538,0.6962,0.4293,3.8557,3.6814,9.4055,239.5,37.865,1.5544,74.64,7.9747,7.3848,34.005,1.5875,1.6143,1.3761,9.517,9.1604,11478,1183.1,4.4648,1.7347,62.766,1.9628,48.516,7.4601,1,4.3388,2.0064,1.9292,2.2449,1.9359,2.7588,1.1764,2439,6.726,2.0426,5.421,53.125,72.785,0.822,85.63,0.3443,,35.94,12.523,70.545,4.4286,7.1233,2158.7,1341.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-03,1.2033,139.49,1.9556,0.5736,29.023,7.461,15.6466,0.6883,251.21,3.4525,0.6961,0.4293,3.827,3.6723,9.3633,239.5,37.705,1.5503,74.4,7.9695,7.3924,34.14,1.607,1.6215,1.391,9.6501,9.3285,11610,1188,4.5252,1.754,62.445,1.9844,48.488,7.4649,1,4.4001,2.0158,1.9379,2.2554,1.9372,2.8034,1.1817,2450,6.825,2.0679,5.5174,53.975,73.126,0.8328,86.83,0.3488,1789.5,36.71,12.728,71.831,4.4914,7.1567,2162.3999,1347.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-04,1.2112,140.78,1.956,0.5736,28.951,7.4616,15.6466,0.6891,250.05,3.4529,0.6961,0.4293,3.813,3.6788,9.33,239.51,37.656,1.5467,74.72,7.9232,7.3818,34.743,1.6155,1.6215,1.3912,9.7362,9.3877,11685,1191.4,4.5578,1.7609,63.309,1.9923,48.918,7.443,1,4.4417,2.048,1.9678,2.2914,1.9567,2.7668,1.1998,2488,6.885,2.0817,5.5937,54.154,74.293,0.8407,88.09,0.3519,1818.5,37.16,12.748,72.266,4.5491,7.2707,2196.6001,1368.96,123.23,1.6087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-05,1.2107,140.4,1.956,0.5737,28.871,7.4612,15.6466,0.6896,250.29,3.4528,0.696,0.4293,3.799,3.6823,9.3325,239.51,37.645,1.5453,74.85,7.9284,7.3885,34.685,1.614,1.6192,1.406,9.7343,9.3848,11600,1188,4.5546,1.7623,63.426,1.993,48.82,7.4447,1,4.4419,2.0512,1.9707,2.295,1.9623,2.77,1.2016,2493,6.901,2.0654,5.5651,54.069,74.506,0.8411,88.28,0.3522,1831.5,37.16,12.778,72.306,4.5417,7.2459,2189.6001,1372.1801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-06,1.2154,139.01,1.9574,0.5737,28.873,7.4573,15.6466,0.6861,250.15,3.4559,0.6961,0.4293,3.797,3.689,9.3154,239.49,37.608,1.5426,74.15,7.9082,7.414,34.823,1.6165,1.6121,1.4165,9.7776,9.411,11580,1143.2,4.5563,1.7539,63.518,1.988,48.451,7.392,1,4.4615,2.0526,1.972,2.2965,1.9614,2.7726,1.2023,2494,6.931,2.0801,5.5991,54.058,74.554,0.8168,88.49,0.3536,1827.5,37.29,12.79,72.526,4.5581,7.2506,2191.6001,1373.0601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-07,1.2154,139.01,1.9574,0.5737,28.873,7.4573,15.6466,0.6861,250.15,3.4559,0.6961,0.4293,3.797,3.689,9.3154,239.49,37.608,1.5426,74.15,7.9082,7.414,34.823,1.6165,1.6121,1.4165,9.7776,9.411,11580,1143.2,4.5563,1.7539,63.518,1.988,48.451,7.392,1,4.4615,2.0526,1.972,2.2965,1.9614,2.7726,1.2023,2494,6.931,2.0801,5.5991,54.058,74.554,0.8168,88.49,0.3536,1827.5,37.29,12.79,72.526,4.5581,7.2506,2191.6001,1373.0601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-08,1.2154,139.01,1.9574,0.5737,28.873,7.4573,15.6466,0.6861,250.15,3.4559,0.6961,0.4293,3.797,3.689,9.3154,239.49,37.608,1.5426,74.15,7.9082,7.414,34.823,1.6165,1.6121,1.4165,9.7776,9.411,11580,1143.2,4.5563,1.7539,63.518,1.988,48.451,7.392,1,4.4615,2.0526,1.972,2.2965,1.9614,2.7726,1.2023,2494,6.931,2.0801,5.5991,54.058,74.554,0.8168,88.49,0.3536,1827.5,37.29,12.79,72.526,4.5581,7.2506,2191.6001,1373.0601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-09,1.2075,138.29,1.9558,0.5737,28.765,7.46,15.6466,0.6842,249.43,3.4529,0.696,0.4293,3.759,3.6815,9.3401,239.49,37.4,1.5421,73.75,7.9497,7.3885,34.563,1.6115,1.6047,1.4095,9.7101,9.3576,11420,1172.1,4.5208,1.7417,63.391,1.9739,48.06,7.2985,1,4.4318,2.0493,1.9689,2.2928,1.943,2.719,1.2005,2490,6.87,2.0589,5.5679,53.388,74.435,0.8403,87.5,0.3515,1816.5,37.06,12.685,72.079,4.5321,7.2166,2187.6001,1370.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-10,1.2064,138.04,1.9555,0.5737,28.765,7.4581,15.6466,0.6834,250.29,3.4528,0.6961,0.4293,3.776,3.6478,9.3579,239.49,37.465,1.5446,73.92,8.0095,7.3848,34.385,1.623,1.6085,1.4023,9.7086,9.3479,11390,1170.7,4.5201,1.7358,63.523,1.9698,48.025,7.3321,1,4.4299,2.0518,1.9713,2.2957,1.9446,2.7263,1.2019,2493,6.881,2.0588,5.5806,53.271,74.528,0.8393,87.12,0.3516,1815.5,37.07,12.75,72.007,4.5239,7.2256,2181.2,1372.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
