date,USD,JPY,BGN,CYP,CZK,DKK,EEK,GBP,HUF,LTL,LVL,MTL,PLN,RON,SEK,SKK,CHF,ISK,NOK,HRK,RUB,TRY,AUD,CAD,CNY,HKD,IDR,KRW,MYR,NZD,PHP,SGD,THB,ZAR,EUR,AED,AFN,ALL,ANG,ARS,BAM,BBD,BDT,BHD,BIF,BND,BOB,BRL,BSD,BWP,BYR,BZD,CLP,COP,CRC,CUP,CVE,DJF,DOP,DZD,EGP,ETB,FJD,GHS,GMD,GNF,GTQ,HNL,HTG,ILS,INR,IQD,IRR,JMD,JOD,KES,KHR,KWD,KZT,LAK,LBP,LKR,LSL,LYD,MDL,MGA,MKD,MMK,MOP,MRO,MUR,MWK,MXN,NAD,NGN,NIO,NPR,OMR,PAB,PEN,PGK,PKR,PYG,QAR,RSD,RWF,SAR,SCR,SDG,SOS,STD,SVC,SYP,SZL,TND,TTD,TWD,TZS,UAH,UGX,UYU,UZS,VND,XAF,XOF,XPF,VEF,MAD
2008-01-01,1.462,163.49,1.9359,0.5853,26.502,7.4572,15.6466,0.7356,252.65,3.4128,0.6869,0.4293,3.598,3.5726,9.4311,33.583,1.6546,90.87,7.934,7.3253,35.2924,1.7138,1.667,1.4512,10.7269,11.4062,13590.5996,1375.96,4.8804,1.9013,60.493,2.0812,42.828,10.0058,1,5.304,71.88,119.81,2.525,4.6321,1.9358,2.8929,98.81,0.5433,1620.76,2.0898,10.9536,2.6026,1.4645,8.7148,3118,2.8193,718.71,2918.3999,716.87,1.441,108.51,253.84,48.096,96.434,7.9761,13.3173,2.2442,1.4244,32.02,6221,11.0294,27.678,52.708,5.5633,57.298,1756.34,13481.5996,102.783,1.0246,91.879,5718.1001,0.394,174.63,13513.9004,2184.8,156.873,9.8376,1.7644,16.3929,2586.8401,60.507,9.2767,11.6157,364.61,40.474,202.468,15.749,9.836,171.29,27.502,92.399,0.5645,1.4465,4.327,3.9713,89.078,6859.3999,5.257,77.626,785.47,5.4238,11.675,2.9504,2011.2,20375.4004,12.638,73.791,9.8176,1.7627,9.065,46.726,1678.35,7.2908,2452.8,31.11,1863.17,23168,642.957,642.957,116.86,,
2008-01-02,1.4717,160.78,1.9359,,26.354,7.4541,15.6466,0.7426,253.2,3.4129,0.6951,,3.6096,3.5676,9.42,33.586,1.6474,90.93,7.9456,7.3309,35.2592,1.726,1.6647,1.4633,10.7322,11.4953,13545.9004,1379.0699,4.8768,1.8977,60.505,2.1173,43.932,10.0359,1,5.293,71.67,119.81,2.5348,4.632,1.9358,2.8873,98.883,0.5422,1619.09,2.0882,10.9324,2.6042,1.4617,8.7248,3112,2.8139,718.93,2913.7,715.33,1.439,108.3,253.2,47.959,96.313,7.9334,13.2916,2.2327,1.3959,31.957,6209,11.008,27.595,52.239,5.6554,57.959,1752.9399,13456.9004,102.584,1.0255,91.553,5707,0.4006,174.31,13454.9004,2180.6001,156.539,9.8457,1.761,16.3611,2568.6001,61.391,9.2587,11.6137,363.91,40.616,202.082,15.71,9.848,170.96,27.448,92.22,0.5652,1.4437,4.323,3.977,89.273,6846.1001,5.2466,77.622,783.95,5.4607,11.688,2.9646,2007.3,20335.9004,12.614,73.648,9.8257,1.7656,9.0474,46.628,1676.5699,7.2767,2452.3999,31.049,1861.36,23098,642.957,642.957,116.86,3.1593,
2008-01-03,1.4745,161.45,1.9358,,26.149,7.4513,15.6466,0.7468,252.96,3.4148,0.6972,,3.5982,3.5563,9.355,33.446,1.639,90.984,7.8823,7.34,36.014,1.7234,1.6712,1.4579,10.6963,11.5081,13682.5,1378.74,4.8445,1.9075,60.195,2.1143,43.793,10.0773,1,5.3254,72.14,119.45,2.5353,4.6253,1.9358,2.9046,99.284,0.5455,1634.7,2.0936,10.9979,2.5745,1.4703,8.7717,3131,2.8307,721.62,2929.3,719.48,1.447,108.95,254.72,48.246,96.714,7.9715,13.3712,2.2422,1.4117,32.076,6232.7998,11.074,27.761,52.552,5.602,58.012,1763.4399,13537.5996,102.534,1.028,98.058,5742.7002,0.4017,175.15,13527.2998,2192.8999,157.509,9.934,1.7819,16.4578,2585.5,61.098,9.3143,11.6849,366.76,40.675,203.308,15.838,9.9325,171.25,27.613,92.773,0.5645,1.4523,4.3209,3.9875,91.226,6887.2002,5.2781,80.539,787.25,5.5054,11.687,2.9785,2035.6,20457.8008,12.689,74.09,9.914,1.7673,9.1737,46.931,1704.35,7.3204,2466.3999,31.236,1872.53,23222,642.957,642.957,116.86,3.159,
2008-01-04,1.4755,160.27,1.9361,,26.086,7.4482,15.6466,0.7474,254,3.451,0.6944,,3.602,3.5467,9.3755,33.339,1.6339,89.34,7.8775,7.3417,36.025,1.7181,1.6839,1.4771,10.7302,11.5024,13653.0996,1386.14,4.8518,1.9264,60.195,2.1163,43.743,10.1511,1,5.3049,71.84,119.7,2.525,4.6368,1.9358,2.8929,98.884,0.5433,1629.59,2.0836,10.9536,2.6006,1.4645,8.7256,3118,2.8193,713.63,2909.5,716.72,1.441,108.36,253.99,48.052,96.456,7.9614,13.3173,2.2381,1.3983,31.946,6235.7998,11.0294,27.649,52.34,5.6082,57.679,1758.62,13481.5996,101.385,1.03,97.845,5706.2998,0.4024,174.52,13465.4004,2178.2,156.836,9.8597,1.7666,16.3899,2570.6499,61.299,9.2767,11.6378,363.81,40.695,202.489,15.705,9.866,170.6,27.502,92.399,0.5663,1.4465,4.2881,3.968,89.814,6903.5,5.2575,78.919,785.47,5.5021,11.719,2.9615,2011.2,20375.4004,12.638,73.791,9.8397,1.761,9.1468,46.706,1701.16,7.296,2457.8999,31.11,1864.98,23133,642.957,642.957,116.86,3.1696,
2008-01-05,1.4755,160.27,1.9361,,26.086,7.4482,15.6466,0.7474,254,3.451,0.6944,,3.602,3.5467,9.3755,33.339,1.6339,89.34,7.8775,7.3417,36.025,1.7181,1.6839,1.4771,10.7302,11.5024,13653.0996,1386.14,4.8518,1.9264,60.195,2.1163,43.743,10.1511,1,5.3049,71.84,119.7,2.525,4.6368,1.9358,2.8929,98.884,0.5433,1629.59,2.0836,10.9536,2.6006,1.4645,8.7256,3118,2.8193,713.63,2909.5,716.72,1.441,108.36,253.99,48.052,96.456,7.9614,13.3173,2.2381,1.3983,31.946,6235.7998,11.0294,27.649,52.34,5.6082,57.679,1758.62,13481.5996,101.385,1.03,97.845,5706.2998,0.4024,174.52,13465.4004,2178.2,156.836,9.8597,1.7666,16.3899,2570.6499,61.299,9.2767,11.6378,363.81,40.695,202.489,15.705,9.866,170.6,27.502,92.399,0.5663,1.4465,4.2881,3.968,89.814,6903.5,5.2575,78.919,785.47,5.5021,11.719,2.9615,2011.2,20375.4004,12.638,73.791,9.8397,1.761,9.1468,46.706,1701.16,7.296,2457.8999,31.11,1864.98,23133,642.957,642.957,116.86,3.1696,
2008-01-06,1.4755,160.27,1.9361,,26.086,7.4482,15.6466,0.7474,254,3.451,0.6944,,3.602,3.5467,9.3755,33.339,1.6339,89.34,7.8775,7.3417,36.025,1.7181,1.6839,1.4771,10.7302,11.5024,13653.0996,1386.14,4.8518,1.9264,60.195,2.1163,43.743,10.1511,1,5.3049,71.84,119.7,2.525,4.6368,1.9358,2.8929,98.884,0.5433,1629.59,2.0836,10.9536,2.6006,1.4645,8.7256,3118,2.8193,713.63,2909.5,716.72,1.441,108.36,253.99,48.052,96.456,7.9614,13.3173,2.2381,1.3983,31.946,6235.7998,11.0294,27.649,52.34,5.6082,57.679,1758.62,13481.5996,101.385,1.03,97.845,5706.2998,0.4024,174.52,13465.4004,2178.2,156.836,9.8597,1.7666,16.3899,2570.6499,61.299,9.2767,11.6378,363.81,40.695,202.489,15.705,9.866,170.6,27.502,92.399,0.5663,1.4465,4.2881,3.968,89.814,6903.5,5.2575,78.919,785.47,5.5021,11.719,2.9615,2011.2,20375.4004,12.638,73.791,9.8397,1.761,9.1468,46.706,1701.16,7.296,2457.8999,31.11,1864.98,23133,642.957,642.957,116.86,3.1696,
2008-01-07,1.4683,160.4,1.9359,,26.089,7.449,15.6466,0.7465,254.71,3.4133,0.6885,,3.6074,3.5446,9.3852,33.418,1.6412,90.019,7.8849,7.3421,35.2719,1.7078,1.6836,1.4765,10.6533,11.4533,13641.4004,1379.13,4.8157,1.911,59.864,2.1057,43.437,10.1459,1,5.2969,71.67,120.93,2.5214,4.5991,1.9358,2.8887,99.064,0.5429,1628.6899,2.0815,10.9377,2.5923,1.4624,8.7777,3114,2.8152,714.43,2902.7,717.69,1.439,108.35,253.33,48.35,96.367,7.9204,13.298,2.2462,1.3966,31.973,6212,11.0133,27.609,52.264,5.61,57.597,1753.79,13463.4004,101.238,1.0248,96.593,5709.7998,0.4,174.31,13441.4004,2181.7,156.278,9.9637,1.7641,16.3661,2568.3799,60.902,9.2632,11.6209,361.81,40.342,202.195,15.744,9.965,170.82,27.302,92.265,0.5624,1.4444,4.3023,3.9645,90.234,6893.5,5.2509,79.181,784.33,5.4842,11.651,2.9572,2008.3,20345.8008,12.62,73.684,9.9437,1.7567,9.0885,46.711,1708.24,7.2802,2469.8,31.064,1862.27,23093,642.957,642.957,116.86,3.1468,
2008-01-08,1.5571,160.26,1.9359,,26.0275,7.4483,15.6466,0.7456,254.2,3.4125,0.6876,,3.5936,3.551,9.418,33.413,1.6359,90.244,7.8922,7.3422,35.2951,1.6971,1.6718,1.4775,10.674,11.4727,13679.2002,1380.73,4.8124,1.9128,59.623,2.107,43.495,10.1634,1,5.3053,71.85,121.48,2.5257,4.5999,1.9358,2.8936,98.878,0.5434,1638.8101,2.0807,10.9562,2.5832,1.4648,8.7871,3119,2.82,709.54,2910.5,718.66,1.442,108.39,253.9,48.432,97.53,7.9063,13.3206,2.2316,1.3953,32.543,6208.6001,11.032,27.656,52.353,5.5666,57.639,1756.77,13401.7002,101.41,1.0266,93.741,5713.6001,0.401,174.68,13456.9004,2178.7,156.528,9.957,1.7715,16.3939,2566.8601,60.954,9.279,11.6399,365.37,40.705,202.542,15.718,9.958,171.04,27.351,92.422,0.5638,1.4468,4.2905,3.9712,90.314,6905.2002,5.2582,79.19,786.03,5.4917,11.669,2.9672,2011.7,20380.3008,12.641,73.809,9.937,1.7562,9.0975,46.753,1692.01,7.2941,2477.7,31.117,1866.52,23138,642.957,642.957,116.86,3.1552,
2008-01-09,1.4664,161.12,1.9359,,25.8935,7.4474,15.6466,0.7489,254.32,3.4128,0.6878,,3.5963,3.6145,9.414,33.328,1.6367,91.5,7.8884,7.3395,35.35,1.6949,1.6594,1.4801,10.6361,11.4427,13820,1373.26,4.7856,1.8942,59.226,2.0981,43.073,10.0265,1,5.302,71.8,121.08,2.5237,4.5851,1.9358,2.8914,98.759,0.543,1646.39,2.0783,10.9479,2.5975,1.4637,8.7264,3116,2.8179,704.07,2888.2,718.03,1.441,108.3,253.71,48.395,96.538,7.904,13.3104,2.2314,1.4028,32.518,6203.8999,11.0236,27.634,52.313,5.5527,57.496,1757.49,13391.5,101.333,1.0238,94.404,5709.2998,0.4001,174.54,13436.2998,2177.1001,156.247,9.8587,1.7687,16.3042,2576.6699,61.015,9.2719,11.631,359.2,40.821,202.391,15.753,9.848,170.62,27.334,92.351,0.5618,1.4457,4.2744,3.9704,91.395,6767.6001,5.2541,81.424,785.18,5.4754,11.629,2.9549,2004.3,20364.8008,12.632,73.753,9.8387,1.7543,9.0603,46.758,1652.48,7.2907,2475.8,31.094,1865.1,23115,642.957,642.957,116.86,3.1438,
2008-01-10,1.4801,162.21,1.9351,,25.899,7.446,15.6466,0.7545,252.9,3.4113,0.6872,,3.5817,3.6209,9.3723,33.314,1.6345,91.099,7.8122,7.3442,36.039,1.6897,1.654,1.4927,10.6999,11.5479,13613.9004,1380.55,4.8144,1.8823,59.79,2.0896,43.074,10.0505,1,5.2876,71.66,120.59,2.5171,4.604,1.9358,2.8838,98.778,0.5416,1627.47,2.0765,10.9191,2.598,1.4599,8.7465,3108,2.8105,699.06,2890.3999,716.05,1.437,108.09,253.04,48.268,96.255,7.8629,13.2755,2.2311,1.4126,31.552,6179.5,10.9946,27.562,52.175,5.6073,58.037,1750.8199,13357,101.983,1.0284,93.862,5700.1001,0.4013,173.91,13390.0996,2171.3999,155.902,9.8957,1.764,16.1916,2571.3501,61.317,9.2475,11.6005,362.66,41.007,201.859,15.7508,9.885,170.21,27.265,92.108,0.5653,1.4419,4.2639,3.9577,90.338,6749.7998,5.2404,81.407,783.1,5.5263,11.694,2.9472,1999,20311.3008,12.598,73.559,9.8757,1.7552,9.0365,46.629,1646.67,7.2686,2466.3,31.012,1860.1899,23050,642.957,642.957,116.86,3.1597,
