date,USD,JPY,BGN,CYP,CZK,DKK,EEK,GBP,HUF,LTL,LVL,MTL,PLN,ROL,SEK,SIT,SKK,CHF,ISK,NOK,TRL,AUD,CAD,HKD,KRW,NZD,SGD,ZAR,EUR,IDR,ILS,INR,KWD,MXN,MYR,RUB,SAR,AED,ANG,BAM,BBD,BND,BRL,BSD,BYR,CNY,EGP,FJD,JMD,JOD,PHP,SVC,SZL,TND,TTD,UGX,BOB,COP,HRK,KES,LBP,MUR
2004-01-01,1.2582,135.01,1.9557,0.5864,32.61,7.4462,15.6466,0.7044,260.36,3.4524,0.6725,0.4317,4.6871,41158,9.0574,236.7,41.17,1.56,89.46,8.3886,1771638,1.6721,1.6284,9.7622,1486.5,1.9184,2.1359,8.3886,1,10488.0996,5.4959,57.28,0.3673,14.1435,4.7991,36.76,4.6766,,,,,,,,,,,,,,,,,,,,,,,,,
2004-01-02,1.2582,134.67,1.9557,0.5864,32.292,7.4454,15.6466,0.7005,261.5,3.4525,0.6715,0.4316,4.6997,41122,9.0375,236.85,41.145,1.5585,89.36,8.395,1760013,1.6575,1.6234,9.7712,1504.3,1.9092,2.1417,8.2282,1,10624.2998,5.5397,57.309,0.3706,13.9288,4.7828,36.8006,4.7205,4.6225,2.1625,1.9593,2.4171,2.119,3.5597,1.2149,2675,10.401,7.723,2.1442,73.839,0.8825,69.672,10.706,8.0596,1.5169,7.5481,2364.7,,,,,,
2004-01-03,1.2582,134.67,1.9557,0.5864,32.292,7.4454,15.6466,0.7005,261.5,3.4525,0.6715,0.4316,4.6997,41122,9.0375,236.85,41.145,1.5585,89.36,8.395,1760013,1.6575,1.6234,9.7712,1504.3,1.9092,2.1417,8.2282,1,10624.2998,5.5397,57.309,0.3706,13.9288,4.7828,36.8006,4.7205,4.6225,2.1625,1.9593,2.4171,2.119,3.5597,1.2149,2675,10.401,7.723,2.1442,73.839,0.8825,69.672,10.706,8.0596,1.5169,7.5481,2364.7,,,,,,
2004-01-04,1.2582,134.67,1.9557,0.5864,32.292,7.4454,15.6466,0.7005,261.5,3.4525,0.6715,0.4316,4.6997,41122,9.0375,236.85,41.145,1.5585,89.36,8.395,1760013,1.6575,1.6234,9.7712,1504.3,1.9092,2.1417,8.2282,1,10624.2998,5.5397,57.309,0.3706,13.9288,4.7828,36.8006,4.7205,4.6225,2.1625,1.9593,2.4171,2.119,3.5597,1.2149,2675,10.401,7.723,2.1442,73.839,0.8825,69.672,10.706,8.0596,1.5169,7.5481,2364.7,,,,,,
2004-01-05,1.2687,134.8,1.9558,0.5864,32.35,7.4482,15.6466,0.7017,259.75,3.4533,0.6727,0.4316,4.6726,41272,9.0807,236.97,41.04,1.563,89.02,8.4425,1743696,1.6522,1.6244,9.8447,1495.5,1.89,2.1528,7.9591,1,10475,5.5512,57.669,0.3723,13.9417,4.8166,37.07,4.7503,4.6553,2.1773,1.9722,2.4336,2.131,3.5634,1.2232,2693,10.4756,7.756,2.1466,74.335,0.8884,69.911,10.779,7.8802,1.5196,7.5991,2402.2,,,,,,
2004-01-06,1.2721,135.11,1.9558,0.5862,32.35,7.4471,15.6466,0.6984,259.6,3.4539,0.6754,0.4314,4.6366,41429,9.102,237,40.88,1.567,88.9,8.5485,1754294,1.6541,1.6361,9.8711,1512.7,1.8949,2.1583,8.1688,1,10634.9004,5.5705,57.939,0.3755,13.8898,4.8517,37.19,4.7863,4.6899,2.1881,1.9605,2.4457,2.136,3.5426,1.2292,2706,10.5544,7.823,2.1398,74.697,0.8943,70.238,10.832,7.6644,1.523,7.6363,2425.3999,,,,,,
2004-01-07,1.2641,134.18,1.9558,0.5864,32.37,7.4492,15.6466,0.6952,261.92,3.4535,0.6731,0.431,4.6552,41259,9.0826,237.05,40.915,1.567,88.73,8.6114,1733425,1.6451,1.6291,9.8087,1487.9,1.8826,2.1432,8.2703,1,10443,5.5562,57.386,0.3723,13.7528,4.8113,36.95,4.7462,4.65,2.1739,1.9405,2.4298,2.125,3.5687,1.2213,2689,10.4643,7.759,2.1182,74.222,0.8881,69.687,10.762,7.8046,1.5178,7.6001,2404.8999,,,,,,
2004-01-08,1.2775,135.62,1.9558,0.5865,32.38,7.4475,15.6466,0.696,266.3,3.4534,0.6716,0.4305,4.6979,41287,9.1067,237.13,40.876,1.5666,88.75,8.6487,1727017,1.6487,1.6331,9.9146,1495,1.8845,2.1634,8.385,1,10648.5,5.5937,58.077,0.3748,13.8605,4.8514,37.15,4.7852,4.6881,2.16,1.9462,2.4143,2.107,3.5217,1.2135,2681,10.5521,7.842,2.1447,73.969,0.8949,70.261,10.694,7.9435,1.5213,7.5395,2395.3,,,,,,
2004-01-09,1.2859,136.83,1.9556,0.5866,32.59,7.4475,15.6466,0.6923,267.85,3.4533,0.6747,0.4306,4.678,41239,9.1071,237.35,40.652,1.5661,88.87,8.6326,1731070,1.6574,1.6298,9.956,1518.8,1.8818,2.1744,8.6537,1,10695.4004,5.6107,58.457,0.3787,13.8673,4.8823,37.1869,4.8207,4.7179,2.1891,1.9538,2.4469,2.137,3.5525,1.2298,2719,10.6226,7.897,2.1496,74.95,0.9,70.832,10.837,8.1143,1.5263,7.64,2431,,,,,,
2004-01-10,1.2859,136.83,1.9556,0.5866,32.59,7.4475,15.6466,0.6923,267.85,3.4533,0.6747,0.4306,4.678,41239,9.1071,237.35,40.652,1.5661,88.87,8.6326,1731070,1.6574,1.6298,9.956,1518.8,1.8818,2.1744,8.6537,1,10695.4004,5.6107,58.457,0.3787,13.8673,4.8823,37.1869,4.8207,4.7179,2.1891,1.9538,2.4469,2.137,3.5525,1.2298,2719,10.6226,7.897,2.1496,74.95,0.9,70.832,10.837,8.1143,1.5263,7.64,2431,,,,,,
