date,USD,JPY,BGN,CYP,CZK,DKK,EEK,GBP,HUF,LTL,LVL,MTL,PLN,ROL,SEK,SIT,SKK,CHF,ISK,NOK,TRL,AUD,CAD,HKD,KRW,NZD,SGD,ZAR,EUR,AED,ANG,BAM,BBD,BND,BOB,BRL,BSD,BYR,CNY,COP,EGP,FJD,HRK,IDR,ILS,INR,JMD,JOD,KES,LBP,MUR,MXN,MYR,SAR,TTD,UGX,TRY,KWD,MGA,RUB,UZS,PHP,THB,PKR,RON,BDT,BMD,BWP,BZD,KZT,PEN,UYU,XAF
2005-01-01,1.3565,138.96,1.9552,0.58,30.28,7.4374,15.6466,0.7062,245.57,3.4529,0.6979,0.4343,4.056,39390,9.0268,239.76,38.745,1.546,83.6,8.2368,1836200,1.7346,1.6289,10.5413,1360,1.8877,2.2125,7.6458,1,4.9922,2.3421,1.9548,2.6179,2.2012,10.9298,3.5362,1.3158,2911,10.9622,3197.6399,8.144,2.1499,7.6571,12402.5996,5.8455,58.718,81.655,0.9348,106.905,2057.22,38.3037,15.036,5.0309,5.0032,8.2707,2299.5,,,,,,,,,,,,,,,,,
2005-01-02,1.3565,138.96,1.9552,0.58,30.28,7.4374,15.6466,0.7062,245.57,3.4529,0.6979,0.4343,4.056,39390,9.0268,239.76,38.745,1.546,83.6,8.2368,1836200,1.7346,1.6289,10.5413,1360,1.8877,2.2125,7.6458,1,4.9922,2.3421,1.9548,2.6179,2.2012,10.9298,3.5362,1.3158,2911,10.9622,3197.6399,8.144,2.1499,7.6571,12402.5996,5.8455,58.718,81.655,0.9348,106.905,2057.22,38.3037,15.036,5.0309,5.0032,8.2707,2299.5,,,,,,,,,,,,,,,,,
2005-01-03,1.347,138.36,1.9557,0.58,30.396,7.4339,15.6466,0.7071,245.25,3.4527,0.6964,0.4343,4.0765,39230,9.0334,239.78,38.655,1.5452,83.39,8.2355,,1.733,1.6265,10.4737,1383.4,1.8859,2.1821,7.5853,1,4.9452,2.3241,1.9736,2.5977,2.189,10.8272,3.5146,1.3056,2889,11.1351,3152.1599,7.9571,2.2173,7.6245,12500,5.8643,58.465,80.887,0.9397,105.7,2037.9301,37.9444,15.117,5.1198,5.0491,8.2075,2296.8,1.809,0.3921,,,,,,,,,,,,,,,
2005-01-04,1.3282,138.57,1.9568,0.5801,30.434,7.435,15.6466,0.7051,245.15,3.4529,0.6965,0.4338,4.1091,38942,9.0475,239.78,38.57,1.5512,83.39,8.2801,,1.734,1.6221,10.3392,1366,1.8902,2.1653,7.728,1,4.8768,2.3003,1.9541,2.5711,2.1705,10.6777,3.5005,1.2923,2860,10.9915,3070.77,7.8769,2.182,7.6086,12330,5.8105,57.732,80.072,0.927,104.439,2009.78,37.4601,15.03,5.0537,4.9773,8.1244,2274.6001,1.8005,0.3868,,,,,,,,,,,,,,,
2005-01-05,1.328,137.98,1.956,0.5806,30.366,7.4394,15.6466,0.7042,246,3.4529,0.6965,0.4332,4.1093,38666,9.0285,239.77,38.625,1.5497,83.24,8.2669,,1.7343,1.626,10.3374,1375.4,1.8962,2.1833,7.8418,1,4.8706,2.2764,1.9344,2.5444,2.159,10.664,3.5274,1.2788,2831,10.9824,3132.29,7.7265,2.2015,7.5901,12320,5.8034,57.89,79.252,0.9255,104.239,2007.2,37.4519,15.039,5.0501,4.9711,8.0407,2239.2,1.821,0.3872,2388.3999,,,,,,,,,,,,,,
2005-01-06,1.3183,138.23,1.9557,0.5804,30.325,7.4401,15.6466,0.7024,248.39,3.4529,0.697,0.433,4.1024,38775,9.0566,239.78,38.62,1.547,83.15,8.269,,1.7284,1.628,10.2709,1382,1.8838,2.1737,8.0487,1,4.8376,2.2679,1.9275,2.5349,2.154,10.5916,3.5091,1.2741,2820,10.8905,3119.1299,7.6949,2.1881,7.5686,12260,5.7774,57.766,78.962,0.9194,103.73,1993.58,37.1978,15,5.0072,4.9393,8.0111,2224,1.8335,0.3844,,,,,,,,,,,,,,,
2005-01-07,1.3061,137.07,1.9559,0.5807,30.33,7.4401,15.6466,0.6986,247.88,3.4527,0.6968,0.4329,4.093,39003,9.0359,239.77,38.608,1.5497,83.36,8.234,,1.7244,1.6098,10.1828,1364.7,1.8864,2.1537,7.9855,1,4.7939,2.2724,1.9312,2.54,2.148,10.4963,3.5031,1.2766,2826,10.7879,3106.73,7.7101,2.1728,7.5512,12130,5.7358,57.354,79.118,0.9124,102.47,1976.3,36.8761,14.8,4.9602,4.8942,8.027,2232.3,1.819,0.3806,,,,,,,,,,,,,,,
2005-01-08,1.3061,137.07,1.9559,0.5807,30.33,7.4401,15.6466,0.6986,247.88,3.4527,0.6968,0.4329,4.093,39003,9.0359,239.77,38.608,1.5497,83.36,8.234,,1.7244,1.6098,10.1828,1364.7,1.8864,2.1537,7.9855,1,4.7939,2.2724,1.9312,2.54,2.148,10.4963,3.5031,1.2766,2826,10.7879,3106.73,7.7101,2.1728,7.5512,12130,5.7358,57.354,79.118,0.9124,102.47,1976.3,36.8761,14.8,4.9602,4.8942,8.027,2232.3,1.819,0.3806,,,,,,,,,,,,,,,
2005-01-09,1.3061,137.07,1.9559,0.5807,30.33,7.4401,15.6466,0.6986,247.88,3.4527,0.6968,0.4329,4.093,39003,9.0359,239.77,38.608,1.5497,83.36,8.234,,1.7244,1.6098,10.1828,1364.7,1.8864,2.1537,7.9855,1,4.7939,2.2724,1.9312,2.54,2.148,10.4963,3.5031,1.2766,2826,10.7879,3106.73,7.7101,2.1728,7.5512,12130,5.7358,57.354,79.118,0.9124,102.47,1976.3,36.8761,14.8,4.9602,4.8942,8.027,2232.3,1.819,0.3806,,,,,,,,,,,,,,,
2005-01-10,1.311,136.57,1.9509,0.5809,30.238,7.4404,15.6466,0.6981,247.53,3.4527,0.6969,0.4321,4.0643,38671,9.0397,239.78,38.528,1.5462,82.99,8.2269,,1.726,1.6004,10.2167,1326,1.8831,2.1292,7.8585,1,4.8014,2.233,1.9245,2.4982,2.1315,10.5259,3.394,1.3037,2741,10.8301,3113.5701,7.724,2.1009,7.568,12160,5.7118,57.399,76.607,0.8894,102.043,1979.4,36.9995,14.735,4.9796,4.907,7.9057,2266.5,1.8205,0.382,,,,,,,,,,,,,,,
