date,USD,JPY,BGN,CZK,DKK,EEK,GBP,HUF,LTL,LVL,PLN,RON,SEK,CHF,NOK,HRK,RUB,TRY,AUD,BRL,CAD,CNY,HKD,IDR,INR,KRW,MXN,MYR,NZD,PHP,SGD,THB,ZAR,EUR,ILS,ISK,MVR,AED,AFN,ALL,ARS,BAM,BBD,BDT,BHD,BIF,BND,BOB,BSD,BWP,BYR,BZD,CLP,COP,CRC,CUP,CVE,DJF,DOP,DZD,EGP,ETB,FJD,GHS,GMD,GNF,GTQ,HNL,HTG,IQD,IRR,JMD,JOD,KES,KHR,KWD,KZT,LAK,LBP,LKR,LSL,LYD,MAD,MDL,MGA,MKD,MMK,MOP,MRO,MUR,MWK,NAD,NGN,NIO,NPR,OMR,PAB,PEN,PGK,PKR,PYG,QAR,RSD,RWF,SAR,SCR,SDG,SOS,STD,SVC,SYP,SZL,TND,TTD,TWD,TZS,UAH,UGX,UYU,UZS,VEF,VND,XAF,XOF,XPF,ANG,KYD,XCD
2010-01-01,1.439,133.71,1.9558,26.38,7.4411,15.6466,0.8895,269.29,3.4126,0.7026,4.0886,4.2363,10.2248,1.4845,8.2749,7.3,43.154,2.1547,1.6023,2.5113,1.5041,9.835,11.1137,13626.13,67.121,1666.97,18.9223,4.9326,1.9749,66.507,2.0078,47.986,10.497,1,5.4194,175.7,18.159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-02,1.439,133.71,1.9558,26.38,7.4411,15.6466,0.8895,269.29,3.4126,0.7026,4.0886,4.2363,10.2248,1.4845,8.2749,7.3,43.154,2.1547,1.6023,2.5113,1.5041,9.835,11.1137,13626.13,67.121,1666.97,18.9223,4.9326,1.9749,66.507,2.0078,47.986,10.497,1,5.4194,175.7,18.159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-03,1.439,133.71,1.9558,26.38,7.4411,15.6466,0.8895,269.29,3.4126,0.7026,4.0886,4.2363,10.2248,1.4845,8.2749,7.3,43.154,2.1547,1.6023,2.5113,1.5041,9.835,11.1137,13626.13,67.121,1666.97,18.9223,4.9326,1.9749,66.507,2.0078,47.986,10.497,1,5.4194,175.7,18.159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-04,1.4424,133.39,1.9457,26.16,7.4412,15.6466,0.8952,268.47,3.4515,0.7047,4.0824,4.1274,10.1619,1.4844,8.2234,7.1467,43.701,2.1252,1.5805,2.4786,1.5015,9.6273,11.187,13219.2998,66.668,1656.86,18.3784,4.8097,1.9635,66.105,2.0143,46.9958,10.5073,1,5.4124,175.91,18.201,5.2162,64.53,135.36,5.3897,1.9458,2.8284,97.3249,0.5413,1757.33,1.9886,9.9032,1.4322,9.3838,4066,2.7924,713.588,2914,784.04,1.409,104.5,242.39,51.119,101.587,7.7324,18.0206,2.7309,2.0403,37.779,7098.7998,11.7936,26.694,56.208,1629.4,14001,126.181,0.9931,107.2,5931.7002,0.4128,210.75,11967.4004,2122.3999,161.216,10.3647,1.7504,10.9872,17.3086,2792.4199,60.943,9.0913,11.2992,371.51,42.34,199.648,10.0624,212.74,29.49,104.988,0.5401,1.4142,4.0617,3.6797,120.135,6627,5.0908,95.4855,806.78,5.3224,14.448,3.2887,2102.2,22044,12.35,64.299,10.3421,1.8816,9.0033,44.6946,1898.53,11.4456,2709.6001,27.536,2140.21,3.0904,26188,642.957,642.957,116.86,,,
2010-01-05,1.4366,131.53,1.9485,26.231,7.4412,15.6466,0.8982,269.44,3.4515,0.7047,4.0941,4.1738,10.1978,1.4846,8.2053,7.2915,43.0839,2.1153,1.5752,2.4861,1.4929,9.8068,11.1384,13365,66.238,1639.1801,18.308,4.8738,1.9571,65.837,2.0062,47.67,10.5052,1,5.3542,174.6,18.128,5.2848,64.56,135.51,5.4656,1.9458,2.8337,98.0625,0.5404,1759.17,1.987,9.9218,1.4349,9.3824,4074,2.7977,714.062,2866.1001,792.72,1.412,104.7,236.65,51.071,101.44,7.817,18.0543,2.7204,2.0455,37.489,7119.2998,11.8157,26.744,56.314,1632.45,14024.2998,126.633,1.0023,103.57,5942.1001,0.4118,210.75,11993.5,2157,164.37,10.3495,1.7481,11.195,17.2906,2808.47,61.089,9.1083,11.3204,372.21,42.56,200.023,10.0527,212.56,29.565,104.608,0.5511,1.4169,4.0639,3.7364,121.6,6495.2998,5.2391,96.99,808.8,5.391,14.3,3.2948,2106.2,22085.1992,12.373,64.348,10.3327,1.8827,9.0202,44.9157,1884.0601,11.3818,2724.8,27.588,2144.21,3.082,26237,642.957,642.957,116.86,,,
2010-01-06,1.4404,133.013,1.9482,26.25,7.4402,15.6466,0.8988,268.5,3.4514,0.7046,4.091,4.1474,10.1845,1.48,8.1592,7.2878,43.0124,2.1226,1.5644,2.4867,1.4859,9.8173,11.167,13275,65.818,1627.88,18.204,4.866,1.9506,65.885,2.0062,47.479,10.5194,1,5.343,174.26,18.162,5.289,64.18,135.36,5.485,1.9458,2.8196,97.5742,0.5405,1751.87,1.9774,9.8723,1.4278,9.3799,4058,2.7837,706.915,2801.7,788.63,1.405,104.18,237.62,50.96,101.392,7.805,17.9648,2.729,2.0347,37.876,7119.8999,11.7569,26.611,56.033,1624.3199,13947.2998,126.005,1.0046,104.01,5864.5,0.4121,209.65,11933.5996,2158,164.5,10.3619,1.743,11.197,17.2046,2799.51,61.142,9.0629,11.2626,370.35,42.1,206.434,10.0712,210.86,29.421,103.571,0.5526,1.4097,4.0458,3.675,121.34,6462.8999,5.2418,97.284,805.35,5.3924,14.329,3.2784,2094.3,21975.5,12.312,63.955,10.3443,1.888,8.9753,44.7249,1884.74,11.3814,2704.8,27.45,2133.5601,3.0871,26106,642.957,642.957,116.86,,,
2010-01-07,1.4318,133.748,1.9482,26.278,7.4404,15.6466,0.8985,269.38,3.4515,0.7052,4.1084,4.1554,10.1903,1.4797,8.172,7.2895,42.7459,2.1075,1.5592,2.489,1.4804,9.7561,11.1032,13077,65.398,1624.8,18.112,4.82,1.9533,65.358,2.0005,47.175,10.6318,1,5.3256,173.31,18.054,5.2563,64.16,135.49,5.4291,1.9458,2.8153,96.8738,0.5369,1749.2,1.976,9.8572,1.4257,9.4229,4052,2.7795,697.955,2775.8999,801.94,1.403,104.02,232.6,50.99,102.27,7.76,17.9375,2.7043,2.0316,37.245,7073.2998,11.739,26.57,55.948,1621.85,13926.0996,125.813,0.9988,103.01,5855.5,0.4097,209.33,11906.7998,2119.7,163.46,10.4271,1.743,11.183,17.1783,2802.4099,60.73,9.0491,11.2426,369.79,41.46,206.167,10.1359,211.54,29.385,102.339,0.5493,1.4084,4.0253,3.7021,119.839,6453,5.2092,96.706,803.76,5.3585,14.305,3.2735,2073.2,21942,12.293,63.786,10.4159,1.882,8.9617,44.6586,1882.59,11.4286,2702.8,27.408,2133.46,3.068,26071,642.957,642.957,116.86,,,
2010-01-08,1.4411,133.49,1.9488,26.234,7.4398,15.6466,0.8935,267.04,3.4514,0.705,4.0625,4.1556,10.1922,1.4747,8.155,7.2907,42.8713,2.1005,1.5579,2.4864,1.4836,9.7789,11.1755,13069,65.271,1618.33,18.12,4.8452,1.9562,65.454,2.0089,47.5,10.5758,1,5.3443,174.23,18.17,5.2691,64.03,135.56,5.4484,1.9458,2.7965,97.2409,0.5384,1746.41,1.9751,9.8414,1.4234,9.4271,4045,2.7536,689.042,2768.8999,784.81,1.4,103.85,232.23,50.659,101.193,7.769,17.9089,2.7357,2.0276,37.186,7097.7998,11.7653,26.527,55.858,1619.25,13896.7002,125.613,1.0001,103.09,5888.3999,0.4101,209,11887.7002,2116.3,163.99,10.4479,1.7418,11.194,17.1509,2805.79,61.155,9.0346,11.2268,369.2,41.4,206.217,10.1479,211.35,29.342,103.32,0.5507,1.4048,4.0131,3.6171,119.984,6449.7998,5.2198,97.13,802.47,5.3724,14.572,3.2682,2069.8,21907,12.276,63.683,10.4279,1.8714,8.9473,44.5911,1877.4399,11.4105,2704.2,27.436,2130.05,3.0774,26025,642.957,642.957,116.86,,,
2010-01-09,1.4411,133.49,1.9488,26.234,7.4398,15.6466,0.8935,267.04,3.4514,0.705,4.0625,4.1556,10.1922,1.4747,8.155,7.2907,42.8713,2.1005,1.5579,2.4864,1.4836,9.7789,11.1755,13069,65.271,1618.33,18.12,4.8452,1.9562,65.454,2.0089,47.5,10.5758,1,5.3443,174.23,18.17,5.2691,64.03,135.56,5.4484,1.9458,2.7965,97.2409,0.5384,1746.41,1.9751,9.8414,1.4234,9.4271,4045,2.7536,689.042,2768.8999,784.81,1.4,103.85,232.23,50.659,101.193,7.769,17.9089,2.7357,2.0276,37.186,7097.7998,11.7653,26.527,55.858,1619.25,13896.7002,125.613,1.0001,103.09,5888.3999,0.4101,209,11887.7002,2116.3,163.99,10.4479,1.7418,11.194,17.1509,2805.79,61.155,9.0346,11.2268,369.2,41.4,206.217,10.1479,211.35,29.342,103.32,0.5507,1.4048,4.0131,3.6171,119.984,6449.7998,5.2198,97.13,802.47,5.3724,14.572,3.2682,2069.8,21907,12.276,63.683,10.4279,1.8714,8.9473,44.5911,1877.4399,11.4105,2704.2,27.436,2130.05,3.0774,26025,642.957,642.957,116.86,,,
2010-01-10,1.4411,133.49,1.9488,26.234,7.4398,15.6466,0.8935,267.04,3.4514,0.705,4.0625,4.1556,10.1922,1.4747,8.155,7.2907,42.8713,2.1005,1.5579,2.4864,1.4836,9.7789,11.1755,13069,65.271,1618.33,18.12,4.8452,1.9562,65.454,2.0089,47.5,10.5758,1,5.3443,174.23,18.17,5.2691,64.03,135.56,5.4484,1.9458,2.7965,97.2409,0.5384,1746.41,1.9751,9.8414,1.4234,9.4271,4045,2.7536,689.042,2768.8999,784.81,1.4,103.85,232.23,50.659,101.193,7.769,17.9089,2.7357,2.0276,37.186,7097.7998,11.7653,26.527,55.858,1619.25,13896.7002,125.613,1.0001,103.09,5888.3999,0.4101,209,11887.7002,2116.3,163.99,10.4479,1.7418,11.194,17.1509,2805.79,61.155,9.0346,11.2268,369.2,41.4,206.217,10.1479,211.35,29.342,103.32,0.5507,1.4048,4.0131,3.6171,119.984,6449.7998,5.2198,97.13,802.47,5.3724,14.572,3.2682,2069.8,21907,12.276,63.683,10.4279,1.8714,8.9473,44.5911,1877.4399,11.4105,2704.2,27.436,2130.05,3.0774,26025,642.957,642.957,116.86,,,
