date,USD,JPY,BGN,CZK,DKK,EEK,GBP,HUF,LTL,LVL,PLN,RON,SEK,CHF,NOK,HRK,RUB,TRY,AUD,BRL,CAD,CNY,HKD,IDR,INR,KRW,MXN,MYR,NZD,PHP,SGD,THB,ZAR,EUR,AED,AFN,ALL,ANG,ARS,BAM,BBD,BDT,BHD,BIF,BND,BOB,BSD,BWP,BYR,BZD,CLP,COP,CRC,CUP,CVE,DJF,DOP,DZD,EGP,ETB,FJD,GHS,GMD,GNF,GTQ,HNL,HTG,ILS,IQD,IRR,ISK,JMD,JOD,KES,KHR,KWD,KYD,KZT,LAK,LBP,LKR,LSL,LYD,MAD,MDL,MGA,MKD,MMK,MOP,MRO,MUR,MVR,MWK,NAD,NGN,NIO,NPR,OMR,PAB,PEN,PGK,PKR,PYG,QAR,RSD,RWF,SAR,SCR,SDG,SOS,STD,SVC,SYP,SZL,TND,TTD,TWD,TZS,UAH,UGX,UYU,UZS,VEF,VND,XAF,XCD,XOF,XPF
2011-01-01,1.3301,108.384,1.9485,25.0104,7.4546,15.6466,0.8614,279.036,3.4521,0.7075,3.951,4.2776,8.9714,1.2431,7.8106,7.3838,40.5827,2.0657,1.3089,2.2035,1.3296,8.7385,10.3502,11794,59.57,1499.0601,16.284,4.0881,1.7235,57.905,1.7134,39.94,8.8028,1,4.8724,55.97,136.1,2.3744,5.2707,1.9458,2.5998,91.7048,0.4976,1607.59,1.6857,9.0875,1.3179,8.3988,3926,2.5667,605.325,2610.3999,655.07,1.295,108.26,228.42,48.619,97.166,7.651,21.7771,2.413,1.9468,37.04,9283.7002,10.3985,24.534,51.665,4.7126,1519.47,13486.5996,254,111.121,0.9224,101.99,5249.8999,0.3728,1.073,192.32,10422.7002,1994,146.98,8.5562,1.6326,11.032,15.8114,2781.97,61.752,8.3557,10.423,367.95,38.85,16.683,196.722,8.5562,200.44,28.485,93.587,0.509,1.2999,3.6357,3.2456,113.88,6024.2002,4.8265,105.5,768.68,4.9654,14.572,3.2679,2079.8,24392.5,11.35,60.698,8.5845,1.907,8.2631,37.495,1937.48,10.4161,3026.1001,25.766,2137.8401,5.688,25402,642.957,3.8784,642.957,116.86
2011-01-02,1.3301,108.384,1.9485,25.0104,7.4546,15.6466,0.8614,279.036,3.4521,0.7075,3.951,4.2776,8.9714,1.2431,7.8106,7.3838,40.5827,2.0657,1.3089,2.2035,1.3296,8.7385,10.3502,11794,59.57,1499.0601,16.284,4.0881,1.7235,57.905,1.7134,39.94,8.8028,1,4.8724,55.97,136.1,2.3744,5.2707,1.9458,2.5998,91.7048,0.4976,1607.59,1.6857,9.0875,1.3179,8.3988,3926,2.5667,605.325,2610.3999,655.07,1.295,108.26,228.42,48.619,97.166,7.651,21.7771,2.413,1.9468,37.04,9283.7002,10.3985,24.534,51.665,4.7126,1519.47,13486.5996,254,111.121,0.9224,101.99,5249.8999,0.3728,1.073,192.32,10422.7002,1994,146.98,8.5562,1.6326,11.032,15.8114,2781.97,61.752,8.3557,10.423,367.95,38.85,16.683,196.722,8.5562,200.44,28.485,93.587,0.509,1.2999,3.6357,3.2456,113.88,6024.2002,4.8265,105.5,768.68,4.9654,14.572,3.2679,2079.8,24392.5,11.35,60.698,8.5845,1.907,8.2631,37.495,1937.48,10.4161,3026.1001,25.766,2137.8401,5.688,25402,642.957,3.8784,642.957,116.86
2011-01-03,1.3358,108.354,1.9456,25.052,7.4533,,0.8575,277.143,3.4515,0.7067,3.9577,4.1837,8.9666,1.2448,7.7834,7.3838,39.9241,2.0605,1.3074,2.2035,1.326,8.7385,10.3809,11828.5,60.011,1499.0601,16.2926,4.0881,1.7159,57.905,1.7129,39.4107,8.7986,1,4.8456,56.6,136.33,2.3744,5.2707,1.9458,2.6267,92.6541,0.4916,1604.12,1.6912,9.1818,1.3314,8.4801,3966,2.5932,612.281,2526.2,665.68,1.308,108.25,230.78,49.221,97.8937,7.6191,22.0007,2.4384,1.9638,36.754,9345.4004,10.5275,24.788,52.199,4.7243,1535.2,13608.5996,254,112.268,0.9224,106.639,5306.8999,0.3653,1.0841,194.23,10531.0996,1968.9,144.983,8.6549,1.6416,10.8478,15.9549,2810.72,61.752,8.4423,10.5289,371.75,39.552,16.848,198.76,8.6549,200.63,28.783,93.938,0.509,1.313,3.6761,3.2793,113.023,6086.6001,4.7232,104.971,777.3,4.9654,14.572,3.3016,2101.3999,24382.6992,11.468,61.302,8.6933,1.9108,8.3485,37.9975,1984.22,10.5233,3045.8999,26.033,2159.8899,5.6939,25695,642.957,3.8784,642.957,116.86
2011-01-04,1.3357,109.063,1.948,25.023,7.4522,,0.8622,277.56,3.4521,0.7075,3.9467,4.2653,8.943,1.2476,7.7771,7.3838,40.8394,2.077,1.3131,2.1972,1.3253,8.7905,10.3779,11970,59.577,1502.27,16.234,4.0935,1.7255,58.365,1.716,39.957,8.8354,1,4.9083,56.25,136.23,2.3744,5.308,1.9458,2.6127,92.0269,0.5019,1614.89,1.6855,9.1328,1.3244,8.698,3944,2.5794,605.278,2506.2,657.13,1.301,108.28,229.55,48.859,97.199,7.714,21.895,2.4125,1.9538,34.894,9562.2998,10.4714,24.656,51.921,4.7214,1527.01,13550.7998,254,111.671,0.9298,103.17,5265.2998,0.3746,1.0784,193.2,10470.7002,2004,148.13,8.5759,1.637,11.048,15.9232,2803.75,61.466,8.3972,10.4608,369.77,39.72,16.855,197.367,8.585,199.56,28.63,93.412,0.5128,1.3061,3.6562,3.2617,112.463,6054.1001,4.8633,105.909,777.82,5.0104,14.742,3.2834,2096.8,25050,11.407,60.94,8.6055,1.9109,8.3041,37.7469,1957.04,10.4675,3030.3999,25.894,2149.1499,5.742,25559,642.957,3.8784,642.957,116.86
2011-01-05,1.3321,109.27,1.9483,24.874,7.453,,0.8538,275.24,3.4522,0.7077,3.8892,4.2599,8.9406,1.2615,7.7947,7.386,40.7145,2.0492,1.3222,2.2171,1.3278,8.7752,10.3444,11805,59.743,1494.3199,16.162,4.0742,1.7344,57.796,1.7139,39.774,8.8704,1,4.8849,56.57,136.25,2.3744,5.2836,1.9458,2.6253,93.1196,0.4993,1621.99,1.6943,9.1769,1.3307,8.4979,3966,2.5919,634.024,2482.3,660.31,1.308,108.25,230.59,49.094,97.331,7.656,22.0031,2.4025,1.9631,36.734,9340.4004,10.5219,24.775,52.172,4.6902,1533.71,13596,254,112.208,0.9273,102.84,5304.1001,0.3732,1.0836,194.13,10528.7998,1996,147.36,8.6868,1.6425,11.049,16.0545,2792.6499,61.172,8.4378,10.5059,371.55,38.9,16.855,197.985,8.6868,200.92,28.782,94.597,0.5105,1.3127,3.6668,3.2776,114.13,6083.3999,4.8414,106.395,781.88,4.9808,14.649,3.2985,2100.2,24262.8008,11.462,61.189,8.7154,1.9059,8.3441,37.9591,1933,10.5177,3065,26.019,2159.48,5.7087,25683,642.957,3.8784,642.957,116.86
2011-01-06,1.3157,109.433,1.9481,24.795,7.4518,,0.848,274.743,3.4522,0.7078,3.8679,4.2595,8.8827,1.2705,7.7535,7.375,40.3617,2.0312,1.3155,2.1962,1.3111,8.6524,10.2221,11684,59.483,1484.03,15.913,4.0367,1.7343,57.43,1.6999,39.71,8.8266,1,4.8357,55.88,136.21,2.3744,5.225,1.9458,2.5962,92.2393,0.4938,1585.52,1.683,9.0749,1.3161,8.4652,3923,2.5631,636.105,2457.7,657.61,1.293,108.27,228.1,48.552,96.08,7.582,21.7604,2.3911,1.9444,36.492,9254.4004,10.4013,24.5,51.593,4.6582,1518.6899,13477.2002,254,110.968,0.9172,101.83,5260.5,0.3699,1.0716,191.65,10410.9004,1972,145.7,8.6751,1.6312,11.013,15.9841,2780.77,61.108,8.3441,10.3894,368.76,38.4,16.802,195.488,8.6751,198.84,28.468,94.271,0.5052,1.2982,3.628,3.285,112.73,6015.7998,4.791,106.202,774.23,4.9335,14.458,3.2641,2077,24719.8008,11.334,60.561,8.7058,1.8984,8.2517,37.6841,1902.39,10.4005,3031.2,25.756,2135.6101,5.6503,25399,642.957,3.8784,642.957,116.86
2011-01-07,1.298,108.11,1.9483,24.611,7.4504,,0.84,276.03,3.4522,0.7005,3.8619,4.2466,8.9209,1.2536,7.7452,7.3977,40.0118,2.0135,1.3067,2.1951,1.2947,8.613,10.088,11725,58.754,1461.1,15.794,3.9976,1.7167,57.069,1.6829,39.149,8.811,1,4.7828,55.35,135.87,2.3744,5.1685,1.9458,2.5578,91.1699,0.4885,1588.4399,1.671,8.9863,1.3035,8.4388,3892,2.5185,633.821,2415,652.3,1.28,108.27,225.81,48.099,94.631,7.508,21.5585,2.3694,1.9227,34.335,9410.7998,10.3229,24.261,51.09,4.6313,1502.4399,13372.0996,254,110.08,0.9055,100.47,5209.8999,0.3664,1.0415,189.77,10311.5996,1952,144.19,8.6512,1.6246,11.015,15.871,2754.3601,60.502,8.2627,10.2934,363.86,38.16,16.604,193.878,8.6388,196.52,28.195,93.059,0.4995,1.2851,3.5925,3.2368,111.48,5799.7998,4.7384,105.782,765.84,4.8811,14.271,3.2331,2056.7,24456.3008,11.224,60.093,8.6809,1.8953,8.2107,37.347,1893.09,10.3023,3005.7,25.576,2114.8601,5.595,25151,642.957,3.8784,642.957,116.86
2011-01-08,1.298,108.11,1.9483,24.611,7.4504,,0.84,276.03,3.4522,0.7005,3.8619,4.2466,8.9209,1.2536,7.7452,7.3977,40.0118,2.0135,1.3067,2.1951,1.2947,8.613,10.088,11725,58.754,1461.1,15.794,3.9976,1.7167,57.069,1.6829,39.149,8.811,1,4.7828,55.35,135.87,2.3744,5.1685,1.9458,2.5578,91.1699,0.4885,1588.4399,1.671,8.9863,1.3035,8.4388,3892,2.5185,633.821,2415,652.3,1.28,108.27,225.81,48.099,94.631,7.508,21.5585,2.3694,1.9227,34.335,9410.7998,10.3229,24.261,51.09,4.6313,1502.4399,13372.0996,254,110.08,0.9055,100.47,5209.8999,0.3664,1.0415,189.77,10311.5996,1952,144.19,8.6512,1.6246,11.015,15.871,2754.3601,60.502,8.2627,10.2934,363.86,38.16,16.604,193.878,8.6388,196.52,28.195,93.059,0.4995,1.2851,3.5925,3.2368,111.48,5799.7998,4.7384,105.782,765.84,4.8811,14.271,3.2331,2056.7,24456.3008,11.224,60.093,8.6809,1.8953,8.2107,37.347,1893.09,10.3023,3005.7,25.576,2114.8601,5.595,25151,642.957,3.8784,642.957,116.86
2011-01-09,1.298,108.11,1.9483,24.611,7.4504,,0.84,276.03,3.4522,0.7005,3.8619,4.2466,8.9209,1.2536,7.7452,7.3977,40.0118,2.0135,1.3067,2.1951,1.2947,8.613,10.088,11725,58.754,1461.1,15.794,3.9976,1.7167,57.069,1.6829,39.149,8.811,1,4.7828,55.35,135.87,2.3744,5.1685,1.9458,2.5578,91.1699,0.4885,1588.4399,1.671,8.9863,1.3035,8.4388,3892,2.5185,633.821,2415,652.3,1.28,108.27,225.81,48.099,94.631,7.508,21.5585,2.3694,1.9227,34.335,9410.7998,10.3229,24.261,51.09,4.6313,1502.4399,13372.0996,254,110.08,0.9055,100.47,5209.8999,0.3664,1.0415,189.77,10311.5996,1952,144.19,8.6512,1.6246,11.015,15.871,2754.3601,60.502,8.2627,10.2934,363.86,38.16,16.604,193.878,8.6388,196.52,28.195,93.059,0.4995,1.2851,3.5925,3.2368,111.48,5799.7998,4.7384,105.782,765.84,4.8811,14.271,3.2331,2056.7,24456.3008,11.224,60.093,8.6809,1.8953,8.2107,37.347,1893.09,10.3023,3005.7,25.576,2114.8601,5.595,25151,642.957,3.8784,642.957,116.86
2011-01-10,1.2895,107.08,1.9459,24.4829,7.449,,0.8296,276.93,3.4517,0.7073,3.8839,4.1584,8.9389,1.2465,7.7242,7.3741,38.67,2.0276,1.2955,2.1761,1.2788,8.5589,10.0228,11478.7002,58.596,1449.28,15.5597,3.9678,1.6982,57.006,1.6701,38.6612,8.7566,1,4.6938,54.84,136.08,2.3744,5.1391,1.9458,2.544,90.3194,0.476,1571.85,1.6573,8.892,1.29,8.4124,3851,2.5116,629.766,2370.8999,641.63,1.267,108.27,223.45,47.598,94.27,7.3726,21.334,2.3182,1.8978,33.975,9313.2998,10.2117,24.007,50.556,4.6094,1486.71,13174,254,108.938,0.9002,103.687,5133.3999,0.3551,1.05,187.79,10184.4004,1915.2,140.273,8.635,1.6151,10.782,15.705,2725.5801,60.041,8.1762,10.187,358.75,38.6234,16.292,192.496,8.635,194.38,27.904,92.67,0.4963,1.2716,3.5568,3.318,109.585,5758.3999,4.5721,104.791,758.34,4.8415,14.105,3.1994,2035.2,24270.1992,11.106,59.429,8.665,1.8851,8.086,37.0734,1883.08,10.1951,2978.3,25.275,2092.79,5.5513,24890,642.957,3.8784,642.957,116.86
