date,USD,JPY,BGN,CZK,DKK,GBP,HUF,LTL,LVL,PLN,RON,SEK,CHF,NOK,HRK,RUB,TRY,AUD,BRL,CAD,CNY,HKD,IDR,ILS,INR,KRW,MXN,MYR,NZD,PHP,SGD,THB,ZAR,EUR,AED,AFN,ALL,ARS,BAM,BBD,BDT,BHD,BIF,BMD,BND,BOB,BSD,BWP,BYR,BZD,CLP,COP,CRC,CUP,CVE,DJF,DOP,DZD,EGP,ETB,FJD,GHS,GNF,GTQ,HNL,HTG,IQD,ISK,JMD,JOD,KES,KHR,KWD,KYD,KZT,LAK,LBP,LKR,LSL,LYD,MAD,MDL,MGA,MKD,MMK,MOP,MRO,MUR,MVR,MWK,NAD,NGN,NIO,NPR,OMR,PAB,PEN,PGK,PKR,PYG,QAR,RSD,RWF,SAR,SCR,SDG,SOS,STD,SVC,SZL,TND,TTD,TWD,TZS,UAH,UGX,UYU,UZS,VEF,VND,XAF,XOF,XPF,ZMW,XCD
2014-01-01,1.3745,144.75,1.9482,27.3138,7.4592,0.8297,296.912,3.4527,0.6928,4.1494,4.46,8.8433,1.2272,8.3387,7.617,45.213,2.9527,1.5409,3.2426,1.4601,8.3127,10.6561,16750,4.763,84.884,1449.54,17.911,4.4333,1.6708,60.857,1.7354,44.931,14.4237,1,5.0475,76.11,137.88,8.9542,1.9458,2.6758,105.166,0.5151,2108.5601,1.3738,1.7141,9.3127,1.3697,11.9106,13056,2.6895,710.462,2605,675.29,1.347,110.265,237.72,57.914,107.323,9.534,25.989,2.5708,3.2308,9587.9004,10.5964,27.405,59.109,1571.1801,158.49,144.118,0.9661,116.82,5365.2998,0.3875,1.1273,209.49,10805.9004,2069,179.64,14.2665,1.672,10.944,17.6223,3023.3701,61.005,1336.0699,10.7945,393.46,40.12,21.024,587.962,14.2665,217.26,34.439,134.461,0.5278,1.3518,3.7726,3.385,145.68,6200.1001,5.0011,114.422,916.99,5.1498,15.595,7.8004,1487.4,24500,11.807,14.3076,2.2571,8.6743,40.0517,2133.3701,11.2036,3436.5,28.516,3034.9299,8.6427,28640,655.957,655.957,119.26,7.5285,
2014-01-02,1.3767,145.011,1.9482,27.323,7.4582,0.8304,296.7,3.4527,0.6928,4.1473,4.46,8.8522,1.2272,8.3509,7.617,45.213,2.9552,1.5481,3.2426,1.4655,8.3127,10.6738,16516.9004,4.776,85.119,1449.54,17.9366,4.4333,1.677,60.857,1.7398,44.931,14.4284,1,5.0475,76.11,137.88,8.9542,1.9458,2.6758,105.166,0.5151,2108.5601,1.3738,1.7141,9.3127,1.3697,11.9106,13056,2.6895,710.462,2605,675.29,1.347,110.265,237.72,57.914,107.323,9.534,25.989,2.5708,3.2308,9587.9004,10.5964,27.405,59.109,1571.1801,158.06,144.118,0.9661,116.82,5365.2998,0.3875,1.1273,209.49,10805.9004,2028.4,179.64,14.2665,1.672,10.944,17.6223,3023.3701,61.005,1336.0699,10.7945,393.46,40.12,20.924,587.962,14.2665,217.26,34.439,134.461,0.5278,1.3518,3.7726,3.385,144.79,6200.1001,5.0011,114.422,916.99,5.1498,15.595,7.8004,1487.4,24500,11.807,14.3076,2.2571,8.6743,40.0517,2133.3701,11.2036,3436.5,28.516,3034.9299,8.6427,28640,655.957,655.957,119.26,7.5285,
2014-01-03,1.3667,143.257,1.9483,27.481,7.4581,0.8308,297.59,3.4527,0.6928,4.1657,4.4733,8.9116,1.2287,8.431,7.6269,45.1941,2.9632,1.5341,3.259,1.4579,8.2588,10.5948,16750,4.7665,85.015,1434.1801,17.9701,4.4186,1.6685,60.657,1.7311,45.015,14.5865,1,5.017,76.04,137.43,8.9396,1.9458,2.6602,104.556,0.5122,2096.24,1.3658,1.711,9.2584,1.3618,11.9053,12981,2.6739,708.932,2594.5,671.29,1.339,110.265,234.63,57.579,106.646,9.483,25.9783,2.5613,3.1575,9532.7002,10.5348,27.218,58.467,1604.35,157.94,143.361,0.959,116.76,5394.3999,0.3849,1.1207,208.27,10731.2002,2052,178.45,14.3162,1.6714,10.931,17.5273,3012.6899,61.115,1326.95,10.7321,391.18,39.63,20.83,557.211,14.3115,214.09,34.281,134.54,0.5246,1.3438,3.7481,3.3652,144.07,6164,4.9725,114.478,910.31,5.1204,15.468,7.7522,1477.3,24500,11.737,14.3534,2.2551,8.624,39.975,2122.29,11.1389,3413.3,28.323,2979.3701,8.5933,28495,655.957,655.957,119.26,7.5126,
2014-01-04,1.3667,143.257,1.9483,27.481,7.4581,0.8308,297.59,3.4527,0.6928,4.1657,4.4733,8.9116,1.2287,8.431,7.6269,45.1941,2.9632,1.5341,3.259,1.4579,8.2588,10.5948,16750,4.7665,85.015,1434.1801,17.9701,4.4186,1.6685,60.657,1.7311,45.015,14.5865,1,5.017,76.04,137.43,8.9396,1.9458,2.6602,104.556,0.5122,2096.24,1.3658,1.711,9.2584,1.3618,11.9053,12981,2.6739,708.932,2594.5,671.29,1.339,110.265,234.63,57.579,106.646,9.483,25.9783,2.5613,3.1575,9532.7002,10.5348,27.218,58.467,1604.35,157.94,143.361,0.959,116.76,5394.3999,0.3849,1.1207,208.27,10731.2002,2052,178.45,14.3162,1.6714,10.931,17.5273,3012.6899,61.115,1326.95,10.7321,391.18,39.63,20.83,557.211,14.3115,214.09,34.281,134.54,0.5246,1.3438,3.7481,3.3652,144.07,6164,4.9725,114.478,910.31,5.1204,15.468,7.7522,1477.3,24500,11.737,14.3534,2.2551,8.624,39.975,2122.29,11.1389,3413.3,28.323,2979.3701,8.5933,28495,655.957,655.957,119.26,7.5126,
2014-01-05,1.3667,143.257,1.9483,27.481,7.4581,0.8308,297.59,3.4527,0.6928,4.1657,4.4733,8.9116,1.2287,8.431,7.6269,45.1941,2.9632,1.5341,3.259,1.4579,8.2588,10.5948,16750,4.7665,85.015,1434.1801,17.9701,4.4186,1.6685,60.657,1.7311,45.015,14.5865,1,5.017,76.04,137.43,8.9396,1.9458,2.6602,104.556,0.5122,2096.24,1.3658,1.711,9.2584,1.3618,11.9053,12981,2.6739,708.932,2594.5,671.29,1.339,110.265,234.63,57.579,106.646,9.483,25.9783,2.5613,3.1575,9532.7002,10.5348,27.218,58.467,1604.35,157.94,143.361,0.959,116.76,5394.3999,0.3849,1.1207,208.27,10731.2002,2052,178.45,14.3162,1.6714,10.931,17.5273,3012.6899,61.115,1326.95,10.7321,391.18,39.63,20.83,557.211,14.3115,214.09,34.281,134.54,0.5246,1.3438,3.7481,3.3652,144.07,6164,4.9725,114.478,910.31,5.1204,15.468,7.7522,1477.3,24500,11.737,14.3534,2.2551,8.624,39.975,2122.29,11.1389,3413.3,28.323,2979.3701,8.5933,28495,655.957,655.957,119.26,7.5126,
2014-01-06,1.3596,142.626,1.9492,27.5345,7.4581,0.8285,298.65,3.4017,0.6928,4.1616,4.4925,8.8636,1.2305,8.3619,7.6214,45.1093,2.958,1.5165,3.2201,1.4455,8.2128,10.5414,16334.5996,4.765,84.581,1432.71,17.8027,4.4025,1.6445,60.609,1.7217,44.812,14.4927,1,4.9883,74.79,137.63,8.8465,1.9458,2.6505,104.127,0.5093,2078.54,1.3609,1.7007,9.2246,1.3569,11.8515,13003,2.6642,707.912,2597.7,668.63,1.334,110.265,235.55,57.37,105.754,9.429,25.821,2.5332,3.1597,9498.2002,10.5182,27.078,58.254,1557.72,157.38,142.671,0.9446,116.08,5374.7002,0.3826,1.1166,207.52,10696,2009.3,177.4,14.2213,1.6698,10.923,17.4989,3024.9099,60.444,1321.4399,10.6937,389.75,39.64,20.663,555.201,14.22,213.45,34.157,133.948,0.5216,1.3389,3.7471,3.3467,142.72,6151.6001,4.9437,114.886,905.63,5.091,15.36,7.7242,1467.8,24500,11.694,14.2575,2.2438,8.5926,39.8352,2117.24,11.0644,3396.8,28.192,3006.5,8.5439,28371,655.957,655.957,119.26,7.4787,
2014-01-07,1.3632,142.045,1.9488,27.4638,7.4595,0.8301,299.275,3.4527,0.6928,4.1736,4.492,8.8714,1.2318,8.408,7.6273,45.2523,2.957,1.52,3.2354,1.4533,8.2416,10.5681,16550,4.7664,84.852,1451.04,17.8263,4.3898,1.6441,60.605,1.7273,45.056,14.4841,1,5.0049,75.25,137.8,8.9817,1.9458,2.6437,103.873,0.511,2084.24,1.3576,1.6996,9.2007,1.3535,11.9061,12970,2.6573,707.474,2586.5,666.63,1.33,110.265,234.94,57.223,106.478,9.46,25.8292,2.5483,3.1925,9474,10.4965,26.981,58.401,1594.38,157.72,142.455,0.9564,116.47,5360.7998,0.384,1.1138,207.7,10671,2046,178.05,14.3162,1.6695,10.926,17.2974,3024.6201,60.967,1318.04,10.6664,388.75,39.54,20.765,581.063,14.31,213.86,34.103,133.942,0.5234,1.3356,3.7408,3.338,143.57,6163.3999,4.9605,114.899,908.75,5.108,15.441,7.7134,1458.5,24500,11.665,14.3531,2.2539,8.5705,39.8842,2133.52,11.0633,3390.1001,28.106,2998.8101,8.5709,28305,655.957,655.957,119.26,7.4665,
2014-01-08,1.3616,142.579,1.9491,27.4663,7.4594,0.8302,299.685,3.4021,0.6928,4.174,4.5005,8.8704,1.2382,8.3972,7.627,45.1239,2.949,1.5268,3.2249,1.4667,8.2302,10.5574,16352,4.7743,84.764,1454.89,17.7087,4.3989,1.6437,60.89,1.7312,45.005,14.4778,1,4.9992,75.6,137.9,8.9817,1.9458,2.65,104.156,0.5104,2093.8401,1.3607,1.708,9.2228,1.3567,11.8864,13000,2.6637,710.234,2592.5,668.92,1.334,110.265,234.21,57.36,106.255,9.449,25.8094,2.5522,3.2,9366.9004,10.5272,26.978,58.243,1598.2,157.98,142.713,0.9556,116.54,5375.1001,0.3835,1.1164,208.2,10694,2008.9,177.78,14.2895,1.6703,10.923,17.3388,3038.6699,60.897,1317.1,10.6914,390.5,39.48,20.71,564.643,14.2895,214.98,33.812,134.14,0.5228,1.3387,3.7444,3.3331,143.77,6154.7002,4.9548,114.793,912.96,5.1022,15.464,7.7317,1459.3,24500,11.692,14.3208,2.2485,8.591,40.0854,2142.75,11.0897,3394.8,28.132,3005.9399,8.5628,28366,655.957,655.957,119.26,7.491,
2014-01-09,1.3572,142.291,1.9485,27.458,7.4602,0.8252,299.68,3.4527,0.6928,4.1709,4.4996,8.9216,1.2371,8.4192,7.625,44.9782,2.9631,1.5266,3.2462,1.469,8.2058,10.5234,16375,4.7516,84.287,1444.87,17.8232,4.3649,1.6422,60.546,1.7277,44.83,14.5979,1,4.9843,75.46,138.15,8.9605,1.9458,2.6393,103.777,0.5089,2083.1299,1.3551,1.7001,9.1855,1.3513,11.8759,12894,2.6529,705.805,2570.7,665.94,1.328,110.265,234.21,57.129,106.119,9.42,25.6994,2.5494,3.1771,9458.5,10.5064,26.828,57.713,1551.55,158.23,142.276,0.9518,115.58,5345.8999,0.3831,1.1118,206.92,10656.0996,2050,177.46,14.2815,1.6701,10.901,17.269,3019.8401,60.945,1313.16,10.6483,388.11,39.37,20.791,592.272,14.277,213.74,33.42,133.036,0.5212,1.3331,3.7258,3.3387,143.13,6129.2002,4.9381,114.885,907.93,5.0849,15.401,7.6988,1452,24500,11.643,14.3122,2.2478,8.5564,39.8969,2142.22,11.0323,3376.1001,27.991,2973.53,8.5332,28259,655.957,655.957,119.26,7.4543,
2014-01-10,1.3607,142.63,1.9485,27.4023,7.4605,0.8256,299.325,3.4527,0.6928,4.1746,4.5378,8.9147,1.2337,8.4025,7.626,45.2082,2.9619,1.5291,3.2493,1.4754,8.2263,10.5489,16550,4.7563,84.413,1444.98,17.8121,4.376,1.6491,60.633,1.7288,44.924,14.6797,1,4.9968,75.55,138.09,9.0102,1.9458,2.6428,103.913,0.5098,2087.6201,1.357,1.7032,9.1976,1.353,11.9559,12924,2.6564,713.233,2581.3999,666.68,1.33,110.265,234.52,57.204,106.261,9.446,25.7328,2.5539,3.2322,9470.9004,10.5284,26.836,58.379,1553.04,158.91,142.53,0.9529,116.07,5348.2002,0.3833,1.1133,207.39,10670.7998,2045,177.59,14.4583,1.6708,10.918,17.5017,3035.1599,61.278,1316.92,10.6643,388.62,39.45,20.802,608.002,14.4583,213.32,33.729,133.26,0.5222,1.335,3.7362,3.3431,143.53,6127.2002,4.9514,115.193,910.48,5.0986,15.429,7.7088,1449.9,24500,11.66,14.4945,2.2522,8.5676,39.8449,2149.1201,11.0868,3378.1001,28.028,2984.2,8.5555,28289,655.957,655.957,119.26,7.464,
