date,USD,JPY,BGN,CZK,DKK,GBP,HUF,PLN,RON,SEK,CHF,NOK,HRK,RUB,TRY,AUD,BRL,CAD,CNY,HKD,IDR,ILS,INR,KRW,MXN,MYR,NZD,PHP,SGD,THB,ZAR,EUR,AED,AFN,ALL,ARS,BAM,BBD,BDT,BHD,BIF,BMD,BND,BOB,BSD,BWP,BZD,CLP,COP,CRC,CUP,CVE,DJF,DOP,DZD,EGP,ETB,FJD,GHS,GMD,GNF,GTQ,GYD,HNL,HTG,IQD,IRR,ISK,JMD,JOD,KES,KHR,KMF,KWD,KYD,KZT,LAK,LBP,LKR,LRD,LSL,LYD,MAD,MDL,MGA,MKD,MMK,MOP,MRO,MUR,MVR,MWK,MZN,NAD,NGN,NIO,NPR,OMR,PAB,PEN,PGK,PKR,PYG,QAR,RSD,RWF,SAR,SCR,SDG,SHP,SLL,SOS,STD,SVC,SYP,SZL,TMT,TND,TTD,TWD,TZS,UAH,UGX,UYU,UZS,VEF,VND,XAF,XCD,XOF,XPF,YER,ZMW,ANG,AWG,CDF,BYN
2017-01-01,1.0575,122.926,1.9484,27.0144,7.4314,0.8603,310.861,4.4113,4.5286,9.584,1.0752,9.081,7.559,62.6848,3.715,1.4613,3.4387,1.4247,7.3469,8.1992,13843.7998,4.0536,71.767,1274.23,21.8918,4.6081,1.5167,52.288,1.5289,37.922,14.3274,1,3.8825,68.4,132.34,16.8256,1.9458,2.046,80.8397,0.3958,1723.38,1.0424,1.4895,7.0238,1.0384,11.0089,2.0513,686.738,3113.5,562.02,1.015,110.265,182.52,47.853,116.627,19.152,23.1672,2.2242,4.4284,44.2576,9763,7.6636,208.206,23.869,69.042,1205.67,34207.8984,119.164,132.849,0.7419,106.42,4126.6001,498.678,0.3228,0.8512,345.63,8308.7998,1536.4,153.102,96.2352,14.0445,1.4766,10.369,20.4828,3441.1499,61.09,1408.64,8.1519,368.1,36.6,15.762,747.023,75.7931,14.0445,315.54,30.298,112.137,0.4057,1.0204,3.4273,3.2406,107.933,5891,3.8476,123.468,856.45,3.9628,13.088,6.7399,1.9655,5842.8501,564.8,24500,8.907,225.56,14.0908,3.5956,2.4444,6.8856,32.7694,2228.99,28.1613,3739.3999,29.659,3315.54,10.4425,23412,655.957,2.8428,655.957,119.26,264.118,10.2368,,,,
2017-01-02,1.0527,122.93,1.9468,27.0181,7.4323,0.8514,308.968,4.4007,4.5347,9.5599,1.0721,9.0774,7.5437,64.0763,3.7191,1.458,3.419,1.4131,7.2752,8.1588,13996.5,4.0255,71.381,1268.17,21.7185,4.6571,1.5159,52.014,1.5228,37.636,14.4451,1,3.8603,69.75,132.49,16.7257,1.9458,2.0672,81.674,0.3933,1741.0601,1.053,1.5009,7.0967,1.049,11.1217,2.0725,690.123,3120,567.84,1.026,110.265,184.41,48.345,114.583,19.042,23.4036,2.1836,4.3573,44.0765,9862.5,7.743,208.771,24.083,69.749,1217.09,34081.1016,119.037,134.261,0.737,105.77,4170.2998,,0.3204,0.86,349.36,8393.5996,1552.5,154.684,95.7955,14.2387,1.4922,10.349,20.682,3479.5601,60.573,1419.92,8.2346,371.89,36.36,15.762,754.605,75.4469,14.2387,318.75,30.609,112.922,0.4035,1.031,3.4665,3.2742,108.616,5959.7002,3.8257,122.3,865.17,3.9408,13.153,6.8085,1.9484,5816.1602,570.9,24500,9,224.53,14.2667,3.5792,2.415,6.9461,33.1631,2252,28.3167,3761.8,30.123,3349.3701,10.4425,23645,655.957,2.8299,655.957,119.26,262.911,10.4305,,,,
2017-01-03,1.046,122.87,1.9482,27.0155,7.432,0.8515,309.139,4.4092,4.5297,9.5363,1.0711,9.0494,7.5545,64.0565,3.7028,1.4536,3.432,1.4056,7.2527,8.112,13887.7998,4.0182,71.185,1257.47,21.6916,4.6209,1.5091,51.779,1.5176,37.456,14.3081,1,3.8384,68.98,131.91,16.6656,1.9458,2.051,81.0365,0.3912,1727.55,1.0449,1.4938,7.062,1.0409,11.0356,2.0563,687.805,3095.8,563.39,1.018,110.265,180.92,47.969,115.311,18.903,23.2334,2.2195,4.4849,43.7752,9786.5,7.6823,206.858,23.843,69.209,1207.5699,33863.3008,118.349,133.222,0.7334,105.16,4137.7002,,0.3192,0.8533,346.45,8325.9004,1540.2,153.423,95.1863,14.1485,1.4805,10.339,20.6999,3473.5601,60.732,1402.62,8.172,369,36.14,15.762,748.654,74.5696,14.1485,327.43,30.371,112.537,0.4011,1.0229,3.4368,3.2486,107.775,5913.2002,3.8039,123.294,858.45,3.9178,13.07,6.7561,1.9466,5779.1699,566.2,24500,8.929,223.102,14.1786,3.5564,2.4132,6.8919,32.9546,2235.47,28.0981,3737.8999,30.13,3320.3799,10.4425,23462,655.957,2.8119,655.957,119.26,261.239,10.3504,,,,
2017-01-04,1.042,122.57,1.9484,27.0155,7.4331,0.8508,309.319,4.3854,4.5155,9.5355,1.069,9.0021,7.563,63.1115,3.7431,1.4408,3.3976,1.3979,7.2419,8.0797,13781,4.0148,71.054,1255.97,22.0032,4.5896,1.5043,51.71,1.5088,37.347,14.3749,1,3.8239,68.55,130.83,16.6018,1.9458,2.0305,80.3669,0.3898,1713.62,1.0364,1.4828,7.0033,1.0324,10.9748,2.0393,683.037,3070.3999,558.73,1.009,110.265,181.45,47.575,114.984,18.962,23.1476,2.2086,4.3822,44.2847,9706.5996,7.6446,204.616,23.615,68.642,1198.61,33733.5,118.908,132.131,0.7306,105.1,4104.5,,0.3181,0.8462,343.63,8270.2002,1527.1,152.311,94.8213,14.0798,1.4683,10.322,20.5925,3410.78,61.126,1386.4301,8.1038,366,35.99,15.762,753.225,74.1794,14.0798,321.56,30.122,111.988,0.3996,1.0144,3.4083,3.2217,107.327,5838.7998,3.7895,123.302,851.51,3.9029,12.606,6.6987,1.9449,5757.0098,561.3,24500,8.855,222.247,14.1337,3.5428,2.4461,6.835,32.6453,2221.1499,27.8686,3714.6001,29.902,3291.1799,10.4425,23244,655.957,2.8011,655.957,119.26,260.238,10.2611,,,,
2017-01-05,1.0501,122.957,1.9482,27.0155,7.4344,0.8519,307.795,4.3687,4.5027,9.5495,1.071,9.0113,7.5737,62.4324,3.749,1.4409,3.3732,1.3961,7.2673,8.142,13790.0996,4.0483,71.204,1253.52,22.5512,4.6116,1.507,52.005,1.5102,37.567,14.2808,1,3.8515,68.79,132.96,16.8742,1.9458,2.0385,80.7453,0.3927,1720.12,1.0401,1.4798,7.0291,1.0362,10.973,2.0468,688.146,3058.7,560.78,1.013,110.265,182.12,47.749,115.485,19.106,23.0839,2.2206,4.4215,44.6288,9741.7998,7.6873,206.311,23.649,68.891,1203.02,33994.5,118.43,132.611,0.7349,106.67,4119.6001,,0.3202,0.8493,345.45,8295,1531.5,152.974,95.5581,14.0004,1.4727,10.346,20.7614,3462.8401,61.125,1391.48,8.1324,367.38,36.44,15.762,752.213,74.7033,14.0004,325.33,30.232,111.886,0.4028,1.0181,3.4606,3.2335,107.728,5875.2998,3.8175,123.485,854.72,3.9322,12.809,6.6478,1.9475,5801.7402,563.5,24500,8.887,223.974,13.9974,3.5703,2.4162,6.86,32.5856,2231.3899,27.4481,3736.5,29.406,3303.1101,10.4425,23308,655.957,2.8228,655.957,119.26,262.26,10.2877,,,,
2017-01-06,1.0606,122.23,1.9484,27.0155,7.4328,0.8537,307.969,4.3611,4.502,9.5389,1.0708,8.9915,7.5784,62.3526,3.8105,1.445,3.3897,1.4029,7.2962,8.2228,13805.2998,4.0776,71.762,1251.91,22.6801,4.6264,1.5107,52.115,1.5148,37.813,14.3921,1,3.8952,69.1,133.1,16.9203,1.9458,2.0405,81.2471,0.3968,1730.6899,1.0463,1.4812,7.0721,1.0424,11.0273,2.0592,689.183,3067,568.61,1.019,110.265,183.23,48.038,116.341,19.144,23.3818,2.2263,4.4873,45.6267,9831.7998,7.7248,208.035,23.754,69.65,1210.36,34334.5,119.322,133.306,0.7434,108.06,4144.2002,499.804,0.3229,0.8544,346.37,8340.7002,1540.9,153.585,95.4532,14.1143,1.4863,10.396,20.8815,3486.8999,61.13,1396.75,8.1811,369.56,36.69,15.867,757.082,75.4929,14.1143,327.29,30.414,112.421,0.4069,1.0243,3.4747,3.2532,108.348,5932,3.8564,123.561,859.91,3.9745,13.06,6.6982,1.9504,5886.2798,567.1,24500,8.941,226.224,14.1554,3.606,2.4264,6.9018,32.5342,2250.22,27.2722,3764.2,29.375,3328.23,10.4675,23400,655.957,2.8511,655.957,119.26,264.883,10.428,,,,
2017-01-07,1.0606,122.23,1.9484,27.0155,7.4328,0.8537,307.969,4.3611,4.502,9.5389,1.0708,8.9915,7.5784,62.3526,3.8105,1.445,3.3897,1.4029,7.2962,8.2228,13805.2998,4.0776,71.762,1251.91,22.6801,4.6264,1.5107,52.115,1.5148,37.813,14.3921,1,3.8952,69.1,133.1,16.9203,1.9458,2.0405,81.2471,0.3968,1730.6899,1.0463,1.4812,7.0721,1.0424,11.0273,2.0592,689.183,3067,568.61,1.019,110.265,183.23,48.038,116.341,19.144,23.3818,2.2263,4.4873,45.6267,9831.7998,7.7248,208.035,23.754,69.65,1210.36,34334.5,119.322,133.306,0.7434,108.06,4144.2002,499.804,0.3229,0.8544,346.37,8340.7002,1540.9,153.585,95.4532,14.1143,1.4863,10.396,20.8815,3486.8999,61.13,1396.75,8.1811,369.56,36.69,15.867,757.082,75.4929,14.1143,327.29,30.414,112.421,0.4069,1.0243,3.4747,3.2532,108.348,5932,3.8564,123.561,859.91,3.9745,13.06,6.6982,1.9504,5886.2798,567.1,24500,8.941,226.224,14.1554,3.606,2.4264,6.9018,32.5342,2250.22,27.2722,3764.2,29.375,3328.23,10.4675,23400,655.957,2.8511,655.957,119.26,264.883,10.428,,,,
2017-01-08,1.0606,122.23,1.9484,27.0155,7.4328,0.8537,307.969,4.3611,4.502,9.5389,1.0708,8.9915,7.5784,62.3526,3.8105,1.445,3.3897,1.4029,7.2962,8.2228,13805.2998,4.0776,71.762,1251.91,22.6801,4.6264,1.5107,52.115,1.5148,37.813,14.3921,1,3.8952,69.1,133.1,16.9203,1.9458,2.0405,81.2471,0.3968,1730.6899,1.0463,1.4812,7.0721,1.0424,11.0273,2.0592,689.183,3067,568.61,1.019,110.265,183.23,48.038,116.341,19.144,23.3818,2.2263,4.4873,45.6267,9831.7998,7.7248,208.035,23.754,69.65,1210.36,34334.5,119.322,133.306,0.7434,108.06,4144.2002,499.804,0.3229,0.8544,346.37,8340.7002,1540.9,153.585,95.4532,14.1143,1.4863,10.396,20.8815,3486.8999,61.13,1396.75,8.1811,369.56,36.69,15.867,757.082,75.4929,14.1143,327.29,30.414,112.421,0.4069,1.0243,3.4747,3.2532,108.348,5932,3.8564,123.561,859.91,3.9745,13.06,6.6982,1.9504,5886.2798,567.1,24500,8.941,226.224,14.1554,3.606,2.4264,6.9018,32.5342,2250.22,27.2722,3764.2,29.375,3328.23,10.4675,23400,655.957,2.8511,655.957,119.26,264.883,10.428,,,,
2017-01-09,1.0532,123.345,1.9458,27.0154,7.4325,0.859,307.255,4.3541,4.5006,9.5387,1.0715,8.9872,7.5733,62.2331,3.8333,1.4404,3.3914,1.3942,7.2194,8.1652,13918.5996,4.0454,71.666,1264.33,22.3618,4.6547,1.5113,52.005,1.5151,37.636,14.4796,1,3.8655,69.74,133.56,16.6482,1.9458,2.0589,81.9694,0.394,1746.15,1.0556,1.492,7.1363,1.0516,11.0841,2.0778,685.86,3052.3,569.31,1.029,110.265,184.89,48.469,114.682,18.915,23.5904,2.1789,4.4795,44.6024,9919.4004,7.7852,210.068,23.954,69.764,1221.3,34091.6016,119.423,134.499,0.7387,107.21,4181.6001,496.314,0.321,0.8622,347.76,8423.4004,1556.3,155.136,94.7867,14.1801,1.4888,10.367,20.9996,3488.47,60.575,1407.6801,8.2563,372.88,36.47,15.867,763.819,74.6814,14.1801,319.35,30.687,113.407,0.4041,1.0336,3.4839,3.2826,109.307,5993.5,3.8301,122.37,867.61,3.945,12.946,6.7577,1.9634,5845.1802,572.4,24500,9.023,224.645,14.208,3.5808,2.4137,6.964,32.7428,2263.02,28.5733,3805.8,29.703,3352.6201,10.4675,23485,655.957,2.8312,655.957,119.26,263.033,10.5469,,,,
2017-01-10,1.0589,122.793,1.9483,27.0154,7.4324,0.8698,307.958,4.3794,4.4893,9.5645,1.0736,9.0285,7.565,63.5794,3.9271,1.439,3.3807,1.399,7.3351,8.2117,13836,4.0645,72.026,1272.6801,22.6238,4.6318,1.5092,52.29,1.5191,37.719,14.4425,1,3.8864,69.3,133.64,16.8127,1.9458,2.0566,81.533,0.3962,1735.79,1.0494,1.4893,7.0935,1.0455,11.0782,2.0654,691.247,3033.2,565.9,1.022,110.265,183.81,48.181,116.364,19.43,23.4512,2.2224,4.469,46.4629,9860.9004,7.7292,208.935,23.78,69.182,1214,34275.3984,120.531,133.703,0.7426,108,4156.6001,498.989,0.3227,0.857,346.24,8365.4004,1545.5,154.21,95.2976,14.1959,1.4851,10.379,20.8437,3454.1299,61.127,1404.6,8.2072,370.66,36.67,15.867,759.379,75.2957,14.1959,318.26,30.505,113.122,0.4061,1.0274,3.4743,3.263,108.67,5950.2002,3.8511,123.5,862.46,3.9661,13.057,6.718,1.987,5876.6899,568.8,24500,8.969,225.855,14.2305,3.6001,2.4249,6.9225,32.751,2259.0801,28.0898,3777.5,29.558,3332.8401,10.4675,23367,655.957,2.8464,655.957,119.26,264.451,10.6587,,,,
