date,USD,JPY,BGN,CZK,DKK,GBP,HUF,PLN,RON,SEK,CHF,NOK,HRK,RUB,TRY,AUD,BRL,CAD,CNY,HKD,IDR,ILS,INR,KRW,MXN,MYR,NZD,PHP,SGD,THB,ZAR,EUR,AED,AFN,ALL,ANG,ARS,AWG,BAM,BBD,BDT,BHD,BIF,BMD,BND,BOB,BSD,BWP,BYN,BZD,CDF,CLP,COP,CRC,CUP,CVE,DJF,DOP,DZD,EGP,ETB,FJD,GHS,GMD,GNF,GTQ,GYD,HNL,HTG,IQD,IRR,ISK,JMD,JOD,KES,KHR,KMF,KWD,KYD,KZT,LAK,LBP,LKR,LRD,LSL,LYD,MAD,MDL,MGA,MKD,MMK,MOP,MRO,MUR,MVR,MWK,MZN,NAD,NGN,NIO,NPR,OMR,PAB,PEN,PGK,PKR,PYG,QAR,RSD,RWF,SAR,SCR,SDG,SLL,SOS,STD,SVC,SYP,SZL,TMT,TND,TTD,TWD,TZS,UAH,UGX,UYU,UZS,VEF,VND,XAF,XCD,XOF,XPF,YER,ZMW,CUC
2018-01-01,1.2005,135.24,1.9483,25.5014,7.4436,0.8881,310.295,4.1814,4.6638,9.8174,1.1698,9.8454,7.4278,69.2098,4.5237,1.5387,3.9703,1.5085,7.7827,9.3753,16033.5996,4.1647,75.5603,1279.14,23.57,4.7712,1.6887,58.4118,1.6043,38.2413,14.7787,1,4.3128,82.55,130.47,2.0897,22.9115,2.1399,1.9458,2.35,97.46,0.439,2078.8799,1.1958,1.5762,8.1131,1.1917,11.6212,2.3676,2.3594,1885.98,723.075,3527.6001,664.84,1.169,110.265,207.6,57.212,137.194,21.307,32.597,2.4331,5.4134,56.8554,10732,8.6106,238.082,27.856,75.611,1398.9,41143.3984,123.888,147.531,0.8287,121.82,4739.2002,494.304,0.3608,0.979,395.94,9722.2002,1777.3,180.503,150.122,14.5199,1.601,10.919,20.2161,3842.8401,61.082,1601.04,9.4484,418.91,38.75,18.172,866.475,70.1809,14.5199,427.94,36.439,120.796,0.4604,1.1738,3.8027,3.777,131.098,6571.3999,4.2132,118.127,1014.48,4.4945,15.862,8.3575,9123.7598,653.5,24500,10.25,617.054,14.5574,4.0937,2.9411,7.9174,34.5397,2635.1299,33.45,4315.8999,33.941,9698.6699,11.94,26822,655.957,3.2272,655.957,119.26,299.824,11.9372,
2018-01-02,1.2012,135.44,1.9458,25.5343,7.4435,0.8889,310.199,4.1729,4.6595,9.8239,1.1706,9.842,7.2725,69.1784,4.5522,1.5397,3.9457,1.5078,7.7827,9.3846,16033.5996,4.1672,75.5603,1279.14,23.6003,4.7712,1.6944,58.4118,1.6063,39.089,14.884,1,4.3128,82.55,130.47,2.0892,22.3292,2.1381,1.9458,2.35,97.46,0.439,2078.8799,1.1958,1.5762,8.1131,1.1917,11.6212,2.367,2.3594,1885.8199,723.075,3527.6001,664.84,1.169,110.265,207.6,57.212,137.194,21.307,32.597,2.4034,5.4134,56.8868,10732,8.6106,238.021,27.856,75.611,1398.9,41166.1016,123.91,147.531,0.8287,121.82,4739.2002,492.835,0.3608,0.979,395.94,9722.2002,1777.3,180.503,150.145,14.5199,1.601,10.919,20.2161,3842.8401,60.53,1601.04,9.4484,418.91,38.75,18.23,866.475,70.1837,14.5199,427.94,36.439,120.796,0.4604,1.1738,3.8027,3.777,131.098,6571.3999,4.2132,118.127,1014.48,4.4945,15.862,8.3575,9134.8096,653.5,24500,10.25,617.395,14.5574,4.096,2.927,7.9174,34.5397,2635.1299,33.45,4315.8999,33.941,9698.6699,11.99,26822,655.957,3.229,655.957,119.26,300.109,11.9372,
2018-01-03,1.2063,135.401,1.9487,25.4844,7.4434,0.8872,308.927,4.162,4.6458,9.8404,1.1719,9.7947,7.451,69.3105,4.5431,1.5396,3.9282,1.5083,7.8242,9.4276,16071.4004,4.1549,76.472,1281.38,23.5324,4.7673,1.6989,60.078,1.6032,39.089,14.9995,1,4.4292,83.13,131.16,2.1039,22.1866,2.1503,1.9458,2.3638,98.5045,0.4522,2091.6299,1.2029,1.5773,8.1331,1.1989,11.6921,2.3759,2.3739,1893.96,723.888,3549.1001,668.93,1.176,110.265,208.88,57.562,137.761,21.378,32.7959,2.4565,5.451,57.0601,10797.2998,8.6637,239.821,28.027,76.103,1407.52,41375.1992,124.614,148.105,0.8491,122.63,4768.3999,492.491,0.3626,0.9849,398.34,9780.4004,1788.2,181.488,150.793,14.6607,1.6055,10.943,20.2915,3860.28,61.124,1613.2,9.507,421.47,38.8,18.321,871.721,70.4626,14.6607,430.54,36.661,120.821,0.4629,1.1809,3.8242,3.8002,131.898,6608.7998,4.2408,118.758,1020.68,4.5197,15.956,8.4093,9210.4502,657.6,24500,10.312,620.062,14.685,4.1136,2.9855,8.0168,34.6441,2650.1101,33.6534,4344.6001,34.161,9757.3301,12.04,26988,655.957,3.2429,655.957,119.26,301.285,12.0999,
2018-01-04,1.201,135.234,1.9483,25.4767,7.4442,0.8888,308.178,4.1467,4.6193,9.8244,1.1735,9.7355,7.4277,68.651,4.5404,1.5344,3.8841,1.5067,7.8011,9.3876,15963.9004,4.1363,76.19,1277.41,23.2534,4.7422,1.6943,59.691,1.5977,38.819,14.8448,1,4.4094,82.8,130.51,2.0941,22.1549,2.1385,1.9458,2.3549,97.5585,0.4502,2083.8401,1.1985,1.5726,8.1024,1.1945,11.6602,2.3806,2.365,1886.84,713.295,3474.1001,667.01,1.172,110.265,208.09,57.347,137.265,21.247,32.6747,2.4468,5.4321,56.8093,10755.4004,8.6371,238.131,27.926,77.007,1402.22,43112.6016,124.873,147.217,0.8441,122.56,4748.1001,491.947,0.3609,0.9813,397.41,9742.2998,1781.5,181.171,150.13,14.6209,1.5995,10.925,20.2457,3825.77,61.133,1604.83,9.474,419.53,38.26,18.256,867.824,70.0928,14.6209,428.94,36.566,120.428,0.4606,1.1765,3.8032,3.805,131.449,6594.7998,4.2234,118.66,1016.97,4.4996,15.787,8.3782,9189.1797,655.1,24500,10.273,617.336,14.6446,4.0956,2.946,7.9984,34.5561,2637.77,33.1859,4334.5,34.009,9721.2803,12,26884,655.957,3.2286,655.957,119.26,298.759,12.0552,
2018-01-05,1.2069,136.122,1.9483,25.5125,7.4452,0.8903,308.107,4.1471,4.6256,9.8143,1.1759,9.7338,7.4314,68.8004,4.5256,1.5346,3.9001,1.5072,7.8271,9.4339,15961.7998,4.155,76.434,1280.35,23.2981,4.7527,1.6856,60.047,1.6016,38.889,14.8354,1,4.4307,83.19,130.85,2.1029,22.4661,2.1483,1.9458,2.3644,97.9488,0.4521,2092.25,1.2032,1.5779,8.135,1.1992,11.6717,2.3974,2.3745,1894.8101,716.031,3451.6001,669.69,1.176,110.265,208.93,57.611,137.825,21.35,32.8046,2.4552,5.4565,57.0373,10796.2002,8.6718,239.844,28.038,77.72,1407.85,43322.3008,124.985,147.718,0.8482,122.8,4763.5,491.383,0.363,0.9852,397.57,9782.7998,1788.6,181.772,150.921,14.5942,1.6022,10.945,20.3264,3867.22,61.123,1611.1899,9.5131,420,38.63,18.366,871.249,70.3613,14.5942,431.84,36.712,120.657,0.4631,1.1812,3.8022,3.8196,131.971,6645.2998,4.2419,118.671,1021.11,4.5214,15.952,8.4113,9238.7002,657.8,24500,10.314,620.338,14.6251,4.1034,2.9495,7.9679,34.7187,2650.74,33.4803,4351.7002,34.097,9759.6104,12.05,26994,655.957,3.2443,655.957,119.26,301.48,12.163,
2018-01-06,1.2069,136.122,1.9483,25.5125,7.4452,0.8903,308.107,4.1471,4.6256,9.8143,1.1759,9.7338,7.4314,68.8004,4.5256,1.5346,3.9001,1.5072,7.8271,9.4339,15961.7998,4.155,76.434,1280.35,23.2981,4.7527,1.6856,60.047,1.6016,38.889,14.8354,1,4.4307,83.19,130.85,2.1029,22.4661,2.1483,1.9458,2.3644,97.9488,0.4521,2092.25,1.2032,1.5779,8.135,1.1992,11.6717,2.3974,2.3745,1894.8101,716.031,3451.6001,669.69,1.176,110.265,208.93,57.611,137.825,21.35,32.8046,2.4552,5.4565,57.0373,10796.2002,8.6718,239.844,28.038,77.72,1407.85,43322.3008,124.985,147.718,0.8482,122.8,4763.5,491.383,0.363,0.9852,397.57,9782.7998,1788.6,181.772,150.921,14.5942,1.6022,10.945,20.3264,3867.22,61.123,1611.1899,9.5131,420,38.63,18.366,871.249,70.3613,14.5942,431.84,36.712,120.657,0.4631,1.1812,3.8022,3.8196,131.971,6645.2998,4.2419,118.671,1021.11,4.5214,15.952,8.4113,9238.7002,657.8,24500,10.314,620.338,14.6251,4.1034,2.9495,7.9679,34.7187,2650.74,33.4803,4351.7002,34.097,9759.6104,12.05,26994,655.957,3.2443,655.957,119.26,301.48,12.163,
2018-01-07,1.2069,136.122,1.9483,25.5125,7.4452,0.8903,308.107,4.1471,4.6256,9.8143,1.1759,9.7338,7.4314,68.8004,4.5256,1.5346,3.9001,1.5072,7.8271,9.4339,15961.7998,4.155,76.434,1280.35,23.2981,4.7527,1.6856,60.047,1.6016,38.889,14.8354,1,4.4307,83.19,130.85,2.1029,22.4661,2.1483,1.9458,2.3644,97.9488,0.4521,2092.25,1.2032,1.5779,8.135,1.1992,11.6717,2.3974,2.3745,1894.8101,716.031,3451.6001,669.69,1.176,110.265,208.93,57.611,137.825,21.35,32.8046,2.4552,5.4565,57.0373,10796.2002,8.6718,239.844,28.038,77.72,1407.85,43322.3008,124.985,147.718,0.8482,122.8,4763.5,491.383,0.363,0.9852,397.57,9782.7998,1788.6,181.772,150.921,14.5942,1.6022,10.945,20.3264,3867.22,61.123,1611.1899,9.5131,420,38.63,18.366,871.249,70.3613,14.5942,431.84,36.712,120.657,0.4631,1.1812,3.8022,3.8196,131.971,6645.2998,4.2419,118.671,1021.11,4.5214,15.952,8.4113,9238.7002,657.8,24500,10.314,620.338,14.6251,4.1034,2.9495,7.9679,34.7187,2650.74,33.4803,4351.7002,34.097,9759.6104,12.05,26994,655.957,3.2443,655.957,119.26,301.48,12.163,
2018-01-08,1.2037,136.203,1.9466,25.5075,7.4464,0.8866,308.076,4.1509,4.6334,9.8037,1.1737,9.6799,7.42,68.6093,4.4942,1.5315,3.8836,1.492,7.7741,9.4119,15939.4004,4.1235,76.115,1276.24,23.0887,4.7381,1.6788,59.737,1.597,38.689,14.7945,1,4.4163,83.13,130.7,2.1027,22.3623,2.1457,1.9458,2.3625,97.9912,0.4506,2090.5901,1.2023,1.5747,8.1285,1.1983,11.703,2.3932,2.3726,1891.09,716.767,3428.3999,669.15,1.175,110.265,208.76,57.608,137.418,21.281,32.7792,2.4268,5.4552,56.9372,10787.7002,8.6618,239.124,28.016,77.863,1406.72,43251.8008,124.557,147.661,0.8467,122.28,4766.8999,489.925,0.3616,0.9844,394.59,9774.9004,1820,181.446,150.468,14.682,1.6011,10.926,20.3163,3861.1299,60.572,1608.77,9.5085,419.67,38.72,18.286,870.563,70.1784,14.682,431.5,36.641,120.493,0.4617,1.1803,3.7889,3.8166,131.885,6657.7998,4.2384,118.466,1020.38,4.5068,15.919,8.4047,9202.6396,657.3,24500,10.306,618.725,14.7159,4.0927,2.9811,7.9615,34.5606,2649.8301,33.6648,4365.1001,33.961,9771.9404,12.02,26971,655.957,3.2359,655.957,119.26,300.696,12.1655,
2018-01-09,1.197,135.434,1.9483,25.5232,7.4461,0.882,308.617,4.1717,4.6464,9.8194,1.1698,9.664,7.4384,68.379,4.4799,1.5253,3.8743,1.4855,7.7686,9.3611,15863.2002,4.1252,75.903,1277.54,22.9739,4.7109,1.6683,59.886,1.5939,38.559,14.8223,1,4.3932,83.92,130.85,2.0897,22.7854,2.1313,1.9458,2.3491,97.9128,0.4482,2078.8701,1.1956,1.5708,8.0824,1.1916,11.684,2.3963,2.3592,1880.5601,715.046,3433.1001,665.38,1.169,110.265,207.58,57.285,136.771,21.11,32.597,2.4324,5.4249,56.6801,10730.5,8.6128,237.614,27.859,77.427,1398.78,43056.5,124.774,146.822,0.8422,121.5,4737.6001,491.986,0.3598,0.9788,392.79,9719.5,1777.1,180.723,149.631,14.7044,1.5938,10.903,20.1951,3825.75,60.746,1590.12,9.4572,417.31,38.53,18.19,866.398,69.7878,14.7044,427.9,36.435,120.077,0.459,1.1736,3.767,3.7957,131.147,6625.7998,4.2142,118.365,1014.72,4.4831,15.74,8.3579,9163.3799,653.4,24500,10.248,615.281,14.7377,4.07,3.0025,7.9167,34.4406,2633.7,33.5189,4340.7002,33.734,9717.7305,11.96,26820,655.957,3.2179,655.957,119.26,299.082,12.026,
2018-01-10,1.1929,134.502,1.9486,25.526,7.4462,0.8816,309.337,4.1898,4.6408,9.8247,1.1736,9.677,7.4475,67.8665,4.4963,1.5272,3.8714,1.4879,7.7802,9.3302,15798.7002,4.104,75.878,1278.33,22.9551,4.7021,1.6698,59.831,1.5942,38.499,14.7215,1,4.3797,83.51,130.95,2.0779,22.5909,2.124,1.9458,2.3376,97.4315,0.4468,2068.7,1.1899,1.5679,8.0425,1.1858,11.5863,2.3949,2.3476,1874.1,708.771,3422.7,662.1,1.163,110.265,206.56,57.005,136.767,21.056,32.439,2.4259,5.4143,56.4973,10674.7002,8.5703,236.26,27.723,77.049,1391.88,43016,124.981,145.89,0.8396,121.12,4717.7998,492.323,0.3587,0.9741,391.54,9674.2998,1768.3,179.957,149.415,14.4653,1.5866,10.891,20.0676,3834.45,61.129,1582.36,9.4094,415.26,38.41,18.121,861.518,69.5361,14.4653,427.02,36.239,119.884,0.4578,1.1679,3.7555,3.777,130.506,6596.2002,4.1924,118.564,1009.8,4.4694,15.646,8.3173,9125.9404,650.1,24500,10.198,613.168,14.5046,4.0679,2.9514,7.8777,34.2875,2621.9399,33.3676,4320.7998,33.581,9672.25,11.92,26689,655.957,3.2068,655.957,119.26,297.995,11.7888,
