date,USD,JPY,BGN,CZK,DKK,GBP,HUF,PLN,RON,SEK,CHF,ISK,NOK,HRK,RUB,TRY,AUD,BRL,CAD,CNY,HKD,IDR,ILS,INR,KRW,MXN,MYR,NZD,PHP,SGD,THB,ZAR,EUR,AED,AFN,ALL,ARS,BAM,BBD,BDT,BHD,BIF,BMD,BND,BOB,BSD,BWP,BZD,CLP,COP,CRC,CUP,CVE,DJF,DOP,DZD,EGP,ETB,FJD,GHS,GNF,GTQ,HNL,HTG,IQD,JMD,JOD,KES,KHR,KWD,KYD,KZT,LAK,LBP,LKR,LSL,LYD,MAD,MDL,MGA,MKD,MMK,MOP,MUR,MVR,MWK,NAD,NGN,NIO,NPR,OMR,PAB,PEN,PGK,PKR,PYG,QAR,RSD,RWF,SAR,SCR,SDG,SOS,SVC,SZL,TND,TTD,TWD,TZS,UAH,UGX,UYU,UZS,VND,XAF,XOF,XPF,ZMW,AMD,AOA,AZN,BTN,GEL,GMD,SBD,TJS,TMT,XDR,ANG,AWG,BTC,BYN,CDF,CLF,CNH,CUC,ERN,FKP,GGP,GIP,GYD,IMP,IRR,JEP,KGS,KMF,KPW,LRD,MNT,MRO,MRU,MZN,SHP,SLL,SRD,SSP,STD,STN,SYP,TOP,VEF,VES,VUV,WST,XAG,XAU,XCD,XPD,XPT,YER,ZWL
2020-01-01,1.1221,121.97,1.9484,25.3984,7.4764,0.8462,330.524,4.2708,4.7837,10.2875,1.0872,135.45,9.3743,7.4429,69.4462,6.6695,1.5993,4.5033,1.457,7.7991,8.7414,15357.0996,3.8712,79.933,1294.88,21.2308,4.5128,1.6661,56.658,1.5089,33.296,15.6821,1,4.1164,86.58,119.43,67.1524,1.9458,2.217,93.5188,0.4198,2081.97,1.1198,1.4855,7.5528,1.1158,11.7215,2.2132,831.884,3638.1001,627.12,1.093,110.265,195.38,58.573,133.033,17.973,35.5893,2.3923,6.2738,10632.5996,8.4511,27.144,105.728,1310.39,147.008,0.7875,111.65,4475.2998,0.339,0.9157,426.94,9725.9004,1692,200.145,15.5345,1.5408,10.3996,19.0119,4094.2,61.04,1635.23,8.805,39.26,17.0283,822.819,15.5345,405.97,37.377,126.54,0.4302,1.0978,3.6437,3.7487,173.424,7115.5,3.938,117.443,1049.49,4.203,14.363,50.2263,609.5,9.585,15.5645,3.1085,7.4419,32.5797,2530.1599,26.31,4070,41.111,10640,25618,655.957,655.957,119.26,15.7532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,1.1221,121.973,1.9484,25.4032,7.4709,0.8466,330.506,4.2554,4.7837,10.4826,1.0856,135.45,9.8421,7.4429,68.9868,6.6729,1.5982,4.4883,1.4555,7.7981,8.7419,15357.0996,3.8678,79.93,1294.54,21.2129,4.5128,1.6652,56.658,1.5091,33.296,15.7092,1,4.1164,86.58,119.43,67.1524,1.9458,2.217,93.5188,0.4198,2081.97,1.1198,1.4855,7.5528,1.1158,11.7215,2.2132,831.884,3638.1001,627.12,1.093,110.265,195.38,58.573,133.033,17.973,35.5893,2.3923,6.2738,10632.5996,8.4511,27.144,105.728,1310.39,147.008,0.7875,111.65,4475.2998,0.339,0.9157,426.94,9725.9004,1657.9,200.145,15.5345,1.5408,10.3996,19.0119,4094.2,60.49,1635.23,8.805,39.26,16.9957,822.819,15.5345,405.97,37.377,126.54,0.4302,1.0978,3.6437,3.7487,172.28,7115.5,3.938,117.443,1049.49,4.2029,14.363,50.2263,609.5,9.585,15.5645,3.1085,7.4419,32.5797,2530.1599,26.31,4070,41.111,10640,25618,655.957,655.957,119.26,15.7532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-03,1.1171,121.245,1.9475,25.3234,7.472,0.8495,328.658,4.2384,4.7837,10.4599,1.0851,136.12,9.8214,7.4392,68.9288,6.6504,1.5994,4.492,1.4503,7.7699,8.6999,15510,3.8594,79.622,1291.29,21.0462,4.4918,1.6672,56.527,1.5044,33.643,15.7373,1,4.1004,86,118.91,66.8033,1.9458,2.2083,93.1538,0.4181,2074.47,1.1155,1.4826,7.5231,1.1115,11.6887,2.2045,829.729,3626.7,624.67,1.088,110.265,194.62,58.435,132.692,17.892,35.5326,2.3889,6.3588,10591.5,8.4179,27.038,105.319,1305.26,144.917,0.7845,110.98,4463.3999,0.3377,0.9121,425.3,9675.4004,1684,199.449,15.4547,1.5317,10.3953,18.9379,4077.21,61.145,1622.17,8.7769,39.1,16.9865,819.652,15.4547,404.41,37.232,126.042,0.4285,1.0935,3.6255,3.7808,172.113,7087.7002,3.9224,117.316,1045.55,4.1854,14.304,50.2263,607,9.547,15.48,3.0952,7.4129,32.6071,2520.28,26.2081,4056.5,41.147,10599.0996,25514,655.957,655.957,119.26,15.8493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-04,1.1171,121.245,1.9475,25.3234,7.472,0.8495,328.658,4.2384,4.7837,10.4599,1.0851,136.12,9.8214,7.4392,68.9288,6.6504,1.5994,4.492,1.4503,7.7699,8.6999,15510,3.8594,79.622,1291.29,21.0462,4.4918,1.6672,56.527,1.5044,33.643,15.7373,1,4.1004,86,118.91,66.8033,1.9458,2.2083,93.1538,0.4181,2074.47,1.1155,1.4826,7.5231,1.1115,11.6887,2.2045,829.729,3626.7,624.67,1.088,110.265,194.62,58.435,132.692,17.892,35.5326,2.3889,6.3588,10591.5,8.4179,27.038,105.319,1305.26,144.917,0.7845,110.98,4463.3999,0.3377,0.9121,425.3,9675.4004,1684,199.449,15.4547,1.5317,10.3953,18.9379,4077.21,61.145,1622.17,8.7769,39.1,16.9865,819.652,15.4547,404.41,37.232,126.042,0.4285,1.0935,3.6255,3.7808,172.113,7087.7002,3.9224,117.316,1045.55,4.1854,14.304,50.2263,607,9.547,15.48,3.0952,7.4129,32.6071,2520.28,26.2081,4056.5,41.147,10599.0996,25514,655.957,655.957,119.26,15.8493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-05,1.1171,121.245,1.9475,25.3234,7.472,0.8495,328.658,4.2384,4.7837,10.4599,1.0851,136.12,9.8214,7.4392,68.9288,6.6504,1.5994,4.492,1.4503,7.7699,8.6999,15510,3.8594,79.622,1291.29,21.0462,4.4918,1.6672,56.527,1.5044,33.643,15.7373,1,4.1004,86,118.91,66.8033,1.9458,2.2083,93.1538,0.4181,2074.47,1.1155,1.4826,7.5231,1.1115,11.6887,2.2045,829.729,3626.7,624.67,1.088,110.265,194.62,58.435,132.692,17.892,35.5326,2.3889,6.3588,10591.5,8.4179,27.038,105.319,1305.26,144.917,0.7845,110.98,4463.3999,0.3377,0.9121,425.3,9675.4004,1684,199.449,15.4547,1.5317,10.3953,18.9379,4077.21,61.145,1622.17,8.7769,39.1,16.9865,819.652,15.4547,404.41,37.232,126.042,0.4285,1.0935,3.6255,3.7808,172.113,7087.7002,3.9224,117.316,1045.55,4.1854,14.304,50.2263,607,9.547,15.48,3.0952,7.4129,32.6071,2520.28,26.2081,4056.5,41.147,10599.0996,25514,655.957,655.957,119.26,15.8493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-06,1.1162,120.501,1.9485,25.3437,7.4727,0.8533,329.386,4.2424,4.7742,10.5022,1.0842,136.52,9.8599,7.4443,69.2792,6.6613,1.6072,4.5338,1.4496,7.7658,8.685,15550,3.873,80.002,1299.35,21.1444,4.4855,1.677,56.89,1.5067,33.626,15.9807,1,4.0956,85.57,119.29,66.6474,1.9458,2.1973,92.5606,0.4177,2064.3101,1.11,1.4785,7.4964,1.106,11.7568,2.1935,829.914,3572.3,621.01,1.083,110.265,193.64,58.145,132.491,17.871,35.3717,2.3861,6.3358,10536.4004,8.3813,26.9,104.798,1298.72,144.004,0.7835,110.63,4441.1001,0.3371,0.9075,423.2,9639,1685,198.402,15.7288,1.5241,10.3721,18.8993,4059.77,61.04,1608,8.7162,39.17,16.9754,815.617,15.7288,402.41,37.047,126.205,0.4281,1.088,3.5924,3.7619,172.377,7082,3.9025,117.447,1040.41,4.1828,14.285,50.2263,603.9,9.499,15.7588,3.0886,7.3758,32.4525,2507.6899,26.0413,4062,41.01,10566.4004,25391,655.957,655.957,119.26,15.7268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-07,1.1198,121.36,1.9484,25.2379,7.4727,0.85,329.422,4.2308,4.7722,10.5235,1.0843,136.72,9.8432,7.467,69.1879,6.6821,1.6137,4.5434,1.4513,7.7996,8.6987,15550,3.8827,80.376,1305.54,21.097,4.5178,1.6786,57.056,1.5096,33.718,15.9063,1,4.1096,86.39,119.49,66.8666,1.9458,2.2121,93.3104,0.4191,2078.0801,1.1173,1.4864,7.5471,1.1133,11.784,2.2082,844.901,3595.6001,623.51,1.09,110.265,194.95,58.353,132.922,17.971,35.6206,2.401,6.3581,10600.7998,8.4377,27.07,108.357,1307.46,146.655,0.7862,111.29,4456.8999,0.3384,0.9136,423.65,9695.2002,1685,199.644,15.7417,1.5357,10.3933,18.9977,4089.6201,61.04,1618.72,8.7656,39.33,17.0089,821.011,15.7417,405.08,37.294,127,0.4296,1.0953,3.6356,3.7403,172.952,7135.2998,3.93,117.445,1047.5,4.1947,14.337,50.2263,608.1,9.563,15.7687,3.113,7.4253,32.6838,2524.52,26.2854,4111.3999,41.059,10616.5996,25566,655.957,655.957,119.26,15.8307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-08,1.1155,120.485,1.9499,25.2223,7.4717,0.8505,331.349,4.246,4.7751,10.5611,1.0806,136.92,9.8796,7.4477,69.1659,6.6632,1.6258,4.5322,1.4503,7.7316,8.6725,15460,3.8594,80.049,1300.51,21.162,4.4967,1.6821,56.616,1.5072,33.743,16.0174,1,4.0923,86.16,119.61,66.6315,1.9458,2.2077,93.1279,0.4173,2074.4299,1.1152,1.4838,7.5322,1.1112,11.7736,2.2039,848.821,3579.8,622.29,1.088,110.265,194.56,58.43,132.546,17.895,35.5989,2.4008,6.3374,10571.2998,8.4212,27.03,108.631,1304.89,146.113,0.7829,110.76,4453.7998,0.337,0.9118,422.83,9672.7002,1680,199.198,15.718,1.533,10.3779,18.8186,4095.6499,61.04,1615.02,8.7526,39.13,16.8751,819.428,15.718,403.74,37.222,126.58,0.4277,1.0932,3.6385,3.733,172.099,7144,3.9221,117.455,1045.61,4.1791,14.273,50.2263,606.9,9.544,15.7486,3.115,7.4108,32.6002,2521.8101,26.2344,4103.3999,41.103,10641.4004,25515,655.957,655.957,119.26,15.7834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-09,1.1113,121.169,1.9484,25.2171,7.472,0.8479,330.711,4.2324,4.7737,10.5028,1.0816,136.92,9.8531,7.4474,68.1025,6.5606,1.6166,4.5127,1.4483,7.7071,8.641,15432,3.848,79.386,1288.8,20.9205,4.4839,1.6699,56.057,1.5005,33.691,15.7366,1,4.0793,85.74,119.73,66.4705,1.9458,2.1967,92.6656,0.4159,2064.3401,1.1097,1.4777,7.4946,1.1057,11.7031,2.1929,842.583,3595.3,623.54,1.083,110.265,193.59,58.142,132.322,17.788,35.391,2.3926,6.3065,10519.4004,8.3792,26.896,108.34,1298.39,145.081,0.7804,110.4,4440.5,0.3365,0.9073,417.86,9637.7998,1675,198.573,15.5892,1.5234,10.3563,18.7261,4073.24,61.05,1601.48,8.7131,39.06,16.893,815.418,15.5892,400.09,37.038,125.771,0.4263,1.0877,3.6159,3.7144,171.446,7120,3.9023,117.462,1040.54,4.1627,14.224,50.2263,603.7,9.496,15.6192,3.114,7.374,32.4188,2510.3999,26.3417,4072.1001,40.888,10608.2998,25389,655.957,655.957,119.26,15.7008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-10,1.1111,121.654,1.9482,25.2292,7.473,0.85,332.47,4.2453,4.7766,10.5372,1.081,137.32,9.8626,7.443,68.1059,6.5265,1.6206,4.5428,1.4511,7.6881,8.6273,15360,3.8455,79.034,1285.63,20.9349,4.4624,1.6812,56.174,1.5002,33.591,15.7865,1,4.0773,85.67,119.78,66.3487,1.9458,2.1922,92.4738,0.4158,2060.0901,1.1075,1.4763,7.4789,1.1035,11.6853,2.1884,830.933,3550.2,621.97,1.08,110.265,193.19,58.022,132.306,17.741,35.3518,2.3971,6.2992,10495.0996,8.3673,26.845,108.259,1295.7,145.949,0.78,110.85,4425.2002,0.3361,0.9054,415.17,9622.0996,1675,197.885,15.549,1.5216,10.3262,18.9112,4075.4199,61.05,1611.51,8.686,39.11,16.8797,815.531,15.549,398.71,36.962,124.631,0.4261,1.0855,3.6012,3.7067,171.007,7103.3999,3.8941,117.503,1038.52,4.1611,14.217,50.2263,602.4,9.477,15.5749,3.1209,7.3448,32.2576,2504.6499,26.488,4047.1001,40.993,10586.7002,25334,655.957,655.957,119.26,15.4411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
