date,USD,JPY,BGN,CYP,CZK,DKK,EEK,GBP,HUF,LTL,LVL,MTL,PLN,ROL,SEK,SIT,SKK,CHF,ISK,NOK,TRL,AUD,CAD,HKD,KRW,NZD,SGD,ZAR,EUR,JOD,KES,MUR,BOB,COP,HRK,LBP
2002-01-01,0.8813,115.33,1.9463,0.575,31.962,7.4365,15.6466,0.6121,245.18,3.5228,0.5563,0.3994,3.4953,27817,9.3018,218.8364,42.78,1.4829,91.48,7.973,1269500,1.728,1.4077,6.8723,1161.55,2.1215,1.6306,10.6794,1,,,,,,,
2002-01-02,0.9038,119.53,1.9519,0.5753,31.707,7.4388,15.6466,0.6248,244.58,3.6143,0.5665,0.4047,3.5608,28687,9.2719,216.7703,42.728,1.4833,92.19,8.0255,1311000,1.7603,1.4436,7.0482,1185.79,2.1469,1.6737,11.1764,1,,,,,,,
2002-01-03,0.9036,119.02,1.953,0.5755,31.853,7.438,15.6466,0.6246,245.32,3.6149,0.5664,0.4045,3.569,28843,9.2368,220.3297,42.829,1.4856,91.48,8.004,1294000,1.752,1.4422,7.0463,1181.64,2.1279,1.6709,11.093,1,,,,,,,
2002-01-04,0.8954,117.18,1.9539,0.5756,31.932,7.4405,15.6466,0.6179,244.15,3.5819,0.5628,0.4032,3.5265,28717,9.228,217.6852,42.829,1.4789,91.5,7.975,1271000,1.728,1.4305,6.9828,1167.33,2.0916,1.6517,10.8114,1,,,,,,,
2002-01-05,0.8954,117.18,1.9539,0.5756,31.932,7.4405,15.6466,0.6179,244.15,3.5819,0.5628,0.4032,3.5265,28717,9.228,217.6852,42.829,1.4789,91.5,7.975,1271000,1.728,1.4305,6.9828,1167.33,2.0916,1.6517,10.8114,1,,,,,,,
2002-01-06,0.8954,117.18,1.9539,0.5756,31.932,7.4405,15.6466,0.6179,244.15,3.5819,0.5628,0.4032,3.5265,28717,9.228,217.6852,42.829,1.4789,91.5,7.975,1271000,1.728,1.4305,6.9828,1167.33,2.0916,1.6517,10.8114,1,,,,,,,
2002-01-07,0.8905,116.72,1.954,0.5757,32.02,7.4389,15.6466,0.6188,243.55,3.5616,0.5615,0.4021,3.4872,28800,9.2219,217.9977,42.869,1.4719,90.62,7.962,1248000,1.718,1.4212,6.945,1162.1,2.0838,1.6441,10.4854,1,,,,,,,
2002-01-08,0.8909,118.22,1.954,0.5758,32.257,7.4391,15.6466,0.621,243.75,3.5632,0.5628,0.402,3.507,28588,9.2747,216.4417,42.845,1.4703,91.26,7.969,1241000,1.711,1.4267,6.948,1162.18,2.0774,1.6479,10.2192,1,,,,,,,
2002-01-09,0.8921,118.05,1.9549,0.5759,32.283,7.4383,15.6466,0.6203,244.19,3.568,0.5638,0.4022,3.5578,28573,9.245,218.6013,42.829,1.4791,91.06,7.9435,1244000,1.707,1.4231,6.9571,1165.89,2.0812,1.6469,10.0727,1,,,,,,,
2002-01-10,0.8909,117.96,1.955,0.576,32.138,7.4339,15.6466,0.6197,244.33,3.5626,0.5632,0.4018,3.591,28647,9.1758,218.7639,42.59,1.4833,90.88,7.9555,1236000,1.6968,1.4254,6.9478,1171.09,2.074,1.645,10.2778,1,,,,,,,
