date,USD,JPY,BGN,CYP,CZK,DKK,EEK,GBP,HUF,LTL,LVL,MTL,PLN,ROL,SEK,SIT,SKK,CHF,ISK,NOK,TRL,AUD,CAD,HKD,KRW,NZD,SGD,ZAR,EUR,BOB,COP,HRK,JOD,KES,LBP,MUR,AED,ANG,BAM,BBD,BND,BRL,BSD,BYR,CNY,EGP,FJD,IDR,ILS,INR,JMD,KWD,MXN,MYR,PHP,RUB,SAR,SVC,SZL,TND,TTD,UGX
2003-01-01,1.0487,124.39,1.9546,0.5732,31.577,7.4288,15.6466,0.6504,236.29,3.4525,0.614,0.4182,6.1638,35135,9.1327,230.1577,41.503,1.4524,84.74,7.278,1738000,1.8556,1.655,8.1781,1243.76,1.9975,1.8199,8.9666,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-02,1.0446,124.4,1.9538,0.5735,31.59,7.4272,15.6466,0.6494,235.78,3.4531,0.6134,0.4183,3.9738,35012,9.1189,230.325,41.412,1.4528,84.64,7.2565,1734000,1.8554,1.6422,8.1445,1246.21,1.9942,1.8188,8.8193,1,7.7677,2939.8401,7.4987,0.7349,80.2667,1554.59,30.113,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-03,1.0392,124.56,1.9559,0.5736,31.32,7.4283,15.6466,0.6472,235.46,3.453,0.6114,0.4178,3.9846,34773,9.0915,230.305,41.27,1.4555,84.32,7.2345,1714000,1.844,1.6264,8.1047,1243.87,1.982,1.8132,8.7824,1,,,,0.7397,80.8642,,30.3339,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-04,1.0392,124.56,1.9559,0.5736,31.32,7.4283,15.6466,0.6472,235.46,3.453,0.6114,0.4178,3.9846,34773,9.0915,230.305,41.27,1.4555,84.32,7.2345,1714000,1.844,1.6264,8.1047,1243.87,1.982,1.8132,8.7824,1,,,,0.7397,80.8642,,30.3339,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-05,1.0392,124.56,1.9559,0.5736,31.32,7.4283,15.6466,0.6472,235.46,3.453,0.6114,0.4178,3.9846,34773,9.0915,230.305,41.27,1.4555,84.32,7.2345,1714000,1.844,1.6264,8.1047,1243.87,1.982,1.8132,8.7824,1,,,,0.7397,80.8642,,30.3339,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-06,1.0488,124.4,1.9558,0.5731,31.323,7.4279,15.6466,0.6502,235.46,3.4532,0.6154,0.4143,3.997,35055,9.0654,230.305,41.27,1.4563,84.78,7.242,1742000,1.8281,1.6383,8.1797,1247.02,1.9735,1.821,8.8914,1,,,,0.7425,81.1745,,30.4398,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-07,1.0425,124.82,1.9557,0.5737,31.31,7.4285,15.6466,0.649,235.31,3.4533,0.6134,0.4179,3.4242,35038,9.057,230.5252,41.23,1.4565,84.09,7.2225,1762000,1.816,1.6257,8.1307,1233.28,1.963,1.8155,8.9705,1,,,,0.7388,80.9976,,30.244,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-08,1.0377,124.9,1.9559,0.5737,31.407,7.4291,15.6466,0.6509,235.3,3.4533,0.6126,0.4177,4.0135,34942,9.09,230.5165,41.346,1.4586,84.44,7.23,1735000,1.8132,1.6231,8.0936,1228.64,1.9617,1.8102,9.0055,1,,,,0.7449,82.0419,,30.4967,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-09,1.0507,125.16,1.9558,0.5748,31.548,7.4297,15.6466,0.6523,235.11,3.4533,0.6168,0.4186,4.0227,35385,9.1209,230.5425,41.49,1.4597,84.92,7.2385,1762000,1.8172,1.6371,8.1946,1238.25,1.9685,1.8244,8.9635,1,,,,0.7444,81.7132,,30.4196,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-10,1.0503,125.72,1.9558,0.5756,31.788,7.429,15.6466,0.6587,235.09,3.4519,0.6172,0.4187,4.0192,35477,9.1495,230.595,41.501,1.4602,84.62,7.241,1752000,1.8107,1.6285,8.1915,1238.09,1.9611,1.826,8.9772,1,,,,0.7506,81.9267,,30.6234,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-11,1.0503,125.72,1.9558,0.5756,31.788,7.429,15.6466,0.6587,235.09,3.4519,0.6172,0.4187,4.0192,35477,9.1495,230.595,41.501,1.4602,84.62,7.241,1752000,1.8107,1.6285,8.1915,1238.09,1.9611,1.826,8.9772,1,,,,0.7506,81.9267,,30.6234,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-12,1.0503,125.72,1.9558,0.5756,31.788,7.429,15.6466,0.6587,235.09,3.4519,0.6172,0.4187,4.0192,35477,9.1495,230.595,41.501,1.4602,84.62,7.241,1752000,1.8107,1.6285,8.1915,1238.09,1.9611,1.826,8.9772,1,,,,0.7506,81.9267,,30.6234,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-13,1.0549,125.74,1.9559,0.576,31.855,7.4295,15.6466,0.6584,234.94,3.4531,0.619,0.4193,4.023,35542,9.1644,230.6135,41.495,1.4613,84.08,7.3205,1754000,1.8109,1.6248,8.2272,1240.56,1.9606,1.8333,9.0966,1,,,,0.7479,81.203,,30.4788,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-14,1.0577,125.04,1.9547,0.5764,31.764,7.4295,15.6466,0.6582,234.94,3.453,0.619,0.4196,4.0046,35607,9.1592,230.6825,41.6,1.4623,84.09,7.329,1766000,1.8115,1.6301,8.2491,1238.57,1.961,1.833,9.3357,1,,,,0.749,81.1641,,30.1331,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-15,1.0526,124.47,1.9552,0.5774,31.87,7.431,15.6466,0.6577,234.91,3.4523,0.616,0.4195,4.0118,35410,9.1654,230.5262,41.331,1.4636,84.24,7.289,1758000,1.8024,1.6234,8.2093,1237.23,1.962,1.825,9.2207,1,,,,0.7495,81.5876,,30.1003,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-16,1.0564,124.74,1.9546,0.5781,31.493,7.4323,15.6466,0.6587,234.72,3.4527,0.6171,0.4195,4.0747,35670,9.1785,230.7225,41.225,1.4626,84.04,7.2675,1757000,1.8028,1.62,8.2388,1237.04,1.946,1.8303,9.3211,1,,,,0.7535,82.0318,,30.2642,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-17,1.0652,125.34,1.9546,0.5785,31.425,7.4343,15.6466,0.6614,246.2,3.4504,0.6206,0.4198,4.0813,35708,9.1975,230.775,41.602,1.4598,84.13,7.2795,1775000,1.8012,1.6304,8.3073,1249.91,1.9317,1.8467,9.4443,1,,,,0.7571,82.6353,,30.3548,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-18,1.0652,125.34,1.9546,0.5785,31.425,7.4343,15.6466,0.6614,246.2,3.4504,0.6206,0.4198,4.0813,35708,9.1975,230.775,41.602,1.4598,84.13,7.2795,1775000,1.8012,1.6304,8.3073,1249.91,1.9317,1.8467,9.4443,1,,,,0.7571,82.6353,,30.3548,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-19,1.0652,125.34,1.9546,0.5785,31.425,7.4343,15.6466,0.6614,246.2,3.4504,0.6206,0.4198,4.0813,35708,9.1975,230.775,41.602,1.4598,84.13,7.2795,1775000,1.8012,1.6304,8.3073,1249.91,1.9317,1.8467,9.4443,1,,,,0.7571,82.6353,,30.3548,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-20,1.0653,125.96,1.9552,0.5782,31.297,7.433,15.6466,0.6642,244.31,3.4557,0.6219,0.4205,4.0645,35725,9.1901,230.7715,41.732,1.4608,84.4,7.3215,1773000,1.8056,1.6367,8.3082,1250.98,1.9364,1.8454,9.4632,1,,,,0.7577,83.1283,,30.379,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-21,1.0653,126.5,1.9547,0.5782,31.18,7.4333,15.6466,0.6644,246.74,3.453,0.621,0.4204,4.1687,35603,9.2452,230.8125,41.54,1.4614,84.63,7.4245,1770000,1.8134,1.6362,8.3084,1257.16,1.9463,1.8494,9.6439,1,,,,0.7613,83.7935,,30.524,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-22,1.0718,126.51,1.9555,0.5783,31.587,7.4361,15.6466,0.6615,248.53,3.453,0.6227,0.4208,4.1685,35723,9.2499,230.81,42.023,1.4622,84.96,7.3975,1788000,1.8273,1.6408,8.3591,1261.29,1.969,1.856,9.6163,1,,,,0.7617,83.8326,,30.3773,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-23,1.0757,126.88,1.9554,0.5786,31.458,7.4365,15.6466,0.6624,248.85,3.4525,0.6238,0.4209,4.1954,35882,9.2584,230.8525,42.502,1.4642,84.92,7.4735,1788000,1.819,1.6409,8.3894,1264.59,1.961,1.8616,9.3943,1,,,,0.7623,83.8989,,30.4014,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-24,1.0784,127.49,1.9555,0.5788,31.335,7.4383,15.6466,0.6629,246.87,3.4524,0.6237,0.4206,4.1822,35910,9.2352,230.8465,42.155,1.4673,84.78,7.457,1793000,1.8235,1.6448,8.4105,1258.49,1.9655,1.8671,9.4437,1,,,,0.7685,84.4121,,30.7544,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-25,1.0784,127.49,1.9555,0.5788,31.335,7.4383,15.6466,0.6629,246.87,3.4524,0.6237,0.4206,4.1822,35910,9.2352,230.8465,42.155,1.4673,84.78,7.457,1793000,1.8235,1.6448,8.4105,1258.49,1.9655,1.8671,9.4437,1,,,,0.7685,84.4121,,30.7544,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-26,1.0784,127.49,1.9555,0.5788,31.335,7.4383,15.6466,0.6629,246.87,3.4524,0.6237,0.4206,4.1822,35910,9.2352,230.8465,42.155,1.4673,84.78,7.457,1793000,1.8235,1.6448,8.4105,1258.49,1.9655,1.8671,9.4437,1,,,,0.7685,84.4121,,30.7544,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-27,1.087,128.44,1.9557,0.5788,31.388,7.437,15.6466,0.6624,245.21,3.4526,0.6267,0.4214,4.1687,36028,9.2278,230.9512,42.116,1.4676,85.08,7.479,1804000,1.8338,1.6504,8.4781,1272.55,1.978,1.8762,9.4706,1,,,,0.7699,84.5215,,30.597,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-28,1.0808,128.47,1.9558,0.579,31.477,7.4372,15.6466,0.6612,244.22,3.4522,0.6244,0.4206,4.1247,35865,9.2395,230.9552,41.905,1.4683,84.82,7.4695,1798000,1.8367,1.6501,8.4297,1271.56,1.9795,1.8741,9.4843,1,,,,0.7683,84.1799,,30.478,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-29,1.0868,128.28,1.9558,0.5792,31.357,7.4346,15.6466,0.6565,243.23,3.452,0.6262,0.4208,4.1036,35983,9.1993,230.935,41.745,1.4693,84.86,7.462,1802000,1.8395,1.6543,8.4768,1269.38,1.9775,1.8783,9.2884,1,,,,0.7695,84.3083,,30.4161,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-30,1.0748,128.78,1.9553,0.5793,31.407,7.4344,15.6466,0.6537,243.5,3.4525,0.6218,0.4195,4.1184,35677,9.1863,231.08,41.806,1.4662,83.58,7.4375,1769000,1.8285,1.641,8.3831,1251.07,1.9655,1.8704,9.3033,1,,,,0.7677,84.1139,,30.5082,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-31,1.0816,129.11,1.9557,0.5793,31.572,7.4368,15.6466,0.6535,243.98,3.453,0.6255,0.4201,4.1153,35848,9.2495,231.0725,41.741,1.4682,83.54,7.473,1781000,1.8397,1.6562,8.4363,1265.47,1.982,1.8766,9.1052,1,,,,0.7643,83.7714,,30.3743,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-01,1.0816,129.11,1.9557,0.5793,31.572,7.4368,15.6466,0.6535,243.98,3.453,0.6255,0.4201,4.1153,35848,9.2495,231.0725,41.741,1.4682,83.54,7.473,1781000,1.8397,1.6562,8.4363,1265.47,1.982,1.8766,9.1052,1,,,,0.7643,83.7714,,30.3743,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-02,1.0816,129.11,1.9557,0.5793,31.572,7.4368,15.6466,0.6535,243.98,3.453,0.6255,0.4201,4.1153,35848,9.2495,231.0725,41.741,1.4682,83.54,7.473,1781000,1.8397,1.6562,8.4363,1265.47,1.982,1.8766,9.1052,1,,,,0.7643,83.7714,,30.3743,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-03,1.0729,129.78,1.9553,0.5793,31.56,7.4377,15.6466,0.6552,243.73,3.4521,0.6224,0.4197,6.2008,35613,9.2275,231.0655,41.894,1.4667,82.92,7.487,1758000,1.8405,1.6303,8.3685,1264.41,1.979,1.8699,9.1714,1,,,,0.7653,83.7495,,30.3073,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-04,1.0822,130.39,1.9556,0.5796,31.613,7.4357,15.6466,0.6597,244.11,3.4527,0.6256,0.4203,4.1511,35847,9.2362,231.1415,41.754,1.4652,83.31,7.52,1776000,1.8361,1.6415,8.4407,1274.29,1.9736,1.8823,9.0412,1,,,,0.7728,84.5211,,30.2757,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-05,1.091,129.43,1.9558,0.58,31.784,7.4357,15.6466,0.6567,245.25,3.455,0.6274,0.4211,4.135,35963,9.2418,231.1975,41.812,1.4666,82.63,7.54,1792000,1.8425,1.6523,8.5094,1281.11,1.9815,1.8959,9.067,1,,,,,83.1177,,29.5926,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-06,1.0813,129.85,1.9555,0.5801,31.642,7.4333,15.6466,0.6615,245.44,3.4523,0.6241,0.4205,4.1638,35690,9.185,231.1213,41.756,1.4663,82.87,7.492,1767000,1.8312,1.648,8.4335,1272.15,1.9741,1.8823,9.0296,1,,,,0.7681,83.3641,,30.0977,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-07,1.0789,130.19,1.9556,0.5802,31.728,7.431,15.6466,0.6631,246.67,3.452,0.6235,0.4209,4.182,35617,9.1565,231.1913,41.912,1.4667,82.46,7.499,1768000,1.8281,1.6434,8.415,1277.63,1.97,1.8826,9.0899,1,,,,0.7677,83.2058,,29.8633,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-08,1.0789,130.19,1.9556,0.5802,31.728,7.431,15.6466,0.6631,246.67,3.452,0.6235,0.4209,4.182,35617,9.1565,231.1913,41.912,1.4667,82.46,7.499,1768000,1.8281,1.6434,8.415,1277.63,1.97,1.8826,9.0899,1,,,,0.7677,83.2058,,29.8633,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-09,1.0789,130.19,1.9556,0.5802,31.728,7.431,15.6466,0.6631,246.67,3.452,0.6235,0.4209,4.182,35617,9.1565,231.1913,41.912,1.4667,82.46,7.499,1768000,1.8281,1.6434,8.415,1277.63,1.97,1.8826,9.0899,1,,,,0.7677,83.2058,,29.8633,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-10,1.0808,129.83,1.9539,0.5802,31.775,7.4323,15.6466,0.6589,246.28,3.4522,0.6241,0.4208,4.1458,35513,9.1655,231.205,42.156,1.4668,83.48,7.4515,1781000,1.823,1.6458,8.4296,1288.85,1.958,1.8981,9.177,1,,,,0.7613,82.349,,29.6135,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-11,1.0706,130,1.9521,0.5802,31.803,7.4322,15.6466,0.6629,245.04,3.4526,0.6213,0.4203,4.1452,35167,9.1644,231.33,42.041,1.4673,82.85,7.4595,1770000,1.818,1.6366,8.35,1290.13,1.9525,1.8813,9.008,1,,,,0.7613,82.4065,,29.6341,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-12,1.0731,129.9,1.9527,0.5803,31.793,7.4335,15.6466,0.6626,244.95,3.4527,0.6222,0.4208,4.1309,34955,9.13,231.3152,42.075,1.4687,83.06,7.471,1774000,1.813,1.6403,8.3695,1286.92,1.945,1.8814,8.9627,1,,,,0.7594,82.1816,,29.561,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-13,1.0758,130.47,1.9531,0.5803,31.507,7.4317,15.6466,0.6692,244.32,3.4509,0.623,0.421,4.1593,35237,9.1103,231.3252,42.023,1.4681,83.38,7.5265,1793000,1.8216,1.6411,8.3907,1294.08,1.9565,1.8888,9.0193,1,,,,0.7684,83.2209,,29.8881,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-14,1.0793,129.78,1.9527,0.5803,31.387,7.4318,15.6466,0.6681,245.45,3.4546,0.6246,0.4215,4.1568,35217,9.1115,231.2224,41.972,1.469,83.58,7.5255,1795000,1.8186,1.6393,8.4179,1298.99,1.9549,1.8929,8.9698,1,,,,0.7657,82.8325,,29.7658,,,,,,,,,,,,,,,,,,,,,,,,,,
