date,USD,JPY,BGN,CYP,CZK,DKK,EEK,GBP,HUF,LTL,LVL,MTL,PLN,RON,SEK,SIT,SKK,CHF,ISK,NOK,HRK,RUB,TRY,AUD,CAD,CNY,HKD,IDR,KRW,MYR,NZD,PHP,SGD,THB,ZAR,EUR,AED,AFN,ALL,ANG,ARS,BAM,BBD,BDT,BHD,BIF,BND,BOB,BRL,BSD,BWP,BYR,BZD,CLP,COP,CRC,CUP,CVE,DJF,DOP,DZD,EGP,ETB,FJD,GMD,GNF,GTQ,HNL,HTG,ILS,INR,IQD,IRR,JMD,JOD,KES,KHR,KWD,KYD,KZT,LAK,LBP,LKR,LSL,LYD,MAD,MDL,MGA,MKD,MMK,MOP,MRO,MUR,MWK,MXN,NAD,NGN,NIO,NPR,OMR,PAB,PEN,PGK,PKR,PYG,QAR,RWF,SAR,SCR,SOS,STD,SVC,SYP,SZL,TND,TTD,TWD,TZS,UAH,UGX,UYU,UZS,VND,XAF,XOF,XPF,RSD,SDG,GHS
2007-01-01,1.3219,157.14,1.9357,0.5782,27.447,7.4566,15.6466,0.673,251.16,3.4125,0.6873,0.4293,3.8308,3.2478,9.0436,239.64,34.435,1.6084,91.405,8.2227,7.3575,33.2838,1.8226,1.6708,1.539,10.2948,10.2777,11349.4004,1212.3,4.6565,1.8728,64.531,2.0247,46.633,9.2494,1,4.7398,62.8,117.98,2.2455,4.0322,1.9169,2.5122,88.033,0.4768,1261.1801,1.9903,10.135,2.8164,1.3107,7.698,2713,2.4727,671.45,2821.3999,657.57,1.268,105.82,220.2,42.246,89.715,7.1858,11.1437,2.0929,34.983,7171.1001,9.6538,23.898,46.623,5.5655,58.444,1664.63,11662.4004,84.713,0.9197,87.446,5136.7002,0.3805,1.0355,160.26,12278.4004,1912.4,136.087,9.011,1.6134,10.7,16.3748,2556.48,58.804,8.1096,10.1496,343.1,42.314,177.611,14.001,9.0425,162.72,22.687,88.239,0.5061,1.2727,4.032,3.7099,77.022,6512.5,4.5972,693.17,4.9452,7.138,1648.4,8434,11.033,65.797,8.841,1.6533,8.011,41.419,1610.59,6.3757,2292.6001,30.752,1578.95,20307,629.957,629.957,114.56,,,
2007-01-02,1.3276,157.76,1.9358,0.5782,27.43,7.4562,15.6466,0.6726,251.14,3.4129,0.6969,0.4293,3.8231,3.2361,9.0233,,34.383,1.6105,91.869,8.2153,7.3485,33.5147,1.8371,1.6668,1.5459,10.3639,10.3268,11426.2002,1213.8,4.6885,1.8779,64.732,2.0319,47.18,9.1644,1,4.7741,63.26,118.61,2.2621,4.0601,1.9306,2.5308,88.666,0.4803,1270.55,2.0009,10.2098,2.83,1.3201,7.7399,2733,2.491,675.13,2840.6001,663.74,1.277,106.14,221.84,42.763,90.061,7.2341,11.2259,2.1018,35.242,7221.7998,9.7253,24.075,46.968,5.5675,58.577,1677.01,11750,85.446,0.9252,88.123,5161.2998,0.3828,1.0432,161.3,12369.0996,1920.5,137.357,9.0762,1.624,10.713,16.5453,2561.3999,59.24,8.1697,10.2245,345.63,42.624,179.429,14.018,9.022,163.96,22.854,88.894,0.5096,1.2821,4.0607,3.7351,77.83,6560.7998,4.6313,698.3,4.9805,7.18,1657.3,8493.4004,11.114,66.285,8.938,1.6593,8.0702,41.47,1639.64,6.4236,2320.8999,30.98,1590.62,20470,629.957,629.957,114.56,,,
2007-01-03,1.3171,157.18,1.9359,0.5782,27.486,7.4538,15.6466,0.6744,251.89,3.4148,0.6967,0.4293,3.8371,3.2185,9.0281,,34.321,1.6134,90.515,8.2475,7.3537,33.3897,1.8195,1.6628,1.5438,10.2729,10.2529,11361,1204.1,4.6231,1.8646,64.16,2.018,46.808,9.1848,1,4.7565,63.12,118.16,2.2537,4.0188,1.9236,2.5214,88.404,0.4785,1262.08,1.995,10.1718,2.8108,1.3153,7.6685,2722,2.4817,681.86,2815.3,659.59,1.272,105.15,221.01,42.598,89.897,7.2054,11.1841,2.0921,35.21,7195.3999,9.6785,23.985,46.793,5.4848,58.09,1670.73,11706.2002,85.233,0.9208,87.502,5136.7998,0.38,1.0393,160.19,12294.5996,1919.3,136.846,9.043,1.6199,10.722,16.5499,2555.1799,58.886,8.1392,10.1865,344.34,42.599,178.315,13.958,8.982,162.58,22.915,89.222,0.5051,1.2773,4.0408,3.7075,77.295,6536.2998,4.6148,695.69,4.9379,7.128,1656.1,8458.5996,11.073,66.037,8.7805,1.6537,7.9916,41.349,1637.54,6.3996,2325.8,30.732,1584.73,20380,629.957,629.957,114.56,,,
2007-01-04,1.3093,155.54,1.9358,0.5783,27.652,7.4523,15.6466,0.6736,253.24,3.4512,0.696,0.4293,3.8855,3.2387,9.0793,,34.4,1.613,90.025,8.2715,7.3646,34.533,1.818,1.6706,1.5413,10.2009,10.1938,11305.2998,1211,4.6099,1.8806,63.813,2.0106,46.783,9.2902,1,4.7124,62.44,117.98,2.206,4.0148,1.9059,2.4974,87.768,0.474,1245.97,1.9825,10.0754,2.7996,1.3033,7.6294,2697,2.4712,678.65,2772.8999,654.04,1.26,105.19,218.9,42.293,89.46,7.1383,11.0781,2.0794,34.875,7128.3999,9.6427,23.757,46.348,5.5054,57.906,1654.77,11593.5996,83.304,0.9127,86.862,5073.7998,0.3776,1.0294,157.99,12204.2002,1895.2,136.335,8.959,1.6045,10.689,16.3933,2532.29,58.325,8.0618,10.09,341.08,42.197,176.663,13.899,9.065,161.08,22.7,88.373,0.5022,1.2653,4.0021,3.728,76.634,6474,4.571,689.08,4.9104,7.095,1638.1,8376.9004,10.967,65.408,8.8021,1.6512,7.9192,41.116,1627.36,6.3171,2306.5,30.439,1569.79,20180,629.957,629.957,114.56,,,
2007-01-05,1.2985,154.19,1.9358,0.5783,27.666,7.454,15.6466,0.6727,254.03,3.4524,0.6976,0.4293,3.879,3.249,9.0598,,34.425,1.6075,90.216,8.2661,7.364,33.136,1.838,1.6647,1.5248,10.1352,10.1269,11296.9004,1201.5,4.5662,1.8949,63.268,1.9716,46.381,9.4338,1,4.7076,62.48,118.04,2.2038,3.9974,1.904,2.4948,87.678,0.4735,1240.85,1.9795,10.0651,2.7894,1.302,7.825,2694,2.4817,677.55,2772.6001,652.83,1.259,105.61,218.67,42.577,89.407,7.1321,11.0667,2.0907,34.839,7121.2002,9.6615,23.733,46.627,5.4976,57.284,1653.05,11582.9004,84.337,0.9064,86.72,5075.1001,0.3746,1.0283,157.98,12193.5,1893.2,136.783,9.1463,1.6022,10.699,16.5072,2531.6399,58.69,8.0535,10.0796,340.73,42.153,176.441,13.97,9.183,160.87,22.681,88.281,0.4985,1.264,3.9982,3.6718,79.244,6467.2998,4.566,688.36,4.8762,7.041,1636.4,8368.0996,10.956,65.34,8.9763,1.6522,7.9347,41.165,1621.84,6.3466,2325.8,30.407,1568.1801,20165,629.957,629.957,114.56,,,
2007-01-06,1.2985,154.19,1.9358,0.5783,27.666,7.454,15.6466,0.6727,254.03,3.4524,0.6976,0.4293,3.879,3.249,9.0598,,34.425,1.6075,90.216,8.2661,7.364,33.136,1.838,1.6647,1.5248,10.1352,10.1269,11296.9004,1201.5,4.5662,1.8949,63.268,1.9716,46.381,9.4338,1,4.7076,62.48,118.04,2.2038,3.9974,1.904,2.4948,87.678,0.4735,1240.85,1.9795,10.0651,2.7894,1.302,7.825,2694,2.4817,677.55,2772.6001,652.83,1.259,105.61,218.67,42.577,89.407,7.1321,11.0667,2.0907,34.839,7121.2002,9.6615,23.733,46.627,5.4976,57.284,1653.05,11582.9004,84.337,0.9064,86.72,5075.1001,0.3746,1.0283,157.98,12193.5,1893.2,136.783,9.1463,1.6022,10.699,16.5072,2531.6399,58.69,8.0535,10.0796,340.73,42.153,176.441,13.97,9.183,160.87,22.681,88.281,0.4985,1.264,3.9982,3.6718,79.244,6467.2998,4.566,688.36,4.8762,7.041,1636.4,8368.0996,10.956,65.34,8.9763,1.6522,7.9347,41.165,1621.84,6.3466,2325.8,30.407,1568.1801,20165,629.957,629.957,114.56,,,
2007-01-07,1.2985,154.19,1.9358,0.5783,27.666,7.454,15.6466,0.6727,254.03,3.4524,0.6976,0.4293,3.879,3.249,9.0598,,34.425,1.6075,90.216,8.2661,7.364,33.136,1.838,1.6647,1.5248,10.1352,10.1269,11296.9004,1201.5,4.5662,1.8949,63.268,1.9716,46.381,9.4338,1,4.7076,62.48,118.04,2.2038,3.9974,1.904,2.4948,87.678,0.4735,1240.85,1.9795,10.0651,2.7894,1.302,7.825,2694,2.4817,677.55,2772.6001,652.83,1.259,105.61,218.67,42.577,89.407,7.1321,11.0667,2.0907,34.839,7121.2002,9.6615,23.733,46.627,5.4976,57.284,1653.05,11582.9004,84.337,0.9064,86.72,5075.1001,0.3746,1.0283,157.98,12193.5,1893.2,136.783,9.1463,1.6022,10.699,16.5072,2531.6399,58.69,8.0535,10.0796,340.73,42.153,176.441,13.97,9.183,160.87,22.681,88.281,0.4985,1.264,3.9982,3.6718,79.244,6467.2998,4.566,688.36,4.8762,7.041,1636.4,8368.0996,10.956,65.34,8.9763,1.6522,7.9347,41.165,1621.84,6.3466,2325.8,30.407,1568.1801,20165,629.957,629.957,114.56,,,
2007-01-08,1.304,154.74,1.9358,0.5784,27.617,7.4523,15.6466,0.6718,252.78,3.4126,0.6964,0.4293,3.86,3.2455,9.1083,,34.431,1.6101,90.075,8.2662,7.3605,32.9249,1.8684,1.6676,1.5308,10.1541,10.1609,11765,1205.1,4.5744,1.8847,63.377,2.003,46.399,9.3854,1,4.6783,62.08,118.14,2.2157,4.0087,1.8923,2.4789,87.969,0.4705,1232.9,1.9715,10.0011,2.796,1.294,7.8254,2677,2.4399,677,2777.6001,648.71,1.251,105.58,217.28,42.307,89.109,7.0869,10.9963,2.0902,34.616,7076.7998,9.6103,23.581,46.33,5.4987,57.639,1642.46,11509.0996,83.813,0.9056,86.314,5037.6001,0.3757,1.0218,156.02,12114,1968,135.978,9.2194,1.5907,10.686,16.4675,2518.8101,58.445,8.0021,10.0155,338.56,41.887,175.393,13.93,9.2352,159.72,22.546,88.042,0.4995,1.256,3.9733,3.6428,76.125,6425.8999,4.5371,684.77,4.8835,7.034,1618.8,8320.4004,10.886,64.923,9.0494,1.6492,7.8444,40.976,1603.71,6.2963,2340.8,30.213,1558.26,20037,629.957,629.957,114.56,,,
2007-01-09,1.2997,155.01,1.9359,0.5784,27.661,7.4533,15.6466,0.67,254.54,3.4128,0.6961,0.4293,3.8835,3.2486,9.1212,,34.335,1.6134,90.604,8.2621,7.3605,34.41,1.825,1.6638,1.5283,10.1251,10.1308,11267.5996,1206.2,4.5561,1.8762,62.989,1.9725,46.639,9.4675,1,4.6838,62.16,118.49,2.1923,4.0024,1.8945,2.4819,88.986,0.471,1234.39,1.97,10.0131,2.7925,1.2955,7.785,2680,2.4558,676.38,2781,649.47,1.252,105.38,217.54,42.716,88.917,7.1002,11.0372,2.0886,34.658,7086.3999,9.6115,23.61,46.386,5.4991,57.579,1637.9301,11522.9004,83.901,0.9059,86.346,5043.7002,0.3746,1.023,156.21,12122,1889.3,135.907,9.1651,1.5913,10.688,16.4872,2519.8799,58.515,8.0117,10.0275,338.96,41.937,175.601,13.932,9.184,159.97,22.577,88.148,0.4982,1.2575,3.9768,3.6573,76.236,6433.7002,4.5421,685.59,4.8784,7.037,1628.7,8324.0996,10.899,65.001,8.9951,1.6422,7.8317,41.025,1618,6.2915,2353.7,30.25,1561.47,20074,629.957,629.957,114.56,,,
2007-01-10,1.294,154.63,1.9357,0.5784,27.661,7.4533,15.6466,0.6693,255.25,3.4502,0.696,0.4293,3.8713,3.275,9.1327,,34.599,1.6123,92.017,8.3373,7.3645,34.345,1.8465,1.6648,1.5188,10.0812,10.0864,11250,1203.4,4.5472,1.881,63.019,1.9894,46.565,9.4265,1,4.6734,61.93,119.09,2.1874,3.9831,1.8904,2.4763,88.398,0.47,1234.97,1.966,9.9907,2.7816,1.2927,7.9494,2674,2.4633,676.62,2782.1001,648.04,1.25,106.12,217.05,42.686,88.815,7.0749,10.792,2.0821,35.165,7069.6001,9.6068,23.557,46.607,5.4856,57.477,1631.64,11495.7998,83.713,0.9003,86.23,5032.3999,0.3731,1.0207,155.98,12114.4004,1885.1,135.447,9.145,1.589,10.684,16.3659,2527.24,58.806,7.9938,10.0051,338.21,41.843,175.208,14.052,9.418,160.01,22.529,87.95,0.4964,1.2547,3.9698,3.7011,76.072,6419.2002,4.5318,684.05,4.8514,7,1623.5,8305.0996,10.875,64.855,9.1439,1.647,7.8206,41.044,1621.55,6.2878,2349.8999,30.376,1558,19995,629.957,629.957,114.56,,,
