date,USD,JPY,BGN,CZK,DKK,EEK,GBP,HUF,LTL,LVL,PLN,RON,SEK,SKK,CHF,NOK,HRK,RUB,TRY,AUD,BRL,CAD,CNY,HKD,IDR,KRW,MXN,MYR,NZD,PHP,SGD,THB,ZAR,EUR,AED,AFN,ALL,ANG,ARS,BAM,BBD,BDT,BHD,BIF,BND,BOB,BSD,BWP,BYR,BZD,CLP,COP,CRC,CUP,CVE,DJF,DOP,DZD,EGP,ETB,FJD,GHS,GMD,GNF,GTQ,HNL,HTG,ILS,INR,IQD,IRR,ISK,JMD,JOD,KES,KHR,KWD,KZT,LAK,LBP,LKR,LSL,LYD,MAD,MDL,MGA,MKD,MMK,MOP,MRO,MUR,MWK,NAD,NGN,NIO,NPR,OMR,PAB,PEN,PGK,PKR,PYG,QAR,RSD,RWF,SAR,SCR,SDG,SOS,STD,SVC,SYP,SZL,TND,TTD,TWD,TZS,UAH,UGX,UYU,UZS,VEF,VND,XAF,XOF,XPF,XCD,MVR
2009-01-01,1.3999,126.92,1.9457,26.826,7.448,15.6466,0.9508,265.24,3.4125,0.6975,4.1101,3.9614,10.9045,30.126,1.4906,9.7122,7.3201,41.8926,2.1068,1.9853,3.2759,1.711,9.5852,10.8497,15012.5996,1771.83,19.0608,4.8923,2.4012,66.528,2.0102,47.704,13.2835,1,5.0365,64.74,121.52,2.3972,4.8564,1.9458,2.7468,94.564,0.5172,1668.26,1.9935,9.6168,1.3914,10.4259,3028,2.6769,879.58,3193.3,767.15,1.368,107.63,243.37,48.668,96.707,7.5622,13.6941,2.4272,1.7549,36.897,6867,10.6726,25.902,53.887,5.285,66.871,1602.63,13531.2002,168.507,109.373,0.969,107.355,5563.5,0.3875,166.39,11598.5996,2068.1001,155.019,12.9971,1.6991,11.067,14.2434,2523.0601,59.816,8.8287,10.9693,356.65,43.599,195.412,12.98,189.56,27.118,107.305,0.5385,1.3734,4.2487,3.5447,108.978,6750.1001,4.9931,88.34,765.31,5.2314,23.764,3.0131,1941.5,19766,11.999,64.674,12.903,1.8029,8.59,44.893,1808.9,10.5927,2671.3999,33.416,1912.97,3.0148,24048,642.957,642.957,116.86,,
2009-01-02,1.3923,127.86,1.9456,26.771,7.4473,15.6466,0.9583,264.64,3.4142,0.6965,4.1686,3.9785,10.7163,,1.5022,9.5734,7.3242,39.9485,2.1404,1.9651,3.2325,1.6775,9.476,10.7891,14965.7002,1840.99,18.8619,4.8276,2.3725,65.576,2.0267,47.701,12.929,1,5.0208,64.52,121.62,2.4106,4.8155,1.9458,2.7382,93.731,0.5156,1663.04,2.0051,9.5866,1.3871,10.3377,3018,2.6685,876.13,3093,763.7,1.364,108.27,241.21,48.481,96.537,7.5173,13.6513,2.4058,1.7462,36.781,6845.6001,10.5994,25.821,53.718,5.2677,67.162,1597.61,13539,168.279,109.031,0.9561,107.576,5539.1001,0.3834,165.87,11558.7002,2061.6001,155.962,12.9427,1.7022,11.053,14.1986,2546.51,59.922,8.801,10.935,355.54,43.463,194.799,12.924,189.39,27.033,106.691,0.5328,1.3691,4.2173,3.5326,108.604,6680.2002,4.9773,88.601,764.3,5.2005,22.812,3.0036,1935.4,19704.0996,11.961,64.471,12.9812,1.8023,8.5631,44.752,1804.64,11.0825,2697.8999,33.311,1906.98,2.9837,23967,642.957,642.957,116.86,,
2009-01-03,1.3923,127.86,1.9456,26.771,7.4473,15.6466,0.9583,264.64,3.4142,0.6965,4.1686,3.9785,10.7163,,1.5022,9.5734,7.3242,39.9485,2.1404,1.9651,3.2325,1.6775,9.476,10.7891,14965.7002,1840.99,18.8619,4.8276,2.3725,65.576,2.0267,47.701,12.929,1,5.0208,64.52,121.62,2.4106,4.8155,1.9458,2.7382,93.731,0.5156,1663.04,2.0051,9.5866,1.3871,10.3377,3018,2.6685,876.13,3093,763.7,1.364,108.27,241.21,48.481,96.537,7.5173,13.6513,2.4058,1.7462,36.781,6845.6001,10.5994,25.821,53.718,5.2677,67.162,1597.61,13539,168.279,109.031,0.9561,107.576,5539.1001,0.3834,165.87,11558.7002,2061.6001,155.962,12.9427,1.7022,11.053,14.1986,2546.51,59.922,8.801,10.935,355.54,43.463,194.799,12.924,189.39,27.033,106.691,0.5328,1.3691,4.2173,3.5326,108.604,6680.2002,4.9773,88.601,764.3,5.2005,22.812,3.0036,1935.4,19704.0996,11.961,64.471,12.9812,1.8023,8.5631,44.752,1804.64,11.0825,2697.8999,33.311,1906.98,2.9837,23967,642.957,642.957,116.86,,
2009-01-04,1.3923,127.86,1.9456,26.771,7.4473,15.6466,0.9583,264.64,3.4142,0.6965,4.1686,3.9785,10.7163,,1.5022,9.5734,7.3242,39.9485,2.1404,1.9651,3.2325,1.6775,9.476,10.7891,14965.7002,1840.99,18.8619,4.8276,2.3725,65.576,2.0267,47.701,12.929,1,5.0208,64.52,121.62,2.4106,4.8155,1.9458,2.7382,93.731,0.5156,1663.04,2.0051,9.5866,1.3871,10.3377,3018,2.6685,876.13,3093,763.7,1.364,108.27,241.21,48.481,96.537,7.5173,13.6513,2.4058,1.7462,36.781,6845.6001,10.5994,25.821,53.718,5.2677,67.162,1597.61,13539,168.279,109.031,0.9561,107.576,5539.1001,0.3834,165.87,11558.7002,2061.6001,155.962,12.9427,1.7022,11.053,14.1986,2546.51,59.922,8.801,10.935,355.54,43.463,194.799,12.924,189.39,27.033,106.691,0.5328,1.3691,4.2173,3.5326,108.604,6680.2002,4.9773,88.601,764.3,5.2005,22.812,3.0036,1935.4,19704.0996,11.961,64.471,12.9812,1.8023,8.5631,44.752,1804.64,11.0825,2697.8999,33.311,1906.98,2.9837,23967,642.957,642.957,116.86,,
2009-01-05,1.3646,127.11,1.9491,26.415,7.4484,15.6466,0.9266,266.41,3.4151,0.6977,4.084,4.0087,10.7055,,1.5119,9.4536,7.2921,39.0825,2.0869,1.9088,3.0744,1.6194,9.2572,10.5685,14676.0996,1785.21,18.3941,4.7453,2.3154,63.905,2.0059,46.879,12.6597,1,4.9116,63.13,121.59,2.3377,4.682,1.9458,2.6788,91.15,0.5044,1627.02,1.982,9.3781,1.3574,10.2473,3574,2.6379,866.72,3026,736.42,1.334,106.58,235.98,47.329,95.388,7.3644,13.3558,2.3391,1.7167,35.982,6322.7002,10.4491,25.26,52.553,5.2298,65.752,1552.7,13296.4004,166.269,106.67,0.9462,106.129,5420.3999,0.3792,162.08,11313.2998,2016.8,152.064,12.7054,1.6666,11.019,13.8557,2521.8899,59.188,8.6099,10.6977,347.81,42.656,190.563,12.7,187.67,26.447,104.273,0.5209,1.3394,4.194,3.5058,105.983,6590.3999,4.8686,89.492,747.7,5.1018,22.616,2.9466,1890.6,19270.0996,11.701,63.068,12.7181,1.7934,8.3707,44.059,1781.24,11.2186,2642.8999,32.528,1865.61,2.911,23477,642.957,642.957,116.86,,
2009-01-06,1.351,126.059,1.946,25.923,7.4523,15.6466,0.9047,264.71,3.4129,0.6972,3.9682,4.0273,10.6099,,1.5073,9.4179,7.2958,38.1976,2.0399,1.8745,2.9389,1.5984,9.1717,10.4658,14377.7998,1762.09,17.5164,4.714,2.2629,62.898,1.9829,45.965,12.6186,1,4.8,61.78,121.61,2.2846,4.6384,1.9458,2.6181,90.069,0.4929,1594.87,1.9495,9.165,1.3271,9.9695,3493,2.5514,834.66,2916.8999,722.33,1.304,104.16,230.63,46.259,94.392,7.1906,13.0538,2.27,1.6826,35.166,6606.8999,10.2189,24.707,51.361,5.2507,65.546,1517.5,12995.0996,164.989,104.257,0.9342,103.39,5411,0.3779,158.39,11046.0996,1971.1,148.681,12.24,1.6362,10.966,13.5608,2468.02,58.513,8.4146,10.4553,339.92,41.89,186.236,12.209,180.77,25.847,102.276,0.5156,1.3091,4.1076,3.4307,103.897,6420.2002,4.7585,91.21,730.73,5.0465,22.235,2.88,1854.4,18833.5996,11.436,61.634,12.3107,1.7814,8.1878,43.073,1747.62,11.066,2599.8,31.904,1823.33,2.8818,22946,642.957,642.957,116.86,,
2009-01-07,1.3611,126.18,1.9469,26.205,7.4494,15.6466,0.9026,268.11,3.4133,0.6967,4.0105,4.0517,10.6861,,1.502,9.4337,7.2948,39.0198,2.1145,1.9159,3.0412,1.6279,9.3498,10.5517,14414.2002,1771.24,17.9337,4.7971,2.3117,63.422,2.0089,46.634,13.073,1,4.9034,63.11,122.79,2.3339,4.7331,1.9458,2.6745,92.011,0.5036,1629.1801,1.9795,9.363,1.3553,10.1914,3568,2.6064,841.56,2979.6001,745.88,1.332,108.48,235.6,47.253,93.391,7.3397,13.4025,2.3189,1.7198,35.516,6748.5,10.4392,25.56,52.468,5.275,66.104,1550.21,13275.0996,166.931,106.499,0.9565,105.005,5527.5,0.3873,161.83,11312.7998,2013.6,152.065,12.6252,1.6715,11.009,13.8402,2517.8401,59.722,8.5961,10.6806,347.25,42.792,190.257,12.6285,187.72,26.564,104.692,0.526,1.3373,4.1961,3.4777,105.541,6558.6001,4.8597,92.274,746.5,5.0899,22.76,2.9419,1894.4,19239.1992,11.682,62.966,12.5493,1.7928,8.3504,43.947,1788.6,11.1735,2608,32.591,1865.2,2.9392,23411,642.957,642.957,116.86,,
2009-01-08,1.3699,125.17,1.9459,26.257,7.4527,15.6466,0.8994,273.54,3.4108,0.6965,4.037,4.1035,10.6635,,1.4989,9.5794,7.2932,38.8711,2.1309,1.9241,3.1011,1.6178,9.3507,10.6227,14630.7998,1822.4,17.9822,4.8498,2.3032,64.103,2.0263,46.612,13.1905,1,4.8847,62.76,122.44,2.325,4.725,1.9458,2.6643,89.977,0.5016,1622.97,1.987,9.3272,1.3502,10.2957,3541,2.6236,847.45,2955.7,744.21,1.327,108.21,234.7,47.318,95.361,7.3211,13.9079,2.3121,1.7128,34.973,5983.7998,10.4943,25.462,52.268,5.3144,66.241,1544.29,13216.2998,167.293,106.093,0.9544,103.383,5503,0.3852,161.23,11262.7002,2005.9,151.484,12.8792,1.7024,11.001,13.7872,2501.4399,60.992,8.5633,10.6398,344.95,42.629,188.715,12.8695,192.23,26.465,103.893,0.5261,1.3322,4.1847,3.4933,102.595,6537.7002,4.8411,92.81,748.4,5.1222,22.702,2.9307,1874.9,19165.8008,11.638,62.725,12.8703,1.7891,8.3118,43.937,1782.47,10.9208,2608.2,32.318,1858.09,2.9387,23312,642.957,642.957,116.86,,
2009-01-09,1.3455,121.57,1.9464,26.578,7.4534,15.6466,0.8878,276.19,3.4145,0.6972,4.0238,4.2016,10.705,,1.4987,9.4104,7.3241,39.3055,2.0956,1.9044,3.0857,1.5964,9.1984,10.4515,14794,1818.5,18.5588,4.7727,2.2751,63.346,1.9993,46.968,13.1942,1,4.9397,63.53,122.6,2.3991,4.6462,1.9458,2.6941,90.985,0.5073,1635.61,2.0015,9.4524,1.3651,10.4105,3580,2.6255,846.21,2982.8,752.8,1.342,108.74,237.32,47.773,95.904,7.397,14.063,2.3671,1.7433,35.708,6050.5,10.622,25.747,53.196,5.1988,65.326,1568.4399,13364.2002,169,107.278,0.9421,104.883,5467.7998,0.379,163.05,11385,2028.4,153.208,13.098,1.7056,11.026,13.9419,2529.45,60.642,8.6591,10.7588,348.81,43.106,191.654,13.09,195.12,26.765,104.222,0.5175,1.3471,4.2282,3.5033,106.909,6551.8999,4.8971,93.135,756.78,5.0302,22.242,2.9634,1896,19380.0996,11.768,63.429,13.0952,1.7925,8.4185,44.456,1829.13,11.6939,2636.7,32.652,1878.87,2.8915,23578,642.957,642.957,116.86,,
2009-01-10,1.3455,121.57,1.9464,26.578,7.4534,15.6466,0.8878,276.19,3.4145,0.6972,4.0238,4.2016,10.705,,1.4987,9.4104,7.3241,39.3055,2.0956,1.9044,3.0857,1.5964,9.1984,10.4515,14794,1818.5,18.5588,4.7727,2.2751,63.346,1.9993,46.968,13.1942,1,4.9397,63.53,122.6,2.3991,4.6462,1.9458,2.6941,90.985,0.5073,1635.61,2.0015,9.4524,1.3651,10.4105,3580,2.6255,846.21,2982.8,752.8,1.342,108.74,237.32,47.773,95.904,7.397,14.063,2.3671,1.7433,35.708,6050.5,10.622,25.747,53.196,5.1988,65.326,1568.4399,13364.2002,169,107.278,0.9421,104.883,5467.7998,0.379,163.05,11385,2028.4,153.208,13.098,1.7056,11.026,13.9419,2529.45,60.642,8.6591,10.7588,348.81,43.106,191.654,13.09,195.12,26.765,104.222,0.5175,1.3471,4.2282,3.5033,106.909,6551.8999,4.8971,93.135,756.78,5.0302,22.242,2.9634,1896,19380.0996,11.768,63.429,13.0952,1.7925,8.4185,44.456,1829.13,11.6939,2636.7,32.652,1878.87,2.8915,23578,642.957,642.957,116.86,,
