date,USD,JPY,BGN,CZK,DKK,GBP,HUF,LTL,LVL,PLN,RON,SEK,CHF,NOK,HRK,RUB,TRY,AUD,BRL,CAD,CNY,HKD,IDR,ILS,INR,KRW,MXN,MYR,NZD,PHP,SGD,THB,ZAR,EUR,AED,AFN,ALL,ARS,BAM,BBD,BDT,BHD,BIF,BND,BOB,BSD,BWP,BYR,BZD,CLP,COP,CRC,CUP,CVE,DJF,DOP,DZD,EGP,ETB,FJD,GHS,GMD,GNF,GTQ,HNL,HTG,IQD,IRR,ISK,JMD,JOD,KES,KHR,KWD,KYD,KZT,LAK,LBP,LKR,LSL,LYD,MAD,MDL,MGA,MKD,MMK,MOP,MRO,MUR,MVR,MWK,NAD,NGN,NIO,NPR,OMR,PAB,PEN,PGK,PKR,PYG,QAR,RSD,RWF,SAR,SCR,SDG,SOS,STD,SVC,SYP,SZL,TND,TTD,TWD,TZS,UAH,UGX,UYU,UZS,VEF,VND,XAF,XOF,XPF,ZMW,BMD
2013-01-01,1.3201,114.45,1.9564,24.982,7.4448,0.8098,290.92,3.4519,0.6949,4.0728,4.4434,8.6012,1.2078,7.3491,7.551,40.3278,2.3528,1.2656,2.6996,1.3103,8.2127,10.2099,12682,4.9202,72.512,1402.29,16.912,4.0319,1.5924,54.028,1.6109,40.351,11.0636,1,4.8452,66.22,137.24,6.4836,1.9458,2.5871,103.46,0.4946,1997.95,1.5861,9.043,1.3116,10.0931,11309,2.5871,617.322,2279.8999,659.38,1.289,107.7,226.91,51.777,102.712,8.369,23.8465,2.3462,2.4901,44.276,9155.7002,10.2212,25.739,54.577,1504.79,15935.2002,169.45,120.074,0.9296,111.5,5169.6001,0.3701,1.0678,195.36,10281.2998,1945.1,168.34,10.9572,1.634,10.847,15.6792,2947.0601,61.845,1108,10.3273,392.52,38.95,20.116,423.21,10.9572,202.96,31.298,114.319,0.5066,1.2936,3.2856,2.6033,128.46,5477.1001,4.8017,112.23,799.86,4.945,16.342,5.7714,2076.3,24200.6992,11.295,92.217,10.9866,2.0437,8.2755,37.3026,2059.8999,10.4743,3499.8999,24.65,2581,5.6626,27079,655.957,655.957,119.26,,
2013-01-02,1.3198,114.287,1.9484,25.08,7.4593,0.8121,290.8,3.4519,0.696,4.0678,4.4392,8.5662,1.2081,7.3346,7.549,40.3665,2.3495,1.2696,2.6993,1.3115,8.2118,10.2261,12681,4.9338,72.093,1402.13,17.0201,4.0257,1.5951,54.022,1.6115,40.313,11.1505,1,4.8447,66.22,137.24,6.4834,1.9458,2.5871,103.46,0.4945,1997.95,1.5861,9.043,1.3116,10.0931,11309,2.5871,617.322,2279.8999,659.38,1.289,107.7,226.91,51.777,102.712,8.368,23.8465,2.337,2.4901,44.276,9155.7002,10.2212,25.739,54.577,1504.79,15935.2002,169.33,120.074,0.9295,111.49,5169.6001,0.3701,1.0678,195.36,10281.2998,1945.1,168.25,10.9572,1.634,10.847,15.6792,2947.0601,61.838,1108,10.3273,392.52,38.95,20.092,423.21,10.9572,202.96,31.298,114.319,0.5066,1.2936,3.2856,2.6033,128.11,5477.1001,4.8011,112.229,799.86,4.9444,16.34,5.7714,2076.3,24200.6992,11.295,92.217,10.9866,2.0436,8.2755,37.3026,2059.8999,10.4743,3499.8999,24.65,2581,5.6628,27079,655.957,655.957,119.26,,
2013-01-03,1.3182,115.06,1.9489,25.179,7.4604,0.8111,290.51,3.4521,0.6959,4.0631,4.412,8.5556,1.2101,7.3105,7.5383,39.7767,2.3438,1.2561,2.6954,1.2995,8.2009,10.2169,12680,4.9051,71.574,1400.62,16.812,3.9949,1.581,53.719,1.6095,39.948,11.1787,1,4.8381,66.55,138.25,6.4876,1.9458,2.6,104.187,0.4939,1989.98,1.5918,9.0883,1.318,10.1273,11365,2.5934,617.495,2291,665.06,1.295,108.24,228.04,52.034,102.473,8.398,23.9737,2.3179,2.5031,44.496,9200.9004,10.2721,25.868,54.849,1512.3,16014.4004,168.53,120.67,0.9276,111.6,5195.3999,0.3702,1.0731,196.33,10335.4004,1954.8,167.63,10.9825,1.6422,10.843,15.7044,2948.48,61.755,1113.53,10.3795,392.49,38.76,20.043,425.3,10.9825,204.5,31.698,113.535,0.5059,1.3002,3.3021,2.6324,128.11,5504.6001,4.7941,112.239,803.85,4.9397,16.317,5.7999,2080,24320.8008,11.351,92.675,11.0108,2.0426,8.3168,37.4581,2080.73,10.5263,3532.5,24.814,2597.1101,5.6559,27213,655.957,655.957,119.26,6.843,
2013-01-04,1.3033,114.26,1.9485,25.246,7.4589,0.81,288.75,3.4521,0.6951,4.082,4.4119,8.5249,1.2086,7.2802,7.5675,39.4224,2.3256,1.246,2.6621,1.2868,8.1223,10.0938,12556,4.8948,70.905,1383.16,16.6469,3.961,1.5753,52.911,1.5979,39.581,11.1852,1,4.7819,66.03,137.09,6.4076,1.9458,2.559,102.776,0.4882,1960.86,1.578,8.9905,1.3041,10.1147,11245,2.5197,608.028,2263.5,644.74,1.281,107.08,225.59,52.068,101.8,8.339,23.7232,2.2917,2.4765,44.02,9105.7002,10.2032,25.603,54.261,1496.0601,15843.0996,168.11,119.308,0.918,110.38,5139.6001,0.3656,1.0551,194.48,10221.4004,1933.8,165.88,11.0229,1.6245,10.816,15.5473,2918.22,61.021,1101.5699,10.2674,390.9,38.29,19.846,420.78,11.0075,201.79,31.424,112.637,0.5,1.2858,3.2651,2.5907,126.83,5507.5,4.7379,111.656,795.23,4.8791,15.914,5.7383,2057.7,24061.0996,11.229,91.685,11.0527,2.0388,8.2276,37.006,2057.1899,10.3746,3501.3999,24.769,2570.0601,5.5876,26922,655.957,655.957,119.26,6.783,
2013-01-05,1.3033,114.26,1.9485,25.246,7.4589,0.81,288.75,3.4521,0.6951,4.082,4.4119,8.5249,1.2086,7.2802,7.5675,39.4224,2.3256,1.246,2.6621,1.2868,8.1223,10.0938,12556,4.8948,70.905,1383.16,16.6469,3.961,1.5753,52.911,1.5979,39.581,11.1852,1,4.7819,66.03,137.09,6.4076,1.9458,2.559,102.776,0.4882,1960.86,1.578,8.9905,1.3041,10.1147,11245,2.5197,608.028,2263.5,644.74,1.281,107.08,225.59,52.068,101.8,8.339,23.7232,2.2917,2.4765,44.02,9105.7002,10.2032,25.603,54.261,1496.0601,15843.0996,168.11,119.308,0.918,110.38,5139.6001,0.3656,1.0551,194.48,10221.4004,1933.8,165.88,11.0229,1.6245,10.816,15.5473,2918.22,61.021,1101.5699,10.2674,390.9,38.29,19.846,420.78,11.0075,201.79,31.424,112.637,0.5,1.2858,3.2651,2.5907,126.83,5507.5,4.7379,111.656,795.23,4.8791,15.914,5.7383,2057.7,24061.0996,11.229,91.685,11.0527,2.0388,8.2276,37.006,2057.1899,10.3746,3501.3999,24.769,2570.0601,5.5876,26922,655.957,655.957,119.26,6.783,
2013-01-06,1.3033,114.26,1.9485,25.246,7.4589,0.81,288.75,3.4521,0.6951,4.082,4.4119,8.5249,1.2086,7.2802,7.5675,39.4224,2.3256,1.246,2.6621,1.2868,8.1223,10.0938,12556,4.8948,70.905,1383.16,16.6469,3.961,1.5753,52.911,1.5979,39.581,11.1852,1,4.7819,66.03,137.09,6.4076,1.9458,2.559,102.776,0.4882,1960.86,1.578,8.9905,1.3041,10.1147,11245,2.5197,608.028,2263.5,644.74,1.281,107.08,225.59,52.068,101.8,8.339,23.7232,2.2917,2.4765,44.02,9105.7002,10.2032,25.603,54.261,1496.0601,15843.0996,168.11,119.308,0.918,110.38,5139.6001,0.3656,1.0551,194.48,10221.4004,1933.8,165.88,11.0229,1.6245,10.816,15.5473,2918.22,61.021,1101.5699,10.2674,390.9,38.29,19.846,420.78,11.0075,201.79,31.424,112.637,0.5,1.2858,3.2651,2.5907,126.83,5507.5,4.7379,111.656,795.23,4.8791,15.914,5.7383,2057.7,24061.0996,11.229,91.685,11.0527,2.0388,8.2276,37.006,2057.1899,10.3746,3501.3999,24.769,2570.0601,5.5876,26922,655.957,655.957,119.26,6.783,
2013-01-07,1.3067,115.257,1.9468,25.364,7.4583,0.8131,289.91,3.4516,0.6948,4.1124,4.3255,8.549,1.2084,7.3313,7.4245,39.6315,2.3271,1.2448,2.6559,1.2884,8.1347,10.1283,12330.4004,4.9379,71.723,1350,16.6353,3.8839,1.5711,51.9127,1.6028,38.8836,11.1794,1,4.799,65.35,137.02,6.435,1.9458,2.5505,102.207,0.4772,1935.38,1.5752,8.9148,1.2933,10.1024,11230,2.544,601.018,2241.2,638.08,1.27,106.18,223.69,51.373,102.152,8.199,23.5257,2.2993,2.4474,43.651,9262.7002,10.1233,25.375,53.806,1483.49,15710.5996,168.27,118.317,0.9201,111.08,5096.3999,0.3565,1.0527,193.04,10105.2002,1917.5,162.152,11.0147,1.6109,10.814,15.485,2901.5701,61.252,1092.3101,10.1818,387.63,38.7,19.904,417.281,11.0147,200.36,31.2,112.878,0.4866,1.275,3.2369,2.5795,127.36,5480.6001,4.584,112.458,788.55,4.8974,16.8448,5.6906,2040.4,23860,11.135,90.918,11.0433,2.0403,8.1586,36.7567,2038.7,10.314,3478.7,24.469,2546.5901,5.6072,26701,655.957,655.957,119.26,6.7198,
2013-01-08,1.3125,114.5,1.9487,25.539,7.4595,0.8139,291.21,3.4521,0.6963,4.1178,4.402,8.5176,1.2085,7.3202,7.5401,39.839,2.3353,1.2479,2.6554,1.2932,8.1642,10.1703,12648,4.9544,72.395,1394.12,16.7328,3.9878,1.5669,53.537,1.6127,39.92,11.2333,1,4.8172,65.64,137.02,6.4649,1.9458,2.5437,102.11,0.4917,1933.54,1.578,8.9365,1.2964,10.0945,11263,2.5046,602.224,2258.6001,644.13,1.273,106.44,224.24,51.953,102.555,8.436,23.5824,2.3065,2.4481,43.757,9287.5996,10.1747,25.443,53.936,1487.1,15753.2002,168.31,118.662,0.923,111.7,5108.7998,0.369,1.0487,193.56,10127.2998,1922.2,166.97,10.9903,1.6148,10.846,15.4901,2902.0901,61.483,1094.97,10.2053,388.57,38.59,19.97,418.285,10.9903,201.76,31.237,113.646,0.5037,1.2782,3.2435,2.5848,127.36,5507,4.7748,112.527,790.47,4.918,16.032,5.7043,2045.4,23917.6992,11.162,91.138,11.0205,2.0468,8.1784,36.8167,2044.9301,10.3389,3519.7,24.62,2552.1499,5.631,26762,655.957,655.957,119.26,6.8078,
2013-01-09,1.3082,113.648,1.9484,25.532,7.4595,0.8145,291.43,3.4521,0.6955,4.1057,4.4026,8.5723,1.2085,7.3217,7.5439,39.641,2.3256,1.2441,2.6669,1.2901,8.1322,10.1373,12613,4.9349,71.862,1390.47,16.7351,3.9798,1.561,53.246,1.6066,39.788,11.2116,1,4.8028,65.97,137.18,6.4452,1.9458,2.5748,103.1,0.4902,1936.66,1.5862,8.9999,1.3054,10.1092,11322,2.5682,602.5,2274,641.54,1.282,107.19,225.83,52.09,102.163,8.454,23.7577,2.2988,2.4574,44.066,9359.2998,10.2618,25.617,54.318,1497.63,15864.2998,168.46,119.531,0.9197,111.23,5145,0.3679,1.0627,194.71,10200.5996,1935.8,166.14,11.0038,1.6252,10.828,15.5997,2908.1499,61.299,1102.73,10.2782,391.31,38.47,19.927,416,11.0038,202.32,31.192,113.778,0.5022,1.2871,3.2633,2.6143,127.27,5546.1001,4.7585,111.73,796.06,4.9013,16.073,5.7442,2059.8,24086.1992,11.241,91.78,11.0341,2.0435,8.2362,37.0662,2061.97,10.4117,3514.2,24.703,2570.1101,5.6128,26950,655.957,655.957,119.26,6.7573,
2013-01-10,1.3055,115.053,1.9503,25.591,7.4605,0.8151,289.53,3.4521,0.695,4.0738,4.3943,8.5728,1.2087,7.3091,7.5699,39.6499,2.3186,1.2425,2.6623,1.2893,8.1177,10.119,12573,4.9258,71.4,1383.0699,16.598,3.9638,1.5558,53.052,1.6033,39.643,11.2205,1,4.7924,65.84,137.13,6.4376,1.9458,2.5601,102.513,0.4892,1956.33,1.5777,8.9484,1.2981,10.0998,11239,2.5536,601.657,2262.5,638.13,1.275,108.68,224.54,52.087,102.053,8.476,23.6278,2.2913,2.4389,38.353,9293.2998,10.1771,25.47,54.008,1489.08,15774.0996,168.56,118.852,0.9177,111.05,5115.6001,0.367,1.0567,193.87,10155.2002,1924.8,164.67,10.9851,1.6091,10.818,15.6066,2896.8,61.165,1096.4301,10.2195,389.08,38.38,19.82,420.141,10.9851,201.03,31.252,112.635,0.5011,1.2798,3.2446,2.5992,126.9,5455.6001,4.7478,111.748,791.52,4.8906,16.036,5.7118,2048.1001,24149.0996,11.177,91.259,11.0156,2.046,8.1893,36.8726,2051.55,10.4306,3489.1001,24.587,2556.24,5.6007,26797,655.957,655.957,119.26,6.7319,
