date,USD,JPY,BGN,CZK,DKK,GBP,HUF,LTL,PLN,RON,SEK,CHF,NOK,HRK,RUB,TRY,AUD,BRL,CAD,CNY,HKD,IDR,ILS,INR,KRW,MXN,MYR,NZD,PHP,SGD,THB,ZAR,EUR,AED,AFN,ALL,ARS,BAM,BBD,BDT,BHD,BIF,BMD,BND,BOB,BSD,BWP,BYR,BZD,CLP,COP,CRC,CUP,CVE,DJF,DOP,DZD,EGP,ETB,FJD,GHS,GNF,GTQ,HNL,HTG,IQD,ISK,JMD,JOD,KES,KHR,KWD,KYD,KZT,LAK,LBP,LKR,LSL,LYD,MAD,MDL,MGA,MKD,MMK,MOP,MRO,MUR,MVR,MWK,NAD,NGN,NIO,NPR,OMR,PAB,PEN,PGK,PKR,PYG,QAR,RSD,RWF,SAR,SCR,SDG,SOS,STD,SVC,SZL,TND,TTD,TWD,TZS,UAH,UGX,UYU,UZS,VEF,VND,XAF,XOF,XPF,ZMW
2015-01-01,1.2099,144.78,1.9388,27.6796,7.4459,0.7762,316.109,3.4527,4.2828,4.4838,9.4303,1.2028,9.022,7.6545,70.222,2.8249,1.4806,3.211,1.405,7.4981,9.3782,15010,4.7095,76.18,1321.9,17.837,4.1698,1.5509,54.037,1.6032,39.755,13.9936,1,4.4411,69.89,137.69,10.2359,1.9458,2.3909,92.8775,0.4531,1863.24,1.2125,1.5809,8.1988,1.2085,11.3882,17590,2.3748,724.276,2837.1001,643.25,1.185,110.265,211.24,53.044,105.866,8.625,24.3051,2.3827,3.8827,8449.7998,9.0356,25.049,55.215,1360.47,154.12,137.156,0.8476,107.55,4831.7002,0.3534,0.9938,219.26,9589.0996,1828,158.53,13.8127,1.4255,10.663,18.6641,3091.9399,60.772,1232.95,9.5088,349.13,36.8,18.244,568.477,13.8127,219.43,31.703,120.885,0.4643,1.1905,3.556,3.0741,121.78,5504.5,4.4011,121.254,822.45,4.5347,16.107,6.8841,819.9,24500,10.405,13.8427,2.2457,7.598,37.4872,2058.8101,18.9262,3327.8999,28.583,2909.3101,7.668,25595,655.957,655.957,119.26,7.7289
2015-01-02,1.2089,144.93,1.9388,27.6837,7.4464,0.7759,315.253,3.4527,4.2805,4.4838,9.4297,1.2021,8.996,7.6545,70.222,2.8199,1.4785,3.211,1.4045,7.4981,9.3767,14823.2998,4.7016,76.277,1321.9,17.8407,4.1698,1.5512,54.037,1.6003,39.755,13.9731,1,4.4411,69.89,137.69,10.2359,1.9458,2.3909,92.8775,0.4531,1863.24,1.2125,1.5809,8.1988,1.2085,11.3882,17590,2.3748,724.276,2837.1001,643.25,1.185,110.265,211.24,53.044,105.866,8.625,24.3051,2.3827,3.8827,8449.7998,9.0356,25.049,55.215,1360.47,153.84,137.156,0.8476,107.55,4831.7002,0.3534,0.9938,219.26,9589.0996,1799,158.53,13.8127,1.4255,10.663,18.6641,3091.9399,60.772,1232.95,9.5088,349.13,36.8,18.189,568.477,13.8127,219.43,31.703,120.885,0.4643,1.1905,3.556,3.0741,120.583,5504.5,4.4011,121.254,822.45,4.5347,16.107,6.8841,819.9,24500,10.405,13.8427,2.2457,7.598,37.4872,2058.8101,18.9262,3327.8999,28.583,2909.3101,7.668,25595,655.957,655.957,119.26,7.7289
2015-01-03,1.2089,144.93,1.9388,27.6837,7.4464,0.7759,315.253,3.4527,4.2805,4.4838,9.4297,1.2021,8.996,7.6545,70.222,2.8199,1.4785,3.211,1.4045,7.4981,9.3767,14823.2998,4.7016,76.277,1321.9,17.8407,4.1698,1.5512,54.037,1.6003,39.755,13.9731,1,4.4411,69.89,137.69,10.2359,1.9458,2.3909,92.8775,0.4531,1863.24,1.2125,1.5809,8.1988,1.2085,11.3882,17590,2.3748,724.276,2837.1001,643.25,1.185,110.265,211.24,53.044,105.866,8.625,24.3051,2.3827,3.8827,8449.7998,9.0356,25.049,55.215,1360.47,153.84,137.156,0.8476,107.55,4831.7002,0.3534,0.9938,219.26,9589.0996,1799,158.53,13.8127,1.4255,10.663,18.6641,3091.9399,60.772,1232.95,9.5088,349.13,36.8,18.189,568.477,13.8127,219.43,31.703,120.885,0.4643,1.1905,3.556,3.0741,120.583,5504.5,4.4011,121.254,822.45,4.5347,16.107,6.8841,819.9,24500,10.405,13.8427,2.2457,7.598,37.4872,2058.8101,18.9262,3327.8999,28.583,2909.3101,7.668,25595,655.957,655.957,119.26,7.7289
2015-01-04,1.2089,144.93,1.9388,27.6837,7.4464,0.7759,315.253,3.4527,4.2805,4.4838,9.4297,1.2021,8.996,7.6545,70.222,2.8199,1.4785,3.211,1.4045,7.4981,9.3767,14823.2998,4.7016,76.277,1321.9,17.8407,4.1698,1.5512,54.037,1.6003,39.755,13.9731,1,4.4411,69.89,137.69,10.2359,1.9458,2.3909,92.8775,0.4531,1863.24,1.2125,1.5809,8.1988,1.2085,11.3882,17590,2.3748,724.276,2837.1001,643.25,1.185,110.265,211.24,53.044,105.866,8.625,24.3051,2.3827,3.8827,8449.7998,9.0356,25.049,55.215,1360.47,153.84,137.156,0.8476,107.55,4831.7002,0.3534,0.9938,219.26,9589.0996,1799,158.53,13.8127,1.4255,10.663,18.6641,3091.9399,60.772,1232.95,9.5088,349.13,36.8,18.189,568.477,13.8127,219.43,31.703,120.885,0.4643,1.1905,3.556,3.0741,120.583,5504.5,4.4011,121.254,822.45,4.5347,16.107,6.8841,819.9,24500,10.405,13.8427,2.2457,7.598,37.4872,2058.8101,18.9262,3327.8999,28.583,2909.3101,7.668,25595,655.957,655.957,119.26,7.7289
2015-01-05,1.1946,143.86,1.9251,27.6537,7.4427,0.7815,317.509,3.4527,4.2946,4.4811,9.5012,1.2015,9.0894,7.669,70.5102,2.7973,1.4804,3.2303,1.4085,7.4389,9.2642,14990,4.7059,75.949,1327.26,17.7281,4.1584,1.5583,53.72,1.5937,39.558,14.0077,1,4.4064,69.12,136.91,10.2642,1.9458,2.3708,92.1347,0.4499,1863.47,1.2025,1.5771,8.1297,1.1985,11.3041,17590,2.3549,721.204,2829.2,637.91,1.175,110.265,209.47,52.583,105.02,8.564,24.1128,2.3703,3.8385,8384.2998,8.9596,24.839,54.752,1347.83,153.84,136.091,0.8457,106.92,4791.1001,0.3516,0.9846,217.43,9508.0996,1815,157.42,13.8569,1.4133,10.647,18.5117,3066.0901,60.339,1222.02,9.4297,343.39,36.54,18.075,556.233,13.8569,218.14,31.414,120.494,0.4607,1.1805,3.5237,3.0482,120.86,5458.1001,4.3684,120.296,817.36,4.5008,14.809,6.8331,814.1,24500,10.308,13.8863,2.248,7.5391,37.3032,2045.0699,18.7684,3309.8,28.777,2885.0801,7.624,25382,655.957,655.957,119.26,7.6528
2015-01-06,1.1939,142.557,1.9484,27.6812,7.4416,0.7824,317.94,3.4527,4.2916,4.494,9.4522,1.2013,9.1127,7.6724,72.1159,2.7821,1.4737,3.227,1.4033,7.4165,9.2572,15010,4.7127,75.538,1323.42,17.834,4.1265,1.5502,53.65,1.5927,39.306,13.9716,1,4.3835,68.17,137.43,10.2043,1.9458,2.3408,90.9321,0.447,1841.05,1.1875,1.5652,8.0262,1.1835,11.2979,16557,2.325,720.511,2780.7,637.79,1.16,110.265,206.81,51.908,104.602,8.498,23.8137,2.3736,3.8083,8279,8.8458,24.5,54.059,1330.71,153.64,134.283,0.8378,106.4,4739.8999,0.3494,0.9721,214.91,9395.7998,1802,156.52,13.7415,1.3954,10.624,18.4917,3054.6201,59.922,1204.78,9.3098,339.04,36.47,18.075,562.452,13.7415,216.11,31.161,120.494,0.458,1.1655,3.449,3.0093,120.16,5414.7998,4.342,121.758,807.02,4.4764,15.586,7.07,802.3,24500,10.177,13.7731,2.2426,7.4196,37.1148,2013.09,18.5315,3289.5,28.436,2850.99,7.566,25061,655.957,655.957,119.26,7.6048
2015-01-07,1.1875,140.912,1.9484,27.6367,7.4411,0.7844,319.509,3.4527,4.3158,4.4962,9.4132,1.2009,9.1943,7.6711,74.9976,2.7585,1.4693,3.2015,1.4055,7.3589,9.2069,15040,4.6904,75.409,1303.01,17.6836,4.149,1.533,53.359,1.5838,38.998,13.914,1,4.3602,68.03,137.65,10.1454,1.9458,2.338,91.1579,0.4449,1838.89,1.1861,1.5639,8.0167,1.1821,11.2902,16241,2.3223,719.912,2841.3999,628.95,1.159,110.265,206.57,51.883,104.042,8.465,23.7859,2.3525,3.798,8269.4004,8.8282,24.471,53.996,1327.95,153.67,134.037,0.8349,105.92,4737.8999,0.3481,0.9721,214.65,9384.0996,1795,155.98,13.7244,1.3939,10.618,18.5829,3089.8201,59.631,1205.15,9.2967,338.64,36.29,17.87,544.652,13.7244,216.39,31.1,119.06,0.4557,1.1641,3.4748,3.0138,119.89,5480.8999,4.3182,122.296,806.07,4.4526,15.144,7.0626,801.3,24500,10.177,13.7621,2.2378,7.4153,37.075,2007.14,18.5092,3302.3,28.093,2847.6499,7.508,25090,655.957,655.957,119.26,7.6851
2015-01-08,1.1836,141.157,1.9484,27.8345,7.4401,0.7833,317.77,3.4527,4.2929,4.4955,9.4323,1.2009,9.1153,7.6723,74.3899,2.7446,1.4651,3.1722,1.3983,7.3427,9.1756,15080,4.686,74.806,1299.2,17.4069,4.1529,1.5224,53.234,1.5828,38.856,13.8239,1,4.3464,67.45,137.51,10.1412,1.9458,2.3239,90.2522,0.4431,1826.64,1.179,1.5574,7.968,1.1751,11.2223,16144,2.3082,712.866,2845.5,624.96,1.152,110.265,205.31,51.565,103.909,8.444,23.6481,2.3516,3.7871,8219.7998,8.7759,24.323,53.67,1318.72,153.82,133.385,0.8319,105.93,4709.2002,0.347,0.9709,213.36,9335.7998,1787,155.4,13.6018,1.3853,10.643,18.2345,3066.73,59.469,1193.74,9.2413,336.59,36.39,17.793,539.684,13.6018,214.56,30.889,119.1,0.4542,1.157,3.4514,3.0248,119.35,5468.3999,4.3054,122.308,801.21,4.4381,15.081,7.0187,796.3,24500,10.165,13.6353,2.2315,7.3578,36.7919,1999.67,18.4113,3300.2,28.006,2830.5601,7.511,24943,655.957,655.957,119.26,7.7338
2015-01-09,1.1796,141.245,1.9484,27.8467,7.4389,0.7816,315.76,3.4528,4.2805,4.4846,9.4622,1.2009,8.9833,7.6723,70.6121,2.7095,1.4534,3.1359,1.3947,7.3166,9.1442,14945,4.6611,73.839,1290.55,17.2899,4.119,1.51,52.752,1.5773,38.722,13.6454,1,4.3278,67.24,137.63,10.1248,1.9458,2.3144,89.8861,0.4416,1807.37,1.1743,1.5512,7.9355,1.1704,11.1444,16150,2.2988,709.894,2810.8,622,1.147,110.265,204.48,51.41,103.529,8.4,23.5578,2.3343,3.7767,8186.7998,8.7414,24.224,53.452,1313.36,153.42,132.971,0.8288,105.45,4692.3999,0.3459,0.965,212.74,9301.2998,1783,154.89,13.4523,1.3799,10.627,18.155,3063.5601,61.051,1188.9,9.2045,335.23,36.43,17.653,539.23,13.4523,207.22,30.717,117.672,0.4522,1.1523,3.4415,2.9832,118.57,5437,4.2895,122.804,797.96,4.423,15.719,6.9906,791.8,24500,10.103,13.4889,2.23,7.3225,36.6746,1992.7,18.3369,3315.2,27.892,2819.1699,7.455,24781,655.957,655.957,119.26,7.6616
2015-01-10,1.1796,141.245,1.9484,27.8467,7.4389,0.7816,315.76,3.4528,4.2805,4.4846,9.4622,1.2009,8.9833,7.6723,70.6121,2.7095,1.4534,3.1359,1.3947,7.3166,9.1442,14945,4.6611,73.839,1290.55,17.2899,4.119,1.51,52.752,1.5773,38.722,13.6454,1,4.3278,67.24,137.63,10.1248,1.9458,2.3144,89.8861,0.4416,1807.37,1.1743,1.5512,7.9355,1.1704,11.1444,16150,2.2988,709.894,2810.8,622,1.147,110.265,204.48,51.41,103.529,8.4,23.5578,2.3343,3.7767,8186.7998,8.7414,24.224,53.452,1313.36,153.42,132.971,0.8288,105.45,4692.3999,0.3459,0.965,212.74,9301.2998,1783,154.89,13.4523,1.3799,10.627,18.155,3063.5601,61.051,1188.9,9.2045,335.23,36.43,17.653,539.23,13.4523,207.22,30.717,117.672,0.4522,1.1523,3.4415,2.9832,118.57,5437,4.2895,122.804,797.96,4.423,15.719,6.9906,791.8,24500,10.103,13.4889,2.23,7.3225,36.6746,1992.7,18.3369,3315.2,27.892,2819.1699,7.455,24781,655.957,655.957,119.26,7.6616
