date,USD,JPY,BGN,CZK,DKK,GBP,HUF,PLN,RON,SEK,CHF,NOK,HRK,RUB,TRY,AUD,BRL,CAD,CNY,HKD,IDR,ILS,INR,KRW,MXN,MYR,NZD,PHP,SGD,THB,ZAR,EUR,AED,AFN,ALL,ARS,BAM,BBD,BDT,BHD,BIF,BMD,BND,BOB,BSD,BWP,BZD,CLP,COP,CRC,CUP,CVE,DJF,DOP,DZD,EGP,ETB,FJD,GHS,GNF,GTQ,HNL,HTG,IQD,ISK,JMD,JOD,KES,KHR,KWD,KYD,KZT,LAK,LBP,LKR,LSL,LYD,MAD,MDL,MGA,MKD,MMK,MOP,MRO,MUR,MVR,MWK,NAD,NGN,NIO,NPR,OMR,PAB,PEN,PGK,PKR,PYG,QAR,RSD,RWF,SAR,SCR,SDG,SOS,STD,SVC,SZL,TND,TTD,TWD,TZS,UAH,UGX,UYU,UZS,VEF,VND,XAF,XOF,XPF,ZMW,ZWL,GMD,GYD,KMF,LRD,MZN,SHP,SLL,TMT,XCD,YER,IRR,SYP
2016-01-01,1.0859,130.612,1.9458,27.0154,7.4613,0.7367,315.838,4.2889,4.527,9.1567,1.0874,9.6184,7.5018,79.854,3.1679,1.4933,4.2891,1.5093,7.0228,8.3126,14787.2002,4.0576,71.0666,1251.49,18.6225,4.5964,1.5872,49.7471,1.538,38.4544,16.7967,1,3.9303,73.47,134.53,14.0212,1.9458,2.1338,83.6742,0.3977,1668.09,1.0862,1.5147,7.3263,1.0822,12.1126,2.1229,758.051,3407.3999,572.43,1.059,110.265,188.94,48.769,114.764,8.3784,22.8223,2.3001,4.1477,8269.5,8.1127,23.604,61.136,1163.75,141.06,128.876,0.7524,109.924,4316.7002,0.3195,0.8903,367.98,8629.5996,1602.6,153.616,16.758,1.4871,10.411,21.1734,3452.8401,60.566,1398.3,8.5193,335.74,38.1019,16.347,723.323,16.758,213.69,29.73,113.607,0.4053,1.0642,3.6283,3.1974,112.476,6188.8999,3.8161,120.42,797.54,4.0137,14.2132,6.5941,644.6,24500,9.318,16.7827,2.1981,6.8445,34.8196,2302.6499,25.8711,3639.7,31.983,2963.54,6.872,24090,655.957,655.957,119.26,11.9311,,,,,,,,,,,,,
2016-01-02,1.0859,130.612,1.9458,27.0154,7.4613,0.7367,315.838,4.2889,4.527,9.1567,1.0874,9.6184,7.5018,79.854,3.1679,1.4933,4.2891,1.5093,7.0228,8.3126,14787.2002,4.0576,71.0666,1251.49,18.6225,4.5964,1.5872,49.7471,1.538,38.4544,16.7967,1,3.9303,73.47,134.53,14.0212,1.9458,2.1338,83.6742,0.3977,1668.09,1.0862,1.5147,7.3263,1.0822,12.1126,2.1229,758.051,3407.3999,572.43,1.059,110.265,188.94,48.769,114.764,8.3784,22.8223,2.3001,4.1477,8269.5,8.1127,23.604,61.136,1163.75,141.06,128.876,0.7524,109.924,4316.7002,0.3195,0.8903,367.98,8629.5996,1602.6,153.616,16.758,1.4871,10.411,21.1734,3452.8401,60.566,1398.3,8.5193,335.74,38.1019,16.347,723.323,16.758,213.69,29.73,113.607,0.4053,1.0642,3.6283,3.1974,112.476,6188.8999,3.8161,120.42,797.54,4.0137,14.2132,6.5941,644.6,24500,9.318,16.7827,2.1981,6.8445,34.8196,2302.6499,25.8711,3639.7,31.983,2963.54,6.872,24090,655.957,655.957,119.26,11.9311,,,,,,,,,,,,,
2016-01-03,1.0859,130.612,1.9458,27.0154,7.4613,0.7367,315.838,4.2889,4.527,9.1567,1.0874,9.6184,7.5018,79.854,3.1679,1.4933,4.2891,1.5093,7.0228,8.3126,14787.2002,4.0576,71.0666,1251.49,18.6225,4.5964,1.5872,49.7471,1.538,38.4544,16.7967,1,3.9303,73.47,134.53,14.0212,1.9458,2.1338,83.6742,0.3977,1668.09,1.0862,1.5147,7.3263,1.0822,12.1126,2.1229,758.051,3407.3999,572.43,1.059,110.265,188.94,48.769,114.764,8.3784,22.8223,2.3001,4.1477,8269.5,8.1127,23.604,61.136,1163.75,141.06,128.876,0.7524,109.924,4316.7002,0.3195,0.8903,367.98,8629.5996,1602.6,153.616,16.758,1.4871,10.411,21.1734,3452.8401,60.566,1398.3,8.5193,335.74,38.1019,16.347,723.323,16.758,213.69,29.73,113.607,0.4053,1.0642,3.6283,3.1974,112.476,6188.8999,3.8161,120.42,797.54,4.0137,14.2132,6.5941,644.6,24500,9.318,16.7827,2.1981,6.8445,34.8196,2302.6499,25.8711,3639.7,31.983,2963.54,6.872,24090,655.957,655.957,119.26,11.9311,,,,,,,,,,,,,
2016-01-04,1.0854,130.576,1.9458,27.0209,7.4614,0.7364,314.53,4.2566,4.517,9.1568,1.0847,9.5805,7.5018,76.5572,3.1655,1.4895,4.2891,1.5046,7.0228,8.4107,14787.2002,4.228,71.0666,1251.49,18.6708,4.5964,1.5881,49.7471,1.5394,38.4544,16.7863,1,3.9303,73.47,134.53,14.0212,1.9458,2.1338,83.6742,0.3977,1668.09,1.0862,1.5147,7.3263,1.0822,12.1126,2.1229,758.051,3407.3999,572.43,1.059,110.265,188.94,48.769,114.764,8.3784,22.8223,2.3001,4.1477,8269.5,8.1127,23.604,61.136,1163.75,140.93,128.876,0.7524,109.924,4316.7002,0.3195,0.8903,367.98,8629.5996,1602.6,153.616,16.758,1.4871,10.411,21.1734,3452.8401,60.566,1398.3,8.5193,335.74,38.1019,16.259,723.323,16.758,213.69,29.73,113.607,0.4053,1.0642,3.6283,3.1974,112.476,6188.8999,3.8161,120.42,797.54,4.0137,14.2132,6.5941,644.6,24500,9.318,16.7827,2.1981,6.8445,34.8196,2302.6499,25.8711,3639.7,31.983,2963.54,6.872,24090,655.957,655.957,119.26,11.9311,,,,,,,,,,,,,
2016-01-05,1.0828,129.3,1.9486,27.0124,7.4617,0.7356,314.2,4.2989,4.5232,9.2006,1.0852,9.6107,7.639,78.5352,3.209,1.5065,4.371,1.5084,7.0668,8.3901,14961.2998,4.2372,72.027,1286.42,18.7125,4.6646,1.6047,50.849,1.5434,39.11,16.8088,1,3.9746,73.94,135.17,14.2744,1.9458,2.1389,83.578,0.4053,1672.03,1.0887,1.5301,7.3438,1.0847,12.1135,2.128,765.161,3416.2,573.79,1.062,110.265,189.39,48.911,115.574,8.454,22.8846,2.2952,4.1563,8289,8.1517,23.66,61.28,1166.53,140.99,129.245,0.7601,108.78,4323.1001,0.3277,0.8877,368.18,8652.4004,1606.4,153.626,16.769,1.4925,10.464,21.3051,3446.23,61.137,1400.51,8.515,325.97,37.4,16.193,702.889,16.769,213.71,29.801,113.607,0.4152,1.0667,3.6527,3.205,112.894,6182.2998,3.9386,122.307,799.42,4.0573,12.858,6.6095,646.1,24500,9.291,16.8004,2.2089,6.8597,35.1534,2313.5701,25.9559,3655.8999,32.059,2970.51,6.7945,24169,655.957,655.957,119.26,11.9589,,,,,,,,,,,,,
2016-01-06,1.0752,128.032,1.9483,27.0134,7.4595,0.7327,313.339,4.3038,4.5214,9.2317,1.0841,9.5733,7.639,78.6309,3.2095,1.5009,4.3301,1.5035,7.0029,8.3325,14680.5996,4.2201,71.444,1278.76,18.6179,4.5908,1.6049,50.261,1.5328,38.823,16.81,1,3.9468,72.73,134.91,14.65,1.9458,2.1066,82.63,0.4024,1660.71,1.0726,1.5076,7.2217,1.0686,11.9938,2.0958,756.997,3410.8,563.53,1.046,110.265,186.58,48.178,115.363,8.394,22.5481,2.2853,4.0946,8222.2998,8.03,23.572,60.639,1147.79,140.93,127.225,0.7559,107.99,4261.6001,0.3254,0.8763,366.04,8526.4004,1586.9,151.71,16.5765,1.4672,10.45,20.8895,3388.73,61.121,1375.76,8.515,323.75,37.21,16.085,704.343,16.5765,210.94,29.343,114.558,0.4124,1.0506,3.5919,3.1566,111.258,6148.8999,3.9111,121.812,787.41,4.0297,13.101,6.5112,636,24500,9.172,16.6028,2.2039,6.7377,34.6559,2294.8301,25.5415,3606.7,31.943,2949.8201,6.7945,23796,655.957,655.957,119.26,11.7817,,,,,,,,,,,,,
2016-01-07,1.0779,127.804,1.9487,27.0264,7.46,0.7367,314.539,4.3464,4.5222,9.2536,1.0857,9.6397,7.6394,80.0836,3.2367,1.5222,4.3322,1.5161,7.0554,8.3533,14920,4.2469,71.83,1292.42,18.8895,4.6418,1.6227,50.6,1.5472,39.017,17.0883,1,3.9556,72.62,134.83,14.9116,1.9458,2.1053,82.5037,0.4037,1659.6899,1.0719,1.5167,7.228,1.068,12.0555,2.0945,756.854,3410.7,563.07,1.045,110.265,186.47,48.148,115.66,8.413,22.5343,2.3023,4.0975,8217.2998,8.0331,23.536,60.357,1146.01,140.86,127.362,0.7571,108.13,4259,0.3271,0.8763,368.94,8527.5996,1628,151.348,16.7413,1.4656,10.443,20.8445,3411.3701,61.13,1374.37,8.3832,323.9,37.57,16.115,713.106,16.7413,210.97,29.293,112.88,0.4134,1.0499,3.5937,3.1546,112.87,6174.1001,3.9209,121.978,787.46,4.0402,13.203,6.4965,635.6,24500,9.172,16.7866,2.212,6.733,34.7204,2298.79,24.8003,3599.1001,31.858,2945.8601,6.759,23752,655.957,655.957,119.26,11.7746,,,,,,,,,,,,,
2016-01-08,1.0926,128.418,1.9487,27.0344,7.4589,0.7468,313.984,4.3446,4.5263,9.2445,1.0857,9.707,7.6403,80.4698,3.2784,1.5567,4.4145,1.5408,7.1927,8.4714,14903.7998,4.2839,73.036,1306.65,19.4739,4.6935,1.649,51.279,1.5654,39.579,17.5363,1,4.0103,73.61,135.14,15.1628,1.9458,2.1287,83.4174,0.4091,1677.98,1.0836,1.5355,7.3085,1.0796,12.2726,2.1178,769.446,3488.8,569.46,1.057,110.265,188.54,48.679,116.646,8.529,22.9546,2.3399,4.1367,8307.2998,8.118,23.786,61.022,1158.75,141.18,128.707,0.768,109.65,4307.7998,0.3312,0.8855,372.12,8617.2998,1597,152.917,17.2455,1.4883,10.496,21.76,3435.3,61.129,1388.96,8.4762,326.52,38.05,16.115,730.005,17.2455,212.69,29.605,114.653,0.4191,1.0616,3.6229,3.1897,112.391,6238,3.9743,121.983,795.61,4.0958,13.05,6.5783,641.8,24500,9.268,17.2867,2.2173,6.8073,35.2096,2335.1101,25.0723,3640.8,32.265,2974.9099,6.779,24046,655.957,655.957,119.26,11.9027,,,,,,,,,,,,,
2016-01-09,1.0926,128.418,1.9487,27.0344,7.4589,0.7468,313.984,4.3446,4.5263,9.2445,1.0857,9.707,7.6403,80.4698,3.2784,1.5567,4.4145,1.5408,7.1927,8.4714,14903.7998,4.2839,73.036,1306.65,19.4739,4.6935,1.649,51.279,1.5654,39.579,17.5363,1,4.0103,73.61,135.14,15.1628,1.9458,2.1287,83.4174,0.4091,1677.98,1.0836,1.5355,7.3085,1.0796,12.2726,2.1178,769.446,3488.8,569.46,1.057,110.265,188.54,48.679,116.646,8.529,22.9546,2.3399,4.1367,8307.2998,8.118,23.786,61.022,1158.75,141.18,128.707,0.768,109.65,4307.7998,0.3312,0.8855,372.12,8617.2998,1597,152.917,17.2455,1.4883,10.496,21.76,3435.3,61.129,1388.96,8.4762,326.52,38.05,16.115,730.005,17.2455,212.69,29.605,114.653,0.4191,1.0616,3.6229,3.1897,112.391,6238,3.9743,121.983,795.61,4.0958,13.05,6.5783,641.8,24500,9.268,17.2867,2.2173,6.8073,35.2096,2335.1101,25.0723,3640.8,32.265,2974.9099,6.779,24046,655.957,655.957,119.26,11.9027,,,,,,,,,,,,,
2016-01-10,1.0926,128.418,1.9487,27.0344,7.4589,0.7468,313.984,4.3446,4.5263,9.2445,1.0857,9.707,7.6403,80.4698,3.2784,1.5567,4.4145,1.5408,7.1927,8.4714,14903.7998,4.2839,73.036,1306.65,19.4739,4.6935,1.649,51.279,1.5654,39.579,17.5363,1,4.0103,73.61,135.14,15.1628,1.9458,2.1287,83.4174,0.4091,1677.98,1.0836,1.5355,7.3085,1.0796,12.2726,2.1178,769.446,3488.8,569.46,1.057,110.265,188.54,48.679,116.646,8.529,22.9546,2.3399,4.1367,8307.2998,8.118,23.786,61.022,1158.75,141.18,128.707,0.768,109.65,4307.7998,0.3312,0.8855,372.12,8617.2998,1597,152.917,17.2455,1.4883,10.496,21.76,3435.3,61.129,1388.96,8.4762,326.52,38.05,16.115,730.005,17.2455,212.69,29.605,114.653,0.4191,1.0616,3.6229,3.1897,112.391,6238,3.9743,121.983,795.61,4.0958,13.05,6.5783,641.8,24500,9.268,17.2867,2.2173,6.8073,35.2096,2335.1101,25.0723,3640.8,32.265,2974.9099,6.779,24046,655.957,655.957,119.26,11.9027,,,,,,,,,,,,,
