date,USD,JPY,BGN,CZK,DKK,GBP,HUF,PLN,RON,SEK,CHF,ISK,NOK,HRK,RUB,TRY,AUD,BRL,CAD,CNY,HKD,IDR,ILS,INR,KRW,MXN,MYR,NZD,PHP,SGD,THB,ZAR,EUR,AED,AFN,ALL,ARS,BAM,BBD,BDT,BHD,BIF,BMD,BND,BOB,BSD,BWP,BZD,CLP,COP,CRC,CUP,CVE,DJF,DOP,DZD,EGP,ETB,FJD,GHS,GNF,GTQ,HNL,HTG,IQD,JMD,JOD,KES,KHR,KWD,KYD,KZT,LAK,LBP,LKR,LSL,LYD,MAD,MDL,MGA,MKD,MMK,MOP,MUR,MVR,MWK,NAD,NGN,NIO,NPR,OMR,PAB,PEN,PGK,PKR,PYG,QAR,RSD,RWF,SAR,SCR,SDG,SOS,SVC,SZL,TND,TTD,TWD,TZS,UAH,UGX,UYU,UZS,VEF,VND,XAF,XOF,XPF,ZMW
2019-01-01,1.1493,125.98,1.9483,25.6709,7.4662,0.9023,320.603,4.2982,4.647,10.1364,1.1322,132.83,9.9038,7.4075,79.927,6.0469,1.6322,4.4472,1.5643,7.8731,8.9984,16460,4.2688,79.689,1276.2,22.524,4.7305,1.7085,60.018,1.5653,37.017,16.4491,1,4.2071,85.81,121.04,43.168,1.9458,2.2423,93.953,0.429,2025.2,1.1423,0.7515,7.7136,1.1382,12.102,2.2585,780.79,3669.2,678.29,1.115,110.27,199.38,57.16,134.94,20.512,32.014,2.432,5.5008,10343.0996,8.6498,27.424,87.544,1336.5,144.13,0.8057,114.78,4501.6001,0.3467,0.9344,437.15,9548.5996,1725,205.96,16.24,1.5615,10.657,19.329,3946.8999,61.208,1747.4,9.0389,37.81,17.334,866.67,16.24,413.29,36.663,126.15,0.44,1.1203,3.868,3.7785,159.98,6700.6001,4.0198,118.17,1008,4.2962,14.649,54.485,622.5,9.781,16.268,3.4099,7.6373,34.027,2628.7,31.434,4203.7998,36.477,9515.7002,71.67,26164,655.96,655.96,119.26,13.607
2019-01-02,1.1462,125.689,1.9553,25.716,7.4651,0.8985,320.854,4.2865,4.681,10.1609,1.1255,133.16,9.908,7.4075,78.3986,6.0571,1.6261,4.4472,1.5612,7.9421,8.9777,16238.5,4.0972,80.199,1276.2,22.4954,4.7721,1.7073,60.159,1.5618,37.057,16.4891,1,4.2071,85.81,121.04,43.078,1.9458,2.2423,93.953,0.429,2025.2,1.1423,0.7577,7.7136,1.1382,12.102,2.2585,780.79,3669.2,678.29,1.115,110.27,199.38,57.16,134.94,20.512,32.014,2.432,5.5008,10343.0996,8.6498,27.424,87.544,1336.5,144.54,0.8057,114.78,4501.6001,0.3467,0.9344,437.15,9548.5996,1687.2,205.96,16.24,1.5615,10.657,19.329,3946.8999,61.208,1747.4,9.0389,37.81,17.356,833.5,16.24,413.29,36.663,126.15,0.44,1.1203,3.8894,3.7785,160.27,6700.6001,4.0198,118.17,1008,4.3013,14.649,54.485,622.5,9.781,16.268,3.3168,7.6373,34.027,2650.3,31.434,4203.7998,36.477,9515.7002,71.67,26164,655.96,655.96,119.26,13.607
2019-01-03,1.1318,121.601,1.9486,25.7371,7.4661,0.904,322.228,4.2981,4.6538,10.229,1.119,133.27,9.9333,7.4223,78.097,6.214,1.636,4.2853,1.5426,7.7571,8.8659,16382,4.2472,79.143,1269.4,22.207,4.7058,1.706,59.236,1.5475,36.508,16.4989,1,4.1561,85.7,121.07,42.741,1.9458,2.2386,94.102,0.4239,2021.9,1.1404,0.7451,7.7008,1.1364,12.076,2.2547,783.34,3663.2,677.18,1.113,110.27,199.05,56.684,134.01,20.259,31.787,2.4119,5.5505,10329.7002,8.6355,27.379,87.203,1334.3,142.28,0.7972,113.68,4482.7002,0.3426,0.9328,436.44,9532.2998,1711,205.68,16.387,1.5605,10.602,19.187,3942.7,60.553,1744,9.0248,37.28,17.248,797.41,16.387,408.05,36.603,126.67,0.4344,1.1184,3.827,3.7723,157.06,6685.7002,4.0131,115.84,1006.3,4.2405,14.448,54.397,621.5,9.765,16.414,3.4123,7.6319,34.183,2606.2,31.383,4202.7002,36.474,9496.5,71.67,26135,655.96,655.96,119.26,13.631
2019-01-04,1.1391,122.794,1.9487,25.6368,7.4672,0.9019,320.663,4.2891,4.6549,10.2534,1.1245,133.42,9.899,7.431,78.267,6.2265,1.6259,4.2756,1.5352,7.8224,8.9195,16411,4.2422,79.793,1280.2,22.3418,4.7204,1.7029,59.772,1.554,36.654,16.3075,1,4.184,85.03,120.98,42.654,1.9458,2.2201,93.441,0.4267,2005.6,1.1311,0.7476,7.637,1.1272,12.108,2.2361,776.23,3623.5,672.17,1.104,110.27,197.41,56.691,134.66,20.377,31.727,2.4204,5.4473,10245.5996,8.5699,27.168,87.033,1323.3,143.75,0.8013,114.48,4483.1001,0.3447,0.9251,428.98,9459,1717,203.94,16.259,1.5476,10.565,19.219,3911.1001,61.256,1729.7,8.9494,37.82,17.32,822.14,16.259,409.27,36.315,125.67,0.4373,1.1091,3.8424,3.7412,157.87,6652.2002,3.9795,118.29,998.17,4.2678,14.542,53.957,616.1,9.683,16.288,3.4038,7.5399,34.069,2615.2,30.881,4179.7002,36.175,9419.5996,71.67,25915,655.96,655.96,119.26,13.56
2019-01-05,1.1391,122.794,1.9487,25.6368,7.4672,0.9019,320.663,4.2891,4.6549,10.2534,1.1245,133.42,9.899,7.431,78.267,6.2265,1.6259,4.2756,1.5352,7.8224,8.9195,16411,4.2422,79.793,1280.2,22.3418,4.7204,1.7029,59.772,1.554,36.654,16.3075,1,4.184,85.03,120.98,42.654,1.9458,2.2201,93.441,0.4267,2005.6,1.1311,0.7476,7.637,1.1272,12.108,2.2361,776.23,3623.5,672.17,1.104,110.27,197.41,56.691,134.66,20.377,31.727,2.4204,5.4473,10245.5996,8.5699,27.168,87.033,1323.3,143.75,0.8013,114.48,4483.1001,0.3447,0.9251,428.98,9459,1717,203.94,16.259,1.5476,10.565,19.219,3911.1001,61.256,1729.7,8.9494,37.82,17.32,822.14,16.259,409.27,36.315,125.67,0.4373,1.1091,3.8424,3.7412,157.87,6652.2002,3.9795,118.29,998.17,4.2678,14.542,53.957,616.1,9.683,16.288,3.4038,7.5399,34.069,2615.2,30.881,4179.7002,36.175,9419.5996,71.67,25915,655.96,655.96,119.26,13.56
2019-01-06,1.1391,122.794,1.9487,25.6368,7.4672,0.9019,320.663,4.2891,4.6549,10.2534,1.1245,133.42,9.899,7.431,78.267,6.2265,1.6259,4.2756,1.5352,7.8224,8.9195,16411,4.2422,79.793,1280.2,22.3418,4.7204,1.7029,59.772,1.554,36.654,16.3075,1,4.184,85.03,120.98,42.654,1.9458,2.2201,93.441,0.4267,2005.6,1.1311,0.7476,7.637,1.1272,12.108,2.2361,776.23,3623.5,672.17,1.104,110.27,197.41,56.691,134.66,20.377,31.727,2.4204,5.4473,10245.5996,8.5699,27.168,87.033,1323.3,143.75,0.8013,114.48,4483.1001,0.3447,0.9251,428.98,9459,1717,203.94,16.259,1.5476,10.565,19.219,3911.1001,61.256,1729.7,8.9494,37.82,17.32,822.14,16.259,409.27,36.315,125.67,0.4373,1.1091,3.8424,3.7412,157.87,6652.2002,3.9795,118.29,998.17,4.2678,14.542,53.957,616.1,9.683,16.288,3.4038,7.5399,34.069,2615.2,30.881,4179.7002,36.175,9419.5996,71.67,25915,655.96,655.96,119.26,13.56
2019-01-07,1.141,123.821,1.9483,25.5582,7.4665,0.8959,320.572,4.2904,4.6597,10.2158,1.1247,133.86,9.819,7.435,77.0647,6.07,1.6016,4.23,1.5254,7.8178,8.9365,16270,4.2314,79.197,1271.2,22.1283,4.6997,1.6919,59.648,1.5502,36.396,15.9627,1,4.1832,85.56,121.09,42.566,1.9458,2.2342,93.872,0.4266,2018.3,1.1382,0.7485,7.6857,1.1342,11.955,2.2503,772.75,3652.6001,675.85,1.111,110.27,198.66,56.728,134.43,20.384,31.934,2.4212,5.4813,10312,8.6186,27.34,87.597,1331.7,143.84,0.8019,114.29,4485.8999,0.3447,0.931,426.07,9517.5,1718,205.05,15.861,1.5574,10.554,19.311,3945.3,61.245,1740.6,9.008,37.72,17.269,802.18,15.861,411.82,36.543,125.37,0.4372,1.1162,3.8243,3.7649,157.27,6702.5,4.0057,118.23,1004.5,4.2703,14.549,54.295,620.2,9.746,15.892,3.4419,7.5839,34.193,2618.3999,31.419,4206,36.437,9475.4004,71.67,26075,655.96,655.96,119.26,13.616
2019-01-08,1.148,124.66,1.9483,25.5591,7.4671,0.8978,320.812,4.2944,4.6558,10.2058,1.1241,134.88,9.7869,7.4214,76.671,6.1762,1.6068,4.2841,1.5263,7.8543,8.9941,16160,4.2466,80.051,1281.2,22.2288,4.7179,1.6997,60.029,1.5561,36.629,15.9235,1,4.2139,85.92,121.17,42.814,1.9458,2.2285,94.216,0.4298,2023.5,1.141,0.7524,7.7055,1.1371,11.896,2.2561,760.9,3603.2,677.59,1.114,110.27,199.17,56.85,135.02,20.543,31.99,2.4369,5.5867,10338.2002,8.6408,27.41,87.82,1335.1,145.01,0.807,114.91,4498.6001,0.3469,0.9333,427.15,9541.5,1730,205.01,15.681,1.5601,10.583,19.309,3962.8,61.697,1741.6,9.0335,37.64,17.439,807.29,15.681,414.87,36.659,125.51,0.4404,1.119,3.8395,3.7752,158.97,6756.6001,4.0156,119.11,1008,4.3009,14.663,54.429,621.8,9.77,15.711,3.4299,7.6148,34.274,2631.8999,31.511,4222.3999,36.554,9499.7998,71.67,26141,655.96,655.96,119.26,13.559
2019-01-09,1.1456,124.609,1.9484,25.6257,7.4664,0.8993,321.364,4.2956,4.6634,10.2058,1.1234,135.76,9.7753,7.4267,76.69,6.2735,1.5993,4.2498,1.5177,7.8376,8.9799,16188,4.2275,80.269,1284,22.1539,4.7011,1.6995,59.916,1.5546,36.625,15.9871,1,4.2036,86.02,121.56,43.008,1.9458,2.2335,94.426,0.4287,2028.3,1.1435,0.7508,7.7228,1.1396,11.948,2.2611,765.32,3597.8,678.53,1.117,110.27,199.62,57.044,134.8,20.512,31.98,2.4257,5.5316,10362.0996,8.6573,27.471,88.07,1338.1,144.98,0.8051,114.63,4497.7002,0.346,0.9354,427.17,9562.9004,1724,205.86,15.799,1.561,10.572,19.49,4000.3,61.111,1740.3,9.0574,37.78,17.439,817.73,15.799,416.36,36.746,126.99,0.4394,1.1215,3.8323,3.7837,158.58,6749,4.0247,118.23,1010.5,4.2927,14.635,54.548,623.3,9.792,15.83,3.4316,7.6143,34.372,2626.2,31.828,4237.3999,36.681,9524,71.67,26199,655.96,655.96,119.26,13.623
2019-01-10,1.1555,125.015,1.9482,25.6187,7.4663,0.9026,320.912,4.302,4.6653,10.2412,1.1253,136.73,9.7749,7.4265,77.035,6.3213,1.6102,4.2489,1.5263,7.8631,9.0536,15952.0996,4.2265,81.456,1292.2,22.203,4.7226,1.7015,60.303,1.5629,36.844,16.0075,1,4.24,85.95,122,43.164,1.9458,2.2316,94.347,0.4324,2026.8,1.1427,0.7559,7.7163,1.1386,11.938,2.2593,763.26,3560.1001,680.25,1.116,110.27,199.45,57.043,135.52,20.672,31.977,2.4293,5.527,10355.9004,8.65,27.448,87.913,1337,146.45,0.8121,115.64,4498,0.3488,0.9348,427.39,9554.9004,1687.6,205.52,15.783,1.5593,10.607,19.302,4045.7,61.423,1737.1,9.0509,38.09,17.404,821.11,15.783,415.44,36.716,127.48,0.4432,1.1207,3.8399,3.7805,161.2,6743.8999,4.0213,118.32,1009.7,4.3296,14.76,54.504,622.7,9.785,15.813,3.4247,7.6069,34.291,2644.1001,31.941,4228.2002,36.65,9516.2002,71.67,26177,655.96,655.96,119.26,13.612
